multilevel_id,review_title,study_id,study_author,year,n_intervention,n_control,outcome_domain,outcome_name,time_point_weeks,subgroup,effect_size_type,effect_size,variance,se,ci_lower,ci_upper,level_1_variance,level_2_variance_within_study,level_3_variance_between_study,correlation_within_study,total_outcomes_per_study,total_timepoints_per_study,total_subgroups_per_study,multilevel_structure,therapeutic_area,data_type
ML002,Exercise interventions for chronic pain,STUDY003,Williams et al,2019,120,118,Pain intensity,VAS 0-100 neck pain,4,Low intensity,Mean Difference,-10.2,4.45,2.11,-14.33,-6.07,2.25,1.85,0.75,0.55,4,6,3,outcome+time+subgroup,Pain medicine,Aggregate
ML002,Exercise interventions for chronic pain,STUDY003,Williams et al,2019,120,118,Pain intensity,VAS 0-100 neck pain,8,Low intensity,Mean Difference,-14.8,4.85,2.20,-19.11,-10.49,2.25,1.85,0.75,0.55,4,6,3,outcome+time+subgroup,Pain medicine,Aggregate
ML002,Exercise interventions for chronic pain,STUDY003,Williams et al,2019,120,118,Functional disability,ODI 0-100,12,Low intensity,Mean Difference,-15.4,5.45,2.33,-20.00,-10.80,2.25,1.85,0.75,0.55,4,6,3,outcome+time+subgroup,Pain medicine,Aggregate
ML002,Exercise interventions for chronic pain,STUDY003,Williams et al,2019,120,118,Quality of life,SF-36 physical,24,Low intensity,Mean Difference,12.8,5.85,2.42,7.96,17.64,2.25,1.85,0.75,0.55,4,6,3,outcome+time+subgroup,Pain medicine,Aggregate
ML002,Exercise interventions for chronic pain,STUDY003,Williams et al,2019,85,82,Pain intensity,VAS 0-100 back pain,4,Moderate intensity,Mean Difference,-18.5,5.45,2.33,-23.07,-13.93,2.25,1.85,0.75,0.55,4,6,3,outcome+time+subgroup,Pain medicine,Aggregate
ML002,Exercise interventions for chronic pain,STUDY003,Williams et al,2019,85,82,Pain intensity,VAS 0-100 back pain,8,Moderate intensity,Mean Difference,-25.2,6.05,2.46,-30.02,-20.38,2.25,1.85,0.75,0.55,4,6,3,outcome+time+subgroup,Pain medicine,Aggregate
ML003,Nutrition interventions for metabolic syndrome,STUDY004,Brown et al,2020,180,175,Lipid profile,LDL cholesterol mg/dL,12,Mediterranean diet,Mean Difference,-24.5,8.45,2.91,-30.20,-18.80,3.85,2.45,2.15,0.5,5,4,4,outcome+time+subgroup,Endocrinology,IPD
ML003,Nutrition interventions for metabolic syndrome,STUDY004,Brown et al,2020,180,175,Lipid profile,LDL cholesterol mg/dL,24,Mediterranean diet,Mean Difference,-28.4,9.15,3.02,-34.32,-22.48,3.85,2.45,2.15,0.5,5,4,4,outcome+time+subgroup,Endocrinology,IPD
ML003,Nutrition interventions for metabolic syndrome,STUDY004,Brown et al,2020,180,175,Lipid profile,HDL cholesterol mg/dL,12,Mediterranean diet,Mean Difference,6.8,2.85,1.69,3.49,10.11,3.85,2.45,2.15,0.5,5,4,4,outcome+time+subgroup,Endocrinology,IPD
ML003,Nutrition interventions for metabolic syndrome,STUDY004,Brown et al,2020,180,175,Lipid profile,HDL cholesterol mg/dL,24,Mediterranean diet,Mean Difference,8.2,3.05,1.75,4.77,11.63,3.85,2.45,2.15,0.5,5,4,4,outcome+time+subgroup,Endocrinology,IPD
ML003,Nutrition interventions for metabolic syndrome,STUDY004,Brown et al,2020,180,175,Lipid profile,Triglycerides mg/dL,12,Mediterranean diet,Mean Difference,-32.5,12.85,3.58,-39.52,-25.48,3.85,2.45,2.15,0.5,5,4,4,outcome+time+subgroup,Endocrinology,IPD
ML003,Nutrition interventions for metabolic syndrome,STUDY004,Brown et al,2020,180,175,Blood pressure,Systolic BP mmHg,24,Mediterranean diet,Mean Difference,-8.4,4.25,2.06,-12.44,-4.36,3.85,2.45,2.15,0.5,5,4,4,outcome+time+subgroup,Endocrinology,IPD
ML003,Nutrition interventions for metabolic syndrome,STUDY004,Brown et al,2020,180,175,Glycemic control,Fasting glucose mg/dL,24,Mediterranean diet,Mean Difference,-12.8,5.85,2.42,-17.54,-8.06,3.85,2.45,2.15,0.5,5,4,4,outcome+time+subgroup,Endocrinology,IPD
ML003,Nutrition interventions for metabolic syndrome,STUDY004,Brown et al,2020,145,140,Lipid profile,LDL cholesterol mg/dL,12,DASH diet,Mean Difference,-18.2,7.85,2.80,-23.69,-12.71,3.85,2.45,2.15,0.5,5,4,4,outcome+time+subgroup,Endocrinology,IPD
ML003,Nutrition interventions for metabolic syndrome,STUDY004,Brown et al,2020,145,140,Blood pressure,Systolic BP mmHg,12,DASH diet,Mean Difference,-11.5,4.85,2.20,-15.81,-7.19,3.85,2.45,2.15,0.5,5,4,4,outcome+time+subgroup,Endocrinology,IPD
ML003,Nutrition interventions for metabolic syndrome,STUDY005,Davis et al,2021,220,215,Lipid profile,LDL cholesterol mg/dL,12,Low-fat diet,Mean Difference,-15.8,7.25,2.69,-21.07,-10.53,3.85,2.45,2.15,0.5,4,3,2,outcome+time+subgroup,Endocrinology,IPD
ML004,Pharmacotherapy for ADHD in adults,STUDY006,Taylor et al,2019,165,160,ADHD symptoms,ADHD-RS total,4,Methylphenidate,Mean Difference,-8.5,2.85,1.69,-11.81,-5.19,1.25,0.95,0.85,0.65,3,5,4,outcome+time+subgroup,Psychiatry,Aggregate
ML004,Pharmacotherapy for ADHD in adults,STUDY006,Taylor et al,2019,165,160,ADHD symptoms,ADHD-RS total,8,Methylphenidate,Mean Difference,-12.4,3.15,1.77,-15.87,-8.93,1.25,0.95,0.85,0.65,3,5,4,outcome+time+subgroup,Psychiatry,Aggregate
ML004,Pharmacotherapy for ADHD in adults,STUDY006,Taylor et al,2019,165,160,ADHD symptoms,ADHD-RS total,12,Methylphenidate,Mean Difference,-14.2,3.45,1.86,-17.85,-10.55,1.25,0.95,0.85,0.65,3,5,4,outcome+time+subgroup,Psychiatry,Aggregate
ML004,Pharmacotherapy for ADHD in adults,STUDY006,Taylor et al,2019,165,160,ADHD symptoms,ADHD-RS total,24,Methylphenidate,Mean Difference,-12.8,3.85,1.96,-16.64,-8.96,1.25,0.95,0.85,0.65,3,5,4,outcome+time+subgroup,Psychiatry,Aggregate
ML004,Pharmacotherapy for ADHD in adults,STUDY006,Taylor et al,2019,165,160,ADHD symptoms,ADHD-RS inattention,8,Methylphenidate,Mean Difference,-6.2,1.85,1.36,-8.87,-3.53,1.25,0.95,0.85,0.65,3,5,4,outcome+time+subgroup,Psychiatry,Aggregate
ML004,Pharmacotherapy for ADHD in adults,STUDY006,Taylor et al,2019,165,160,ADHD symptoms,ADHD-RS hyperactivity,8,Methylphenidate,Mean Difference,-6.8,1.95,1.40,-9.54,-4.06,1.25,0.95,0.85,0.65,3,5,4,outcome+time+subgroup,Psychiatry,Aggregate
ML004,Pharmacotherapy for ADHD in adults,STUDY006,Taylor et al,2019,155,152,ADHD symptoms,ADHD-RS total,8,Atomoxetine,Mean Difference,-8.5,2.95,1.72,-11.87,-5.13,1.25,0.95,0.85,0.65,3,5,4,outcome+time+subgroup,Psychiatry,Aggregate
ML004,Pharmacotherapy for ADHD in adults,STUDY006,Taylor et al,2019,155,152,ADHD symptoms,ADHD-RS total,12,Atomoxetine,Mean Difference,-9.8,3.25,1.80,-13.33,-6.27,1.25,0.95,0.85,0.65,3,5,4,outcome+time+subgroup,Psychiatry,Aggregate
ML004,Pharmacotherapy for ADHD in adults,STUDY007,Anderson et al,2020,185,180,ADHD symptoms,ADHD-RS total,8,Lisdexamfetamine,Mean Difference,-14.8,3.45,1.86,-18.45,-11.15,1.25,0.95,0.85,0.65,2,4,2,outcome+time+subgroup,Psychiatry,Aggregate
ML004,Pharmacotherapy for ADHD in adults,STUDY007,Anderson et al,2020,185,180,ADHD symptoms,ADHD-RS total,12,Lisdexamfetamine,Mean Difference,-16.5,3.85,1.96,-20.34,-12.66,1.25,0.95,0.85,0.65,2,4,2,outcome+time+subgroup,Psychiatry,Aggregate
ML005,Anticoagulation for stroke prevention,STUDY008,Martinez et al,2020,450,445,Thromboembolic events,Stroke or SE,12,Apixaban 5mg,Log Hazard Ratio,-0.42,0.025,0.158,-0.73,-0.11,0.015,0.008,0.002,0.45,4,6,3,outcome+time+subgroup,Cardiology,IPD
ML005,Anticoagulation for stroke prevention,STUDY008,Martinez et al,2020,450,445,Thromboembolic events,Stroke or SE,24,Apixaban 5mg,Log Hazard Ratio,-0.48,0.028,0.167,-0.81,-0.15,0.015,0.008,0.002,0.45,4,6,3,outcome+time+subgroup,Cardiology,IPD
ML005,Anticoagulation for stroke prevention,STUDY008,Martinez et al,2020,450,445,Thromboembolic events,Stroke or SE,36,Apixaban 5mg,Log Hazard Ratio,-0.52,0.032,0.179,-0.87,-0.17,0.015,0.008,0.002,0.45,4,6,3,outcome+time+subgroup,Cardiology,IPD
ML005,Anticoagulation for stroke prevention,STUDY008,Martinez et al,2020,450,445,Thromboembolic events,Stroke or SE,48,Apixaban 5mg,Log Hazard Ratio,-0.55,0.035,0.187,-0.92,-0.18,0.015,0.008,0.002,0.45,4,6,3,outcome+time+subgroup,Cardiology,IPD
ML005,Anticoagulation for stroke prevention,STUDY008,Martinez et al,2020,450,445,Bleeding events,Major bleeding,12,Apixaban 5mg,Log Hazard Ratio,-0.32,0.028,0.167,-0.65,0.01,0.015,0.008,0.002,0.45,4,6,3,outcome+time+subgroup,Cardiology,IPD
ML005,Anticoagulation for stroke prevention,STUDY008,Martinez et al,2020,450,445,Bleeding events,Major bleeding,24,Apixaban 5mg,Log Hazard Ratio,-0.35,0.032,0.179,-0.70,-0.00,0.015,0.008,0.002,0.45,4,6,3,outcome+time+subgroup,Cardiology,IPD
ML005,Anticoagulation for stroke prevention,STUDY008,Martinez et al,2020,450,445,Mortality,All-cause mortality,36,Apixaban 5mg,Log Hazard Ratio,-0.18,0.038,0.195,-0.56,0.20,0.015,0.008,0.002,0.45,4,6,3,outcome+time+subgroup,Cardiology,IPD
ML005,Anticoagulation for stroke prevention,STUDY008,Martinez et al,2020,450,445,Mortality,Cardiovascular mortality,48,Apixaban 5mg,Log Hazard Ratio,-0.22,0.042,0.205,-0.62,0.18,0.015,0.008,0.002,0.45,4,6,3,outcome+time+subgroup,Cardiology,IPD
ML005,Anticoagulation for stroke prevention,STUDY008,Martinez et al,2020,320,315,Thromboembolic events,Stroke or SE,12,Apixaban 2.5mg,Log Hazard Ratio,-0.35,0.032,0.179,-0.70,-0.00,0.015,0.008,0.002,0.45,4,6,3,outcome+time+subgroup,Cardiology,IPD
ML005,Anticoagulation for stroke prevention,STUDY009,Garcia et al,2021,520,515,Thromboembolic events,Stroke or SE,12,Rivaroxaban 20mg,Log Hazard Ratio,-0.38,0.028,0.167,-0.71,-0.05,0.015,0.008,0.002,0.45,3,5,2,outcome+time+subgroup,Cardiology,IPD
ML006,Physical therapy for osteoarthritis,STUDY010,Thompson et al,2019,140,135,Pain,WOMAC pain 0-100 knee,6,Manual therapy,Mean Difference,-14.5,5.25,2.29,-19.00,-10.00,2.45,1.65,0.95,0.58,4,8,3,outcome+time+subgroup,Physical therapy,Aggregate
ML006,Physical therapy for osteoarthritis,STUDY010,Thompson et al,2019,140,135,Pain,WOMAC pain 0-100 knee,12,Manual therapy,Mean Difference,-18.8,5.85,2.42,-23.54,-14.06,2.45,1.65,0.95,0.58,4,8,3,outcome+time+subgroup,Physical therapy,Aggregate
ML006,Physical therapy for osteoarthritis,STUDY010,Thompson et al,2019,140,135,Pain,WOMAC pain 0-100 knee,24,Manual therapy,Mean Difference,-16.2,6.25,2.50,-21.10,-11.30,2.45,1.65,0.95,0.58,4,8,3,outcome+time+subgroup,Physical therapy,Aggregate
ML006,Physical therapy for osteoarthritis,STUDY010,Thompson et al,2019,140,135,Pain,WOMAC pain 0-100 knee,52,Manual therapy,Mean Difference,-12.5,6.85,2.62,-17.63,-7.37,2.45,1.65,0.95,0.58,4,8,3,outcome+time+subgroup,Physical therapy,Aggregate
ML006,Physical therapy for osteoarthritis,STUDY010,Thompson et al,2019,140,135,Function,WOMAC function 0-100 knee,6,Manual therapy,Mean Difference,-12.8,4.85,2.20,-17.11,-8.49,2.45,1.65,0.95,0.58,4,8,3,outcome+time+subgroup,Physical therapy,Aggregate
ML006,Physical therapy for osteoarthritis,STUDY010,Thompson et al,2019,140,135,Function,WOMAC function 0-100 knee,12,Manual therapy,Mean Difference,-15.4,5.25,2.29,-19.89,-10.91,2.45,1.65,0.95,0.58,4,8,3,outcome+time+subgroup,Physical therapy,Aggregate
ML006,Physical therapy for osteoarthritis,STUDY010,Thompson et al,2019,140,135,Stiffness,WOMAC stiffness 0-100 knee,12,Manual therapy,Mean Difference,-10.5,4.45,2.11,-14.63,-6.37,2.45,1.65,0.95,0.58,4,8,3,outcome+time+subgroup,Physical therapy,Aggregate
ML006,Physical therapy for osteoarthritis,STUDY010,Thompson et al,2019,140,135,Quality of life,SF-36 physical knee,24,Manual therapy,Mean Difference,8.5,4.85,2.20,4.19,12.81,2.45,1.65,0.95,0.58,4,8,3,outcome+time+subgroup,Physical therapy,Aggregate
ML006,Physical therapy for osteoarthritis,STUDY010,Thompson et al,2019,125,120,Pain,WOMAC pain 0-100 hip,12,Manual therapy,Mean Difference,-11.2,5.45,2.33,-15.77,-6.63,2.45,1.65,0.95,0.58,4,8,3,outcome+time+subgroup,Physical therapy,Aggregate
ML006,Physical therapy for osteoarthritis,STUDY010,Thompson et al,2019,125,120,Pain,WOMAC pain 0-100 hip,24,Manual therapy,Mean Difference,-9.8,5.85,2.42,-14.54,-5.06,2.45,1.65,0.95,0.58,4,8,3,outcome+time+subgroup,Physical therapy,Aggregate
ML007,Biologics for psoriasis,STUDY011,Lee et al,2020,280,275,Skin clearance,PASI 75,12,Risankizumab,Log Risk Ratio,1.42,0.045,0.212,1.00,1.84,0.025,0.015,0.005,0.52,5,4,2,outcome+time+subgroup,Dermatology,Aggregate
ML007,Biologics for psoriasis,STUDY011,Lee et al,2020,280,275,Skin clearance,PASI 75,24,Risankizumab,Log Risk Ratio,1.48,0.048,0.219,1.05,1.91,0.025,0.015,0.005,0.52,5,4,2,outcome+time+subgroup,Dermatology,Aggregate
ML007,Biologics for psoriasis,STUDY011,Lee et al,2020,280,275,Skin clearance,PASI 75,52,Risankizumab,Log Risk Ratio,1.52,0.052,0.228,1.07,1.97,0.025,0.015,0.005,0.52,5,4,2,outcome+time+subgroup,Dermatology,Aggregate
ML007,Biologics for psoriasis,STUDY011,Lee et al,2020,280,275,Skin clearance,PASI 90,12,Risankizumab,Log Risk Ratio,1.85,0.058,0.241,1.38,2.32,0.025,0.015,0.005,0.52,5,4,2,outcome+time+subgroup,Dermatology,Aggregate
ML007,Biologics for psoriasis,STUDY011,Lee et al,2020,280,275,Skin clearance,PASI 90,24,Risankizumab,Log Risk Ratio,1.92,0.062,0.249,1.43,2.41,0.025,0.015,0.005,0.52,5,4,2,outcome+time+subgroup,Dermatology,Aggregate
ML007,Biologics for psoriasis,STUDY011,Lee et al,2020,280,275,Skin clearance,PASI 100,12,Risankizumab,Log Risk Ratio,2.12,0.075,0.274,1.58,2.66,0.025,0.015,0.005,0.52,5,4,2,outcome+time+subgroup,Dermatology,Aggregate
ML007,Biologics for psoriasis,STUDY011,Lee et al,2020,280,275,Quality of life,DLQI improvement,24,Risankizumab,Mean Difference,-12.5,4.25,2.06,-16.54,-8.46,0.025,0.015,0.005,0.52,5,4,2,outcome+time+subgroup,Dermatology,Aggregate
ML007,Biologics for psoriasis,STUDY011,Lee et al,2020,280,275,Itch,NRS itch reduction,12,Risankizumab,Mean Difference,-3.8,1.45,1.20,-6.15,-1.45,0.025,0.015,0.005,0.52,5,4,2,outcome+time+subgroup,Dermatology,Aggregate
ML007,Biologics for psoriasis,STUDY011,Lee et al,2020,185,180,Skin clearance,PASI 75,12,Moderate severity,Log Risk Ratio,1.25,0.052,0.228,0.80,1.70,0.025,0.015,0.005,0.52,5,4,2,outcome+time+subgroup,Dermatology,Aggregate
ML007,Biologics for psoriasis,STUDY012,Chen et al,2021,310,305,Skin clearance,PASI 75,12,Bimekizumab,Log Risk Ratio,1.58,0.048,0.219,1.15,2.01,0.025,0.015,0.005,0.52,4,3,1,outcome+time,Dermatology,Aggregate
ML008,Immunotherapy for NSCLC,STUDY013,Wilson et al,2021,385,380,Efficacy,Overall survival months,12,PD-L1 ≥50%,Log Hazard Ratio,-0.62,0.032,0.179,-0.97,-0.27,0.018,0.012,0.002,0.48,3,5,4,outcome+time+subgroup,Oncology,IPD
ML008,Immunotherapy for NSCLC,STUDY013,Wilson et al,2021,385,380,Efficacy,Overall survival months,24,PD-L1 ≥50%,Log Hazard Ratio,-0.68,0.035,0.187,-1.05,-0.31,0.018,0.012,0.002,0.48,3,5,4,outcome+time+subgroup,Oncology,IPD
ML008,Immunotherapy for NSCLC,STUDY013,Wilson et al,2021,385,380,Efficacy,Overall survival months,36,PD-L1 ≥50%,Log Hazard Ratio,-0.72,0.038,0.195,-1.10,-0.34,0.018,0.012,0.002,0.48,3,5,4,outcome+time+subgroup,Oncology,IPD
ML008,Immunotherapy for NSCLC,STUDY013,Wilson et al,2021,385,380,Efficacy,Progression-free survival months,12,PD-L1 ≥50%,Log Hazard Ratio,-0.48,0.028,0.167,-0.81,-0.15,0.018,0.012,0.002,0.48,3,5,4,outcome+time+subgroup,Oncology,IPD
ML008,Immunotherapy for NSCLC,STUDY013,Wilson et al,2021,385,380,Efficacy,Progression-free survival months,24,PD-L1 ≥50%,Log Hazard Ratio,-0.52,0.032,0.179,-0.87,-0.17,0.018,0.012,0.002,0.48,3,5,4,outcome+time+subgroup,Oncology,IPD
ML008,Immunotherapy for NSCLC,STUDY013,Wilson et al,2021,385,380,Response,ORR,12,PD-L1 ≥50%,Log Risk Ratio,0.95,0.042,0.205,0.55,1.35,0.018,0.012,0.002,0.48,3,5,4,outcome+time+subgroup,Oncology,IPD
ML008,Immunotherapy for NSCLC,STUDY013,Wilson et al,2021,280,275,Efficacy,Overall survival months,12,PD-L1 1-49%,Log Hazard Ratio,-0.35,0.038,0.195,-0.73,0.03,0.018,0.012,0.002,0.48,3,5,4,outcome+time+subgroup,Oncology,IPD
ML008,Immunotherapy for NSCLC,STUDY013,Wilson et al,2021,280,275,Efficacy,Overall survival months,24,PD-L1 1-49%,Log Hazard Ratio,-0.42,0.042,0.205,-0.82,-0.02,0.018,0.012,0.002,0.48,3,5,4,outcome+time+subgroup,Oncology,IPD
ML008,Immunotherapy for NSCLC,STUDY013,Wilson et al,2021,185,180,Efficacy,Overall survival months,12,PD-L1 <1%,Log Hazard Ratio,-0.12,0.048,0.219,-0.55,0.31,0.018,0.012,0.002,0.48,3,5,4,outcome+time+subgroup,Oncology,IPD
ML008,Immunotherapy for NSCLC,STUDY014,Harris et al,2022,420,415,Efficacy,Overall survival months,12,Squamous histology,Log Hazard Ratio,-0.58,0.035,0.187,-0.95,-0.21,0.018,0.012,0.002,0.48,2,4,3,outcome+time+subgroup,Oncology,IPD
ML009,Antidepressants dose-response,STUDY015,Roberts et al,2020,165,160,Efficacy,HAM-D response,8,Low dose SSRI,Log Risk Ratio,0.42,0.032,0.179,0.07,0.77,0.018,0.012,0.008,0.55,2,6,5,outcome+time+subgroup,Psychiatry,Aggregate
ML009,Antidepressants dose-response,STUDY015,Roberts et al,2020,165,160,Efficacy,HAM-D response,12,Low dose SSRI,Log Risk Ratio,0.48,0.035,0.187,0.11,0.85,0.018,0.012,0.008,0.55,2,6,5,outcome+time+subgroup,Psychiatry,Aggregate
ML009,Antidepressants dose-response,STUDY015,Roberts et al,2020,165,160,Efficacy,HAM-D response,24,Low dose SSRI,Log Risk Ratio,0.52,0.038,0.195,0.14,0.90,0.018,0.012,0.008,0.55,2,6,5,outcome+time+subgroup,Psychiatry,Aggregate
ML009,Antidepressants dose-response,STUDY015,Roberts et al,2020,165,160,Efficacy,HAM-D remission,12,Low dose SSRI,Log Risk Ratio,0.38,0.042,0.205,-0.02,0.78,0.018,0.012,0.008,0.55,2,6,5,outcome+time+subgroup,Psychiatry,Aggregate
ML009,Antidepressants dose-response,STUDY015,Roberts et al,2020,180,175,Efficacy,HAM-D response,8,Medium dose SSRI,Log Risk Ratio,0.68,0.028,0.167,0.35,1.01,0.018,0.012,0.008,0.55,2,6,5,outcome+time+subgroup,Psychiatry,Aggregate
ML009,Antidepressants dose-response,STUDY015,Roberts et al,2020,180,175,Efficacy,HAM-D response,12,Medium dose SSRI,Log Risk Ratio,0.75,0.032,0.179,0.40,1.10,0.018,0.012,0.008,0.55,2,6,5,outcome+time+subgroup,Psychiatry,Aggregate
ML009,Antidepressants dose-response,STUDY015,Roberts et al,2020,155,150,Efficacy,HAM-D response,8,High dose SSRI,Log Risk Ratio,0.85,0.035,0.187,0.48,1.22,0.018,0.012,0.008,0.55,2,6,5,outcome+time+subgroup,Psychiatry,Aggregate
ML009,Antidepressants dose-response,STUDY015,Roberts et al,2020,155,150,Efficacy,HAM-D response,12,High dose SSRI,Log Risk Ratio,0.92,0.038,0.195,0.54,1.30,0.018,0.012,0.008,0.55,2,6,5,outcome+time+subgroup,Psychiatry,Aggregate
ML009,Antidepressants dose-response,STUDY016,Miller et al,2021,195,190,Efficacy,HAM-D response,8,Medium dose SNRI,Log Risk Ratio,0.72,0.032,0.179,0.37,1.07,0.018,0.012,0.008,0.55,2,5,3,outcome+time+subgroup,Psychiatry,Aggregate
ML009,Antidepressants dose-response,STUDY016,Miller et al,2021,195,190,Efficacy,HAM-D response,12,Medium dose SNRI,Log Risk Ratio,0.78,0.035,0.187,0.41,1.15,0.018,0.012,0.008,0.55,2,5,3,outcome+time+subgroup,Psychiatry,Aggregate
ML010,Interventions for obesity,STUDY017,Clark et al,2019,210,205,Weight loss,Body weight kg,12,Lifestyle intervention,Mean Difference,-5.8,2.85,1.69,-9.11,-2.49,1.45,0.95,0.55,0.6,6,5,3,outcome+time+subgroup,Endocrinology,IPD
ML010,Interventions for obesity,STUDY017,Clark et al,2019,210,205,Weight loss,Body weight kg,24,Lifestyle intervention,Mean Difference,-7.2,3.15,1.77,-10.67,-3.73,1.45,0.95,0.55,0.6,6,5,3,outcome+time+subgroup,Endocrinology,IPD
ML010,Interventions for obesity,STUDY017,Clark et al,2019,210,205,Weight loss,Body weight kg,52,Lifestyle intervention,Mean Difference,-6.5,3.45,1.86,-10.14,-2.86,1.45,0.95,0.55,0.6,6,5,3,outcome+time+subgroup,Endocrinology,IPD
ML010,Interventions for obesity,STUDY017,Clark et al,2019,210,205,Body composition,BMI kg/m²,12,Lifestyle intervention,Mean Difference,-2.1,0.85,0.92,-3.90,-0.30,1.45,0.95,0.55,0.6,6,5,3,outcome+time+subgroup,Endocrinology,IPD
ML010,Interventions for obesity,STUDY017,Clark et al,2019,210,205,Body composition,BMI kg/m²,24,Lifestyle intervention,Mean Difference,-2.6,0.92,0.96,-4.48,-0.72,1.45,0.95,0.55,0.6,6,5,3,outcome+time+subgroup,Endocrinology,IPD
ML010,Interventions for obesity,STUDY017,Clark et al,2019,210,205,Body composition,Waist circumference cm,24,Lifestyle intervention,Mean Difference,-6.8,2.45,1.57,-9.88,-3.72,1.45,0.95,0.55,0.6,6,5,3,outcome+time+subgroup,Endocrinology,IPD
ML010,Interventions for obesity,STUDY017,Clark et al,2019,210,205,Metabolic,Fasting glucose mg/dL,24,Lifestyle intervention,Mean Difference,-8.5,3.25,1.80,-12.03,-4.97,1.45,0.95,0.55,0.6,6,5,3,outcome+time+subgroup,Endocrinology,IPD
ML010,Interventions for obesity,STUDY017,Clark et al,2019,210,205,Metabolic,HbA1c %,24,Lifestyle intervention,Mean Difference,-0.42,0.12,0.35,-1.10,0.26,1.45,0.95,0.55,0.6,6,5,3,outcome+time+subgroup,Endocrinology,IPD
