meta_id,source,review_title,comparison,outcome,intervention,control,n_studies,n_participants,pooled_effect_type,pooled_effect,ci_lower,ci_upper,p_value,i_squared,tau_squared,heterogeneity_p,model_type,meta_regression,publication_year,therapeutic_area,data_type
META032,PubMed,Mavacamten for hypertrophic cardiomyopathy,Mavacamten vs placebo,Exercise capacity,Mavacamten,Placebo,8,485,Mean Difference,1.85,1.12,2.58,0.001,22,0.485,0.285,Random,No,2021,Cardiology,Aggregate
META033,Embase,Tafamidis for cardiac amyloidosis,Tafamidis vs placebo,All-cause mortality,Tafamidis,Placebo,6,585,Hazard Ratio,0.70,0.56,0.89,0.003,0,0.000,0.892,Fixed,No,2020,Cardiology,IPD
META034,PubMed,Vericiguat for heart failure,Vericiguat vs placebo,CV death or HF hosp,Vericiguat,Placebo,8,8456,Hazard Ratio,0.90,0.82,0.98,0.019,0,0.000,0.752,Fixed,Yes,2021,Cardiology,IPD
META035,Embase,Sotagliflozin for heart failure,Sotagliflozin vs placebo,CV death or HF hosp,Sotagliflozin,Placebo,6,6842,Hazard Ratio,0.84,0.75,0.95,0.005,12,0.005,0.385,Fixed,No,2022,Cardiology,IPD
META036,PubMed,Finerenone for CKD in diabetes,Finerenone vs placebo,CKD progression,Finerenone,Placebo,12,12845,Hazard Ratio,0.82,0.73,0.93,0.002,18,0.008,0.298,Fixed,Yes,2021,Nephrology,IPD
META037,Embase,Sparsentan for IgA nephropathy,Sparsentan vs irbesartan,Proteinuria reduction,Sparsentan,Irbesartan,6,485,Mean Difference,-28.4,-38.2,-18.6,0.001,32,185.4,0.185,Random,No,2022,Nephrology,Aggregate
META038,PubMed,Budesonide for IgA nephropathy,Budesonide vs placebo,Complete remission,Budesonide,Placebo,8,685,Risk Ratio,2.42,1.52,3.85,0.001,28,0.042,0.218,Random,No,2021,Nephrology,Aggregate
META039,Embase,Faricimab for neovascular AMD,Faricimab vs aflibercept,Visual acuity gain,Faricimab,Aflibercept,8,2458,Mean Difference,1.2,-0.8,3.2,0.242,0,0.000,0.892,Fixed,No,2020,Ophthalmology,Aggregate
META040,PubMed,Brolucizumab for neovascular AMD,Brolucizumab vs ranibizumab,Fluid resolution,Brolucizumab,Ranibizumab,12,1845,Risk Ratio,1.24,1.08,1.42,0.003,28,0.028,0.198,Random,No,2021,Ophthalmology,Aggregate
META041,Embase,Darolutamide for nmCRPC,Darolutamide vs placebo,Metastasis-free survival,Darolutamide,Placebo,6,1685,Hazard Ratio,0.59,0.47,0.74,0.001,0,0.000,0.752,Fixed,No,2022,Urology,IPD
META042,PubMed,Apalutamide for nmCRPC,Apalutamide vs placebo,MFS,Apalutamide,Placebo,6,2458,Hazard Ratio,0.72,0.59,0.89,0.002,0,0.000,0.892,Fixed,No,2021,Urology,IPD
META043,Embase,Enfortumab vedotin for urothelial cancer,EV vs chemotherapy,Overall survival,EV,Chemotherapy,6,1245,Hazard Ratio,0.70,0.56,0.89,0.003,15,0.008,0.315,Fixed,No,2020,Urology,Aggregate
META044,PubMed,Sacituzumab govitecan for TNBC,SG vs chemotherapy,PFS,SG,Chemotherapy,6,985,Hazard Ratio,0.41,0.32,0.52,0.001,22,0.015,0.258,Random,No,2021,Oncology,Aggregate
META045,Embase,Trastuzumab deruxtecan for HER2+ BC,T-DXd vs T-DM1,PFS,T-DXd,T-DM1,6,1245,Hazard Ratio,0.28,0.22,0.37,0.001,0,0.000,0.892,Fixed,No,2022,Oncology,IPD
META046,PubMed,Dostarlimab for endometrial cancer,Dostarlimab vs chemo,PFS,Dostarlimab + chemo,Chemotherapy,6,1685,Hazard Ratio,0.64,0.51,0.80,0.001,18,0.008,0.298,Fixed,No,2021,Oncology,Aggregate
META047,Embase,Tremelimumab + durvalumab for HCC,Tremelimumab + durvalumab vs sorafenib,OS,Tremelimumab + durvalumab,Sorafenib,6,1245,Hazard Ratio,0.78,0.65,0.93,0.006,12,0.005,0.385,Fixed,No,2022,Oncology,Aggregate
META048,PubMed,Nivolumab + ipilimumab for RCC,Nivo + ipi vs sunitinib,OS,Nivolumab + ipilimumab,Sunitinib,8,2458,Hazard Ratio,0.68,0.55,0.84,0.001,22,0.012,0.245,Random,Yes,2020,Oncology,IPD
META049,Embase,Lenvatinib + pembrolizumab for RCC,Lenvatinib + pembro vs sunitinib,PFS,Lenvatinib + pembrolizumab,Sunitinib,6,1845,Hazard Ratio,0.39,0.30,0.51,0.001,18,0.008,0.298,Fixed,No,2021,Oncology,Aggregate
META050,PubMed,Cabozantinib + nivolumab for RCC,Cabo + nivo vs sunitinib,PFS,Cabozantinib + nivolumab,Sunitinib,6,2458,Hazard Ratio,0.51,0.41,0.64,0.001,22,0.012,0.245,Random,No,2022,Oncology,Aggregate
META051,PubMed,Meta-analysis of novel therapy 51,Novel intervention vs standard,Overall survival,Novel agent,Placebo,21,2427,Mean Difference,0.75,0.84,1.14,0.009,51,0.043,0.106,Random,Yes,2024,Oncology,Aggregate
META052,PubMed,Meta-analysis of novel therapy 52,Novel intervention vs standard,Clinical response,Novel agent,Standard care,22,1193,Odds Ratio,0.73,0.67,1.08,0.046,45,0.056,0.725,Random,No,2024,Gastroenterology,Aggregate
META053,Embase,Meta-analysis of novel therapy 53,Novel intervention vs standard,Overall survival,Novel agent,Placebo,11,3913,Risk Ratio,0.63,0.52,1.28,0.042,45,0.021,0.381,Random,Yes,2021,Cardiology,Aggregate
META054,Embase,Meta-analysis of novel therapy 54,Novel intervention vs standard,Clinical response,Novel agent,Standard care,19,1610,Risk Ratio,0.74,0.65,1.01,0.06,26,0.049,0.657,Random,Yes,2019,Rheumatology,IPD
META055,Embase,Meta-analysis of novel therapy 55,Novel intervention vs standard,Disease control,Novel agent,Placebo,8,2102,Mean Difference,0.95,0.5,0.98,0.031,49,0.061,0.468,Random,No,2019,Cardiology,Aggregate
META056,PubMed,Meta-analysis of novel therapy 56,Novel intervention vs standard,Overall survival,Novel agent,Standard care,19,4978,Hazard Ratio,0.83,0.47,1.29,0.029,59,0.039,0.424,Random,Yes,2024,Rheumatology,Aggregate
META057,PubMed,Meta-analysis of novel therapy 57,Novel intervention vs standard,Symptom improvement,Novel agent,Placebo,9,4777,Risk Ratio,0.77,0.56,1.12,0.044,43,0.016,0.509,Random,No,2022,Gastroenterology,Aggregate
META058,PubMed,Meta-analysis of novel therapy 58,Novel intervention vs standard,Disease control,Novel agent,Standard care,17,1759,Odds Ratio,0.77,0.49,1.35,0.022,58,0.08,0.144,Random,No,2023,Rheumatology,Aggregate
META059,Embase,Meta-analysis of novel therapy 59,Novel intervention vs standard,Disease control,Novel agent,Placebo,20,2973,Mean Difference,1.11,0.64,1.32,0.05,40,0.082,0.381,Random,Yes,2018,Gastroenterology,Aggregate
META060,Embase,Meta-analysis of novel therapy 60,Novel intervention vs standard,Overall survival,Novel agent,Standard care,20,870,Hazard Ratio,0.87,0.56,1.38,0.064,57,0.049,0.286,Random,No,2024,Oncology,Aggregate
META061,PubMed,Meta-analysis of novel therapy 61,Novel intervention vs standard,Disease control,Novel agent,Placebo,15,2672,Risk Ratio,1.16,0.58,1.38,0.019,51,0.085,0.051,Random,Yes,2020,Neurology,IPD
META062,PubMed,Meta-analysis of novel therapy 62,Novel intervention vs standard,Disease control,Novel agent,Standard care,9,1879,Mean Difference,0.89,0.47,1.19,0.014,53,0.018,0.08,Random,No,2021,Oncology,IPD
META063,PubMed,Meta-analysis of novel therapy 63,Novel intervention vs standard,Overall survival,Novel agent,Placebo,16,3625,Risk Ratio,1.11,0.69,1.41,0.031,34,0.012,0.077,Random,Yes,2018,Dermatology,IPD
META064,Embase,Meta-analysis of novel therapy 64,Novel intervention vs standard,Clinical response,Novel agent,Placebo,8,4842,Hazard Ratio,1.18,0.52,1.16,0.036,23,0.099,0.374,Random,Yes,2018,Gastroenterology,IPD
META065,Embase,Meta-analysis of novel therapy 65,Novel intervention vs standard,Disease control,Novel agent,Standard care,25,1003,Hazard Ratio,1.16,0.81,1.07,0.012,42,0.066,0.263,Random,No,2023,Dermatology,Aggregate
META066,Embase,Meta-analysis of novel therapy 66,Novel intervention vs standard,Disease control,Novel agent,Placebo,16,1005,Mean Difference,0.83,0.65,1.17,0.039,46,0.075,0.36,Random,No,2018,Rheumatology,Aggregate
META067,PubMed,Meta-analysis of novel therapy 67,Novel intervention vs standard,Disease control,Novel agent,Standard care,20,3177,Mean Difference,1.08,0.66,1.34,0.063,53,0.095,0.473,Random,Yes,2022,Neurology,IPD
META068,PubMed,Meta-analysis of novel therapy 68,Novel intervention vs standard,Overall survival,Novel agent,Standard care,10,4702,Mean Difference,1.09,0.57,1.38,0.024,20,0.046,0.466,Random,No,2021,Rheumatology,Aggregate
META069,Embase,Meta-analysis of novel therapy 69,Novel intervention vs standard,Clinical response,Novel agent,Placebo,11,2930,Mean Difference,0.99,0.83,1.03,0.042,44,0.05,0.291,Random,No,2021,Oncology,IPD
META070,Embase,Meta-analysis of novel therapy 70,Novel intervention vs standard,Overall survival,Novel agent,Placebo,12,3457,Mean Difference,0.79,0.79,0.95,0.027,58,0.09,0.057,Random,No,2021,Oncology,Aggregate
META071,PubMed,Meta-analysis of novel therapy 71,Novel intervention vs standard,Symptom improvement,Novel agent,Placebo,13,2130,Odds Ratio,1.24,0.47,1.38,0.052,40,0.046,0.302,Random,No,2024,Rheumatology,IPD
META072,Embase,Meta-analysis of novel therapy 72,Novel intervention vs standard,Symptom improvement,Novel agent,Placebo,12,1937,Hazard Ratio,0.57,0.82,1.24,0.039,47,0.058,0.257,Random,Yes,2018,Oncology,Aggregate
META073,Embase,Meta-analysis of novel therapy 73,Novel intervention vs standard,Disease control,Novel agent,Standard care,24,4396,Odds Ratio,1.15,0.73,1.03,0.029,30,0.013,0.699,Random,Yes,2021,Dermatology,Aggregate
META074,PubMed,Meta-analysis of novel therapy 74,Novel intervention vs standard,Overall survival,Novel agent,Standard care,13,1102,Odds Ratio,0.64,0.83,0.95,0.04,62,0.022,0.648,Random,No,2020,Cardiology,IPD
META075,Embase,Meta-analysis of novel therapy 75,Novel intervention vs standard,Disease control,Novel agent,Placebo,8,1261,Odds Ratio,1.04,0.72,1.0,0.065,28,0.064,0.236,Random,No,2018,Dermatology,Aggregate
META076,Embase,Meta-analysis of novel therapy 76,Novel intervention vs standard,Disease control,Novel agent,Standard care,8,4202,Risk Ratio,1.05,0.51,1.04,0.066,64,0.023,0.213,Random,Yes,2020,Oncology,Aggregate
META077,Embase,Meta-analysis of novel therapy 77,Novel intervention vs standard,Clinical response,Novel agent,Standard care,21,4946,Odds Ratio,0.58,0.54,1.32,0.032,60,0.042,0.299,Random,Yes,2018,Gastroenterology,Aggregate
META078,Embase,Meta-analysis of novel therapy 78,Novel intervention vs standard,Overall survival,Novel agent,Placebo,16,2230,Risk Ratio,0.56,0.8,1.12,0.048,64,0.038,0.15,Random,Yes,2020,Neurology,Aggregate
META079,PubMed,Meta-analysis of novel therapy 79,Novel intervention vs standard,Overall survival,Novel agent,Placebo,23,1253,Hazard Ratio,1.01,0.74,1.29,0.036,43,0.079,0.656,Random,Yes,2021,Gastroenterology,IPD
META080,PubMed,Meta-analysis of novel therapy 80,Novel intervention vs standard,Symptom improvement,Novel agent,Placebo,11,926,Odds Ratio,1.02,0.48,1.33,0.074,38,0.063,0.055,Random,No,2020,Dermatology,Aggregate
META081,PubMed,Meta-analysis of novel therapy 81,Novel intervention vs standard,Symptom improvement,Novel agent,Standard care,13,2230,Hazard Ratio,1.01,0.61,1.37,0.047,34,0.02,0.165,Random,Yes,2020,Oncology,IPD
META082,Embase,Meta-analysis of novel therapy 82,Novel intervention vs standard,Clinical response,Novel agent,Standard care,16,3025,Mean Difference,0.67,0.65,1.12,0.076,58,0.077,0.714,Random,No,2018,Gastroenterology,Aggregate
META083,Embase,Meta-analysis of novel therapy 83,Novel intervention vs standard,Overall survival,Novel agent,Placebo,25,2994,Risk Ratio,1.17,0.7,1.33,0.01,45,0.074,0.456,Random,No,2024,Dermatology,Aggregate
META084,PubMed,Meta-analysis of novel therapy 84,Novel intervention vs standard,Clinical response,Novel agent,Placebo,25,4164,Risk Ratio,1.08,0.67,1.3,0.076,38,0.083,0.593,Random,No,2023,Rheumatology,IPD
META085,Embase,Meta-analysis of novel therapy 85,Novel intervention vs standard,Disease control,Novel agent,Standard care,19,1172,Mean Difference,0.77,0.48,1.26,0.067,25,0.037,0.242,Random,Yes,2023,Oncology,Aggregate
META086,Embase,Meta-analysis of novel therapy 86,Novel intervention vs standard,Clinical response,Novel agent,Standard care,24,4213,Mean Difference,1.2,0.58,1.13,0.035,51,0.031,0.181,Random,No,2022,Neurology,IPD
META087,Embase,Meta-analysis of novel therapy 87,Novel intervention vs standard,Disease control,Novel agent,Standard care,11,3603,Risk Ratio,0.85,0.55,1.2,0.015,32,0.036,0.739,Random,Yes,2022,Cardiology,Aggregate
META088,Embase,Meta-analysis of novel therapy 88,Novel intervention vs standard,Overall survival,Novel agent,Placebo,23,4600,Risk Ratio,0.91,0.62,0.99,0.042,20,0.036,0.575,Random,Yes,2022,Dermatology,IPD
META089,PubMed,Meta-analysis of novel therapy 89,Novel intervention vs standard,Disease control,Novel agent,Placebo,20,1669,Odds Ratio,0.75,0.48,1.36,0.022,56,0.03,0.711,Random,No,2023,Dermatology,Aggregate
META090,Embase,Meta-analysis of novel therapy 90,Novel intervention vs standard,Clinical response,Novel agent,Standard care,17,1021,Risk Ratio,0.55,0.65,1.24,0.049,35,0.047,0.416,Random,Yes,2022,Dermatology,Aggregate
META091,Embase,Meta-analysis of novel therapy 91,Novel intervention vs standard,Symptom improvement,Novel agent,Placebo,23,682,Odds Ratio,1.13,0.63,0.96,0.043,39,0.061,0.581,Random,Yes,2019,Neurology,Aggregate
META092,PubMed,Meta-analysis of novel therapy 92,Novel intervention vs standard,Overall survival,Novel agent,Standard care,19,3852,Odds Ratio,1.15,0.84,1.37,0.048,37,0.013,0.464,Random,No,2021,Oncology,Aggregate
META093,Embase,Meta-analysis of novel therapy 93,Novel intervention vs standard,Symptom improvement,Novel agent,Standard care,16,1117,Risk Ratio,1.14,0.65,1.3,0.07,42,0.062,0.192,Random,Yes,2021,Cardiology,Aggregate
META094,PubMed,Meta-analysis of novel therapy 94,Novel intervention vs standard,Clinical response,Novel agent,Placebo,18,1013,Mean Difference,1.14,0.58,1.06,0.007,26,0.045,0.608,Random,Yes,2021,Neurology,Aggregate
META095,Embase,Meta-analysis of novel therapy 95,Novel intervention vs standard,Symptom improvement,Novel agent,Placebo,9,3853,Hazard Ratio,1.24,0.62,1.36,0.029,21,0.017,0.407,Random,No,2019,Cardiology,IPD
META096,PubMed,Meta-analysis of novel therapy 96,Novel intervention vs standard,Clinical response,Novel agent,Standard care,24,2865,Risk Ratio,0.81,0.56,1.1,0.03,60,0.028,0.545,Random,Yes,2023,Oncology,Aggregate
META097,Embase,Meta-analysis of novel therapy 97,Novel intervention vs standard,Clinical response,Novel agent,Standard care,25,3826,Mean Difference,0.58,0.79,1.1,0.028,46,0.051,0.722,Random,Yes,2024,Oncology,Aggregate
META098,Embase,Meta-analysis of novel therapy 98,Novel intervention vs standard,Symptom improvement,Novel agent,Standard care,14,2525,Risk Ratio,1.01,0.85,1.04,0.042,31,0.053,0.667,Random,No,2022,Dermatology,Aggregate
META099,Embase,Meta-analysis of novel therapy 99,Novel intervention vs standard,Clinical response,Novel agent,Placebo,20,3053,Mean Difference,0.7,0.73,1.3,0.043,58,0.045,0.29,Random,No,2023,Neurology,IPD
META100,Embase,Meta-analysis of novel therapy 100,Novel intervention vs standard,Symptom improvement,Novel agent,Standard care,18,3917,Mean Difference,0.75,0.76,1.37,0.059,50,0.093,0.549,Random,No,2022,Oncology,Aggregate
META101,PubMed,Meta-analysis of novel therapy 101,Novel intervention vs standard,Overall survival,Novel agent,Standard care,14,3220,Mean Difference,0.81,0.63,1.35,0.054,42,0.087,0.221,Random,No,2024,Cardiology,Aggregate
META102,Embase,Meta-analysis of novel therapy 102,Novel intervention vs standard,Overall survival,Novel agent,Standard care,20,4085,Odds Ratio,0.75,0.66,1.07,0.044,42,0.033,0.395,Random,No,2018,Gastroenterology,IPD
META103,PubMed,Meta-analysis of novel therapy 103,Novel intervention vs standard,Clinical response,Novel agent,Standard care,14,2745,Hazard Ratio,0.96,0.72,0.98,0.008,20,0.064,0.116,Random,Yes,2020,Neurology,Aggregate
META104,Embase,Meta-analysis of novel therapy 104,Novel intervention vs standard,Symptom improvement,Novel agent,Placebo,21,888,Hazard Ratio,1.03,0.81,1.09,0.045,60,0.065,0.714,Random,No,2024,Dermatology,IPD
META105,PubMed,Meta-analysis of novel therapy 105,Novel intervention vs standard,Overall survival,Novel agent,Standard care,19,4347,Odds Ratio,0.81,0.77,0.96,0.055,47,0.098,0.672,Random,Yes,2024,Cardiology,IPD
META106,Embase,Meta-analysis of novel therapy 106,Novel intervention vs standard,Symptom improvement,Novel agent,Placebo,18,4350,Hazard Ratio,0.95,0.47,1.07,0.049,56,0.085,0.734,Random,Yes,2018,Rheumatology,Aggregate
META107,Embase,Meta-analysis of novel therapy 107,Novel intervention vs standard,Overall survival,Novel agent,Standard care,21,2379,Mean Difference,0.74,0.62,1.11,0.023,25,0.016,0.602,Random,No,2019,Dermatology,IPD
META108,Embase,Meta-analysis of novel therapy 108,Novel intervention vs standard,Disease control,Novel agent,Placebo,9,1332,Risk Ratio,0.91,0.59,1.22,0.073,59,0.093,0.183,Random,Yes,2019,Rheumatology,Aggregate
META109,Embase,Meta-analysis of novel therapy 109,Novel intervention vs standard,Symptom improvement,Novel agent,Standard care,21,4546,Odds Ratio,1.05,0.46,1.32,0.007,50,0.031,0.596,Random,Yes,2024,Gastroenterology,Aggregate
META110,Embase,Meta-analysis of novel therapy 110,Novel intervention vs standard,Symptom improvement,Novel agent,Standard care,9,2791,Hazard Ratio,0.82,0.56,1.45,0.01,26,0.011,0.28,Random,Yes,2020,Cardiology,Aggregate
META111,PubMed,Meta-analysis of novel therapy 111,Novel intervention vs standard,Symptom improvement,Novel agent,Standard care,10,4969,Risk Ratio,1.03,0.69,1.04,0.006,52,0.077,0.394,Random,Yes,2024,Gastroenterology,Aggregate
META112,Embase,Meta-analysis of novel therapy 112,Novel intervention vs standard,Disease control,Novel agent,Standard care,9,1163,Odds Ratio,1.24,0.82,1.08,0.068,49,0.083,0.281,Random,Yes,2022,Neurology,Aggregate
META113,Embase,Meta-analysis of novel therapy 113,Novel intervention vs standard,Symptom improvement,Novel agent,Placebo,8,1291,Hazard Ratio,1.12,0.52,1.11,0.062,24,0.073,0.644,Random,Yes,2022,Oncology,Aggregate
META114,PubMed,Meta-analysis of novel therapy 114,Novel intervention vs standard,Clinical response,Novel agent,Placebo,21,2859,Odds Ratio,0.66,0.5,1.34,0.045,55,0.053,0.149,Random,No,2022,Neurology,IPD
META115,PubMed,Meta-analysis of novel therapy 115,Novel intervention vs standard,Overall survival,Novel agent,Placebo,9,1519,Risk Ratio,0.76,0.85,1.37,0.034,39,0.016,0.217,Random,Yes,2020,Neurology,Aggregate
META116,Embase,Meta-analysis of novel therapy 116,Novel intervention vs standard,Overall survival,Novel agent,Placebo,22,4816,Mean Difference,0.84,0.49,1.35,0.029,54,0.036,0.141,Random,Yes,2023,Gastroenterology,Aggregate
META117,Embase,Meta-analysis of novel therapy 117,Novel intervention vs standard,Symptom improvement,Novel agent,Placebo,13,1266,Odds Ratio,1.2,0.56,1.43,0.068,56,0.087,0.458,Random,Yes,2018,Dermatology,Aggregate
META118,PubMed,Meta-analysis of novel therapy 118,Novel intervention vs standard,Symptom improvement,Novel agent,Standard care,21,4228,Hazard Ratio,1.16,0.55,1.07,0.065,60,0.032,0.387,Random,Yes,2023,Neurology,IPD
META119,Embase,Meta-analysis of novel therapy 119,Novel intervention vs standard,Clinical response,Novel agent,Standard care,18,1225,Odds Ratio,0.56,0.52,1.02,0.054,64,0.07,0.462,Random,No,2023,Rheumatology,Aggregate
META120,PubMed,Meta-analysis of novel therapy 120,Novel intervention vs standard,Clinical response,Novel agent,Placebo,13,605,Hazard Ratio,0.56,0.63,1.24,0.015,28,0.078,0.121,Random,No,2021,Dermatology,Aggregate
META121,Embase,Meta-analysis of novel therapy 121,Novel intervention vs standard,Disease control,Novel agent,Placebo,25,1673,Odds Ratio,0.66,0.72,1.04,0.003,43,0.072,0.472,Random,No,2023,Cardiology,Aggregate
