meta_analysis_id,study_id,author,year,journal,pmid,country,intervention,intervention_dose,comparator,n_intervention,n_comparator,outcome_type,events_intervention,events_comparator,mean_intervention,sd_intervention,mean_comparator,sd_comparator,hazard_ratio,hr_ci_lower,hr_ci_upper,follow_up_months,age_mean,age_sd,percent_male,percent_white,disease_severity,comorbidities,rob_random_sequence,rob_allocation_concealment,rob_blinding_participants,rob_blinding_outcome,rob_incomplete_outcome,rob_selective_reporting,rob_other_bias,rob_overall,industry_funding,multi_center,therapeutic_area,disease_indication,intervention_class,outcome_measure
META001,ARCT011,White,2019,Neurology,34343594,Austria,Pembrolizumab,200mg Q3W,Chemotherapy,1015,1159,survival,,,,,,,0.53,0.44,0.65,36,60.4,8.8,74,77,Advanced,Diabetes+HTN,low,low,low,low,low,low,low,low,yes,yes,Oncology,Advanced NSCLC,PD-1 inhibitor,Overall survival
META001,ARCT012,Taylor,2019,Haematologica,35659835,Canada,Pembrolizumab,200mg Q3W,Chemotherapy,506,1268,survival,,,,,,,0.55,0.45,0.63,48,64.8,8.5,62,56,Moderate,Diabetes+HTN,low,low,low,low,low,low,low,low,yes,yes,Oncology,Advanced NSCLC,PD-1 inhibitor,Overall survival
META001,ARCT013,Morris,2023,Ann Rheum Dis,37977949,USA,Pembrolizumab,200mg Q3W,Chemotherapy,1988,1387,survival,,,,,,,0.57,0.5,0.64,36,60.4,13.6,63,82,Moderate-severe,CVD,low,low,low,low,low,low,low,low,yes,yes,Oncology,Advanced NSCLC,PD-1 inhibitor,Overall survival
META001,ARCT014,Murphy,2023,Ann Rheum Dis,36519985,Denmark,Pembrolizumab,200mg Q3W,Chemotherapy,1794,800,survival,,,,,,,0.8,0.66,0.91,36,69.2,8.4,53,62,Refractory,COPD,low,high,low,low,low,low,low,high,yes,yes,Oncology,Advanced NSCLC,PD-1 inhibitor,Overall survival
META001,ARCT015,Baker,2019,Gut,37491977,Canada,Pembrolizumab,200mg Q3W,Chemotherapy,1895,491,survival,,,,,,,0.53,0.42,0.64,48,64.9,13.3,51,55,Advanced,CVD,low,low,low,low,low,low,low,low,no,yes,Oncology,Advanced NSCLC,PD-1 inhibitor,Overall survival
META002,ARCT016,Johnson,2024,Lancet Diabetes Endocrinol,36476139,Spain,CAR-T therapy,Single infusion,Standard therapy,79,36,binary,77,12,,,,,,,,36,48.6,11.8,54,81,Moderate-severe,None,low,low,low,low,low,low,low,low,yes,yes,Hematology,B-cell malignancies,Cell therapy,Complete remission
META002,ARCT017,Ramirez,2019,Gut,36790214,Norway,CAR-T therapy,Single infusion,Standard therapy,55,64,binary,22,12,,,,,,,,36,48.8,9.0,48,65,Severe,Diabetes,low,low,low,low,low,low,low,low,yes,yes,Hematology,B-cell malignancies,Cell therapy,Complete remission
META002,ARCT018,Adams,2020,Ann Rheum Dis,31278719,UK,CAR-T therapy,Single infusion,Standard therapy,20,25,binary,15,6,,,,,,,,24,47.5,8.2,57,51,Severe,Diabetes,low,low,low,low,low,low,low,low,yes,yes,Hematology,B-cell malignancies,Cell therapy,Complete remission
META002,ARCT019,Edwards,2021,Haematologica,36964523,Spain,CAR-T therapy,Single infusion,Standard therapy,54,37,binary,36,9,,,,,,,,24,51.5,10.2,43,75,Moderate-severe,Obesity,low,low,low,low,low,low,low,low,no,yes,Hematology,B-cell malignancies,Cell therapy,Complete remission
META002,ARCT020,Martinez,2020,Lancet Neurol,33537946,Singapore,CAR-T therapy,Single infusion,Standard therapy,69,58,binary,54,18,,,,,,,,12,65.6,12.3,51,57,Severe,CVD,low,low,low,low,low,low,low,low,no,yes,Hematology,B-cell malignancies,Cell therapy,Complete remission
META002,ARCT021,Jackson,2022,JAMA,37572702,Norway,CAR-T therapy,Single infusion,Standard therapy,79,78,binary,60,18,,,,,,,,12,53.9,12.4,61,81,Moderate-severe,CKD,low,low,low,low,low,low,low,low,no,yes,Hematology,B-cell malignancies,Cell therapy,Complete remission
META002,ARCT022,Nguyen,2019,Circulation,37577440,Belgium,CAR-T therapy,Single infusion,Standard therapy,47,40,binary,46,12,,,,,,,,24,55.5,10.9,58,76,Moderate-severe,Diabetes+HTN,low,low,low,low,low,low,low,low,yes,yes,Hematology,B-cell malignancies,Cell therapy,Complete remission
META002,ARCT023,Wilson,2018,Gastroenterology,36327907,Switzerland,CAR-T therapy,Single infusion,Standard therapy,72,74,binary,72,23,,,,,,,,36,65.7,11.5,51,69,Advanced,None,low,low,low,low,low,low,low,low,no,yes,Hematology,B-cell malignancies,Cell therapy,Complete remission
META003,ARCT024,Gonzalez,2020,Gastroenterology,36124503,South Korea,Dapagliflozin,10mg daily,Placebo,1828,1058,survival,,,,,,,0.8,0.66,0.92,24,62.7,9.9,42,73,Moderate-severe,CVD,low,low,low,low,low,low,low,low,yes,yes,Cardiology,Heart failure,SGLT2i,CV death or HF hosp
META003,ARCT025,Foster,2024,JACC,37176393,Norway,Dapagliflozin,10mg daily,Placebo,1284,1036,survival,,,,,,,0.58,0.5,0.66,36,58.9,8.8,58,76,Refractory,Multiple,low,low,low,low,low,low,low,low,yes,yes,Cardiology,Heart failure,SGLT2i,CV death or HF hosp
META003,ARCT026,Perez,2020,Circulation,31442252,India,Dapagliflozin,10mg daily,Placebo,1148,1690,survival,,,,,,,0.53,0.45,0.6,24,62.1,9.9,47,80,Refractory,HTN,low,low,low,low,low,low,low,low,yes,yes,Cardiology,Heart failure,SGLT2i,CV death or HF hosp
META003,ARCT027,Cook,2024,Gut,33359035,Italy,Dapagliflozin,10mg daily,Placebo,1697,1226,survival,,,,,,,0.75,0.65,0.86,24,59.9,13.3,45,55,Moderate-severe,Diabetes,low,low,low,low,low,low,low,low,no,yes,Cardiology,Heart failure,SGLT2i,CV death or HF hosp
META003,ARCT028,James,2023,J Clin Oncol,30372897,Brazil,Dapagliflozin,10mg daily,Placebo,782,658,survival,,,,,,,0.72,0.6,0.82,36,55.0,8.8,53,57,Advanced,CKD,low,low,low,low,low,low,low,low,yes,no,Cardiology,Heart failure,SGLT2i,CV death or HF hosp
META003,ARCT029,Gray,2022,Lancet Respir Med,35639347,South Korea,Dapagliflozin,10mg daily,Placebo,1992,1115,survival,,,,,,,0.69,0.57,0.79,48,52.9,10.5,63,50,Moderate-severe,None,low,low,low,low,low,low,low,low,yes,yes,Cardiology,Heart failure,SGLT2i,CV death or HF hosp
META003,ARCT030,Murphy,2020,Lancet Oncol,35890080,Australia,Dapagliflozin,10mg daily,Placebo,1659,1168,survival,,,,,,,0.58,0.47,0.65,24,53.2,8.4,53,78,Severe,Obesity,low,low,low,low,low,low,low,low,no,yes,Cardiology,Heart failure,SGLT2i,CV death or HF hosp
META003,ARCT031,Hall,2023,J Clin Oncol,32762146,Brazil,Dapagliflozin,10mg daily,Placebo,641,612,survival,,,,,,,0.63,0.55,0.75,48,65.8,13.6,48,85,Moderate-severe,Multiple,low,low,low,low,low,low,low,low,yes,yes,Cardiology,Heart failure,SGLT2i,CV death or HF hosp
META003,ARCT032,Thompson,2018,NEJM,35001445,Italy,Dapagliflozin,10mg daily,Placebo,1120,648,survival,,,,,,,0.6,0.52,0.73,24,59.9,9.2,56,58,Severe,Multiple,low,low,low,low,low,low,low,low,yes,yes,Cardiology,Heart failure,SGLT2i,CV death or HF hosp
META003,ARCT033,Baker,2024,JAMA,33789598,France,Dapagliflozin,10mg daily,Placebo,1222,883,survival,,,,,,,0.57,0.47,0.66,48,52.6,10.1,38,77,Severe,Obesity,low,low,low,low,low,low,low,low,yes,yes,Cardiology,Heart failure,SGLT2i,CV death or HF hosp
META003,ARCT034,Ramirez,2023,J Clin Oncol,33520979,France,Dapagliflozin,10mg daily,Placebo,1499,657,survival,,,,,,,0.64,0.56,0.75,48,55.7,9.5,54,67,Moderate,Diabetes,low,low,low,low,low,low,low,low,yes,yes,Cardiology,Heart failure,SGLT2i,CV death or HF hosp
META003,ARCT035,James,2018,Rheumatology,31645221,France,Dapagliflozin,10mg daily,Placebo,1248,1017,survival,,,,,,,0.63,0.54,0.75,48,55.5,12.1,43,56,Refractory,None,low,low,low,low,low,low,low,low,no,yes,Cardiology,Heart failure,SGLT2i,CV death or HF hosp
META004,ARCT036,Jones,2019,JACC,35807584,Sweden,Evolocumab,140mg Q2W,Placebo,485,166,continuous,,,-61.2,31.1,-32.1,29.8,,,,36,60.1,8.4,53,58,Refractory,Diabetes,low,low,low,low,low,low,low,low,no,yes,Cardiology,Hyperlipidemia,PCSK9i,LDL cholesterol reduction
META004,ARCT037,Davis,2019,Lancet,30878425,Netherlands,Evolocumab,140mg Q2W,Placebo,850,466,continuous,,,-61.5,24.6,-29.4,25.5,,,,12,47.3,10.4,42,54,Refractory,CVD,low,low,low,low,low,low,low,low,no,yes,Cardiology,Hyperlipidemia,PCSK9i,LDL cholesterol reduction
META004,ARCT038,Perez,2021,Lancet Oncol,36021362,Australia,Evolocumab,140mg Q2W,Placebo,792,348,continuous,,,-65.3,20.0,-38.1,18.7,,,,24,43.6,8.4,63,69,Severe,Obesity,low,low,low,low,low,low,low,low,yes,yes,Cardiology,Hyperlipidemia,PCSK9i,LDL cholesterol reduction
META004,ARCT039,Hughes,2024,Lancet Oncol,34176349,Norway,Evolocumab,140mg Q2W,Placebo,562,320,continuous,,,-76.3,34.7,-42.9,31.3,,,,12,42.3,11.0,55,72,Severe,None,low,low,low,low,low,low,low,low,yes,yes,Cardiology,Hyperlipidemia,PCSK9i,LDL cholesterol reduction
META004,ARCT040,Harris,2019,Lancet Oncol,34810788,Germany,Evolocumab,140mg Q2W,Placebo,272,278,continuous,,,-55.9,21.2,-27.7,20.6,,,,12,65.3,11.7,38,82,Moderate-severe,Obesity,low,low,low,low,low,low,low,low,yes,yes,Cardiology,Hyperlipidemia,PCSK9i,LDL cholesterol reduction
META004,ARCT041,Hall,2023,Rheumatology,34127114,China,Evolocumab,140mg Q2W,Placebo,301,351,continuous,,,-58.2,22.0,-27.8,24.5,,,,12,61.8,13.2,63,83,Advanced,None,low,low,low,low,low,low,low,low,yes,yes,Cardiology,Hyperlipidemia,PCSK9i,LDL cholesterol reduction
META004,ARCT042,Edwards,2018,Br J Dermatol,34692417,Sweden,Evolocumab,140mg Q2W,Placebo,568,238,continuous,,,-65.5,28.4,-40.7,29.1,,,,24,60.2,8.7,42,56,Moderate-severe,Multiple,low,low,low,low,low,low,low,low,no,yes,Cardiology,Hyperlipidemia,PCSK9i,LDL cholesterol reduction
META004,ARCT043,Smith,2019,Gut,35116662,Netherlands,Evolocumab,140mg Q2W,Placebo,243,277,continuous,,,-65.5,17.3,-31.3,19.3,,,,24,59.5,8.9,58,60,Moderate-severe,Diabetes,low,low,unclear,low,low,low,low,unclear,no,yes,Cardiology,Hyperlipidemia,PCSK9i,LDL cholesterol reduction
META004,ARCT044,Perez,2019,Rheumatology,37088441,Japan,Evolocumab,140mg Q2W,Placebo,500,800,continuous,,,-67.0,26.8,-42.4,28.7,,,,12,43.1,11.6,48,73,Severe,Diabetes,low,low,low,low,low,low,low,low,no,yes,Cardiology,Hyperlipidemia,PCSK9i,LDL cholesterol reduction
META004,ARCT045,Baker,2019,Neurology,36284979,Chile,Evolocumab,140mg Q2W,Placebo,496,236,continuous,,,-48.9,33.5,-27.8,30.0,,,,36,61.6,8.6,50,61,Severe,HTN,low,low,low,low,low,low,low,low,no,yes,Cardiology,Hyperlipidemia,PCSK9i,LDL cholesterol reduction
META005,ARCT046,Martinez,2024,JACC,35638692,Japan,Upadacitinib,15mg daily,Placebo,711,360,binary,640,153,,,,,,,,24,62.2,10.1,57,80,Moderate,Obesity,low,low,low,low,low,low,low,low,no,yes,Rheumatology,Rheumatoid arthritis,JAK inhibitor,ACR50 response
META005,ARCT047,Johnson,2019,J Clin Oncol,37244153,Netherlands,Upadacitinib,15mg daily,Placebo,581,772,binary,518,263,,,,,,,,12,43.3,11.0,45,70,Severe,None,low,low,low,low,low,low,low,low,yes,yes,Rheumatology,Rheumatoid arthritis,JAK inhibitor,ACR50 response
META005,ARCT048,Rodriguez,2018,JAMA,31881710,Norway,Upadacitinib,15mg daily,Placebo,162,627,binary,144,210,,,,,,,,24,61.2,9.1,64,85,Advanced,Diabetes,low,low,low,low,low,low,low,low,no,yes,Rheumatology,Rheumatoid arthritis,JAK inhibitor,ACR50 response
META005,ARCT049,Morgan,2019,Haematologica,34888856,South Korea,Upadacitinib,15mg daily,Placebo,326,274,binary,249,76,,,,,,,,24,56.8,8.1,56,53,Advanced,Diabetes,low,low,low,low,low,low,low,low,yes,yes,Rheumatology,Rheumatoid arthritis,JAK inhibitor,ACR50 response
META005,ARCT050,Edwards,2018,JAMA,32279395,France,Upadacitinib,15mg daily,Placebo,477,233,binary,315,100,,,,,,,,24,54.9,13.3,39,72,Refractory,HTN,low,low,low,low,low,low,low,low,yes,yes,Rheumatology,Rheumatoid arthritis,JAK inhibitor,ACR50 response
META005,ARCT051,Stewart,2020,Haematologica,34376079,Singapore,Upadacitinib,15mg daily,Placebo,735,417,binary,460,110,,,,,,,,36,63.3,10.0,46,63,Refractory,COPD,low,low,low,low,low,low,low,low,yes,yes,Rheumatology,Rheumatoid arthritis,JAK inhibitor,ACR50 response
META005,ARCT052,Morris,2022,Eur Heart J,31233539,China,Upadacitinib,15mg daily,Placebo,264,424,binary,171,108,,,,,,,,24,52.2,12.8,35,79,Refractory,Diabetes+HTN,low,low,low,low,low,low,low,low,yes,no,Rheumatology,Rheumatoid arthritis,JAK inhibitor,ACR50 response
META005,ARCT053,Smith,2021,Gut,35388739,UK,Upadacitinib,15mg daily,Placebo,778,264,binary,493,70,,,,,,,,24,65.6,8.3,59,73,Moderate-severe,COPD,low,low,low,low,low,low,low,low,no,yes,Rheumatology,Rheumatoid arthritis,JAK inhibitor,ACR50 response
META005,ARCT054,Morgan,2022,JAMA Dermatol,36072843,Denmark,Upadacitinib,15mg daily,Placebo,201,739,binary,107,272,,,,,,,,24,45.1,14.0,38,52,Severe,Diabetes,low,low,low,low,low,low,low,low,yes,yes,Rheumatology,Rheumatoid arthritis,JAK inhibitor,ACR50 response
META005,ARCT055,Diaz,2022,Circulation,31419332,Norway,Upadacitinib,15mg daily,Placebo,424,208,binary,390,90,,,,,,,,12,46.9,13.6,60,62,Moderate,Obesity,low,low,low,low,low,low,low,low,yes,yes,Rheumatology,Rheumatoid arthritis,JAK inhibitor,ACR50 response
META005,ARCT056,Nelson,2019,NEJM,36896381,India,Upadacitinib,15mg daily,Placebo,861,583,binary,824,252,,,,,,,,24,45.8,11.1,40,68,Refractory,None,low,low,low,low,low,low,low,low,yes,yes,Rheumatology,Rheumatoid arthritis,JAK inhibitor,ACR50 response
META006,ARCT057,Cox,2021,Ann Rheum Dis,34176601,Austria,Risankizumab,150mg Q12W,Placebo,186,198,binary,206,85,,,,,,,,12,65.4,10.5,39,70,Severe,COPD,low,low,low,low,low,low,low,low,yes,yes,Dermatology,Psoriasis,IL-23 inhibitor,PASI 90 response
META006,ARCT058,White,2022,Gut,35982537,France,Risankizumab,150mg Q12W,Placebo,784,259,binary,341,57,,,,,,,,24,47.5,12.0,50,79,Moderate-severe,CKD,low,low,low,low,low,low,low,low,yes,yes,Dermatology,Psoriasis,IL-23 inhibitor,PASI 90 response
META006,ARCT059,Evans,2020,Haematologica,34780481,Argentina,Risankizumab,150mg Q12W,Placebo,344,592,binary,263,230,,,,,,,,12,62.9,10.1,35,71,Severe,Multiple,low,low,low,low,low,low,low,low,no,yes,Dermatology,Psoriasis,IL-23 inhibitor,PASI 90 response
META006,ARCT060,Bennett,2022,Gastroenterology,31113595,India,Risankizumab,150mg Q12W,Placebo,456,790,binary,170,171,,,,,,,,24,58.4,12.6,46,79,Severe,CKD,low,low,low,low,low,low,low,low,no,yes,Dermatology,Psoriasis,IL-23 inhibitor,PASI 90 response
META006,ARCT061,Williams,2019,Blood,32519526,Singapore,Risankizumab,150mg Q12W,Placebo,194,789,binary,104,300,,,,,,,,12,57.0,12.9,50,52,Moderate,CKD,low,low,low,low,low,low,low,low,yes,yes,Dermatology,Psoriasis,IL-23 inhibitor,PASI 90 response
META006,ARCT062,Taylor,2021,Neurology,33869606,Singapore,Risankizumab,150mg Q12W,Placebo,249,326,binary,153,116,,,,,,,,12,52.4,11.3,54,68,Moderate-severe,Multiple,low,low,low,low,low,low,low,low,yes,yes,Dermatology,Psoriasis,IL-23 inhibitor,PASI 90 response
META006,ARCT063,Roberts,2022,Eur Heart J,33812353,South Korea,Risankizumab,150mg Q12W,Placebo,229,538,binary,212,181,,,,,,,,12,48.5,13.5,49,67,Refractory,Obesity,low,low,low,low,low,low,low,low,yes,yes,Dermatology,Psoriasis,IL-23 inhibitor,PASI 90 response
META006,ARCT064,Martinez,2023,Br J Dermatol,34598062,Netherlands,Risankizumab,150mg Q12W,Placebo,860,701,binary,747,260,,,,,,,,24,65.3,8.9,63,81,Moderate,None,low,low,low,low,low,low,low,low,yes,yes,Dermatology,Psoriasis,IL-23 inhibitor,PASI 90 response
META006,ARCT065,Diaz,2020,J Clin Oncol,32163564,Norway,Risankizumab,150mg Q12W,Placebo,792,703,binary,503,277,,,,,,,,36,52.2,8.3,39,58,Advanced,CVD,low,low,low,low,low,low,low,low,yes,yes,Dermatology,Psoriasis,IL-23 inhibitor,PASI 90 response
META007,ARCT066,Roberts,2018,Haematologica,31990528,Singapore,Ustekinumab,6mg/kg IV then 90mg SC Q8W,Placebo,255,844,binary,210,222,,,,,,,,36,47.0,8.9,51,58,Severe,CVD,low,low,low,low,low,low,low,low,yes,yes,Gastroenterology,Ulcerative colitis,IL-12/23 inhibitor,Clinical remission
META007,ARCT067,King,2022,Gastroenterology,31017888,Argentina,Ustekinumab,6mg/kg IV then 90mg SC Q8W,Placebo,485,267,binary,175,40,,,,,,,,36,56.5,8.4,55,70,Severe,CKD,low,low,low,low,low,low,low,low,yes,yes,Gastroenterology,Ulcerative colitis,IL-12/23 inhibitor,Clinical remission
META007,ARCT068,Cooper,2020,Gastroenterology,35896744,Belgium,Ustekinumab,6mg/kg IV then 90mg SC Q8W,Placebo,160,662,binary,52,107,,,,,,,,24,51.7,8.4,40,76,Refractory,None,low,low,low,low,low,low,low,low,yes,yes,Gastroenterology,Ulcerative colitis,IL-12/23 inhibitor,Clinical remission
META007,ARCT069,Jackson,2022,Lancet Oncol,36873610,Denmark,Ustekinumab,6mg/kg IV then 90mg SC Q8W,Placebo,390,262,binary,433,86,,,,,,,,24,48.5,13.1,59,83,Moderate-severe,HTN,low,low,low,low,low,low,low,low,yes,yes,Gastroenterology,Ulcerative colitis,IL-12/23 inhibitor,Clinical remission
META007,ARCT070,Morris,2022,JAMA,35006150,Germany,Ustekinumab,6mg/kg IV then 90mg SC Q8W,Placebo,491,783,binary,344,208,,,,,,,,12,58.7,12.4,57,81,Moderate,Diabetes,low,low,low,low,unclear,low,low,unclear,yes,yes,Gastroenterology,Ulcerative colitis,IL-12/23 inhibitor,Clinical remission
META007,ARCT071,Gomez,2020,Ann Rheum Dis,34524366,UK,Ustekinumab,6mg/kg IV then 90mg SC Q8W,Placebo,737,242,binary,275,41,,,,,,,,36,59.7,12.7,36,73,Advanced,HTN,low,low,low,low,low,low,low,low,yes,yes,Gastroenterology,Ulcerative colitis,IL-12/23 inhibitor,Clinical remission
META007,ARCT072,Watson,2022,Lancet Respir Med,31408975,UK,Ustekinumab,6mg/kg IV then 90mg SC Q8W,Placebo,487,630,binary,241,101,,,,,,,,36,50.9,10.7,58,80,Moderate-severe,Obesity,low,low,low,low,low,low,low,low,no,yes,Gastroenterology,Ulcerative colitis,IL-12/23 inhibitor,Clinical remission
META007,ARCT073,Phillips,2018,Blood,30410956,Australia,Ustekinumab,6mg/kg IV then 90mg SC Q8W,Placebo,429,391,binary,309,82,,,,,,,,12,47.9,11.3,43,68,Moderate-severe,Obesity,low,low,low,low,low,low,low,low,no,yes,Gastroenterology,Ulcerative colitis,IL-12/23 inhibitor,Clinical remission
META008,ARCT074,Harris,2020,Lancet Oncol,33192895,Switzerland,Erenumab,140mg monthly,Placebo,626,866,continuous,,,-3.4,3.9,-1.2,3.8,,,,24,62.9,13.9,41,52,Severe,CVD,low,low,low,low,low,low,low,low,yes,yes,Neurology,Migraine prevention,CGRP mAb,Monthly migraine days
META008,ARCT075,Anderson,2023,Lancet Diabetes Endocrinol,37459507,Mexico,Erenumab,140mg monthly,Placebo,615,690,continuous,,,-3.4,4.6,-0.6,4.7,,,,36,61.2,12.9,49,65,Severe,None,low,low,low,low,low,low,low,low,no,no,Neurology,Migraine prevention,CGRP mAb,Monthly migraine days
META008,ARCT076,Parker,2022,Neurology,31761727,Belgium,Erenumab,140mg monthly,Placebo,828,734,continuous,,,-4.7,3.2,-1.5,3.7,,,,12,55.1,13.1,42,52,Advanced,COPD,low,low,low,low,low,low,low,low,yes,yes,Neurology,Migraine prevention,CGRP mAb,Monthly migraine days
META008,ARCT077,Bennett,2023,Blood,30489096,USA,Erenumab,140mg monthly,Placebo,546,744,continuous,,,-4.4,4.6,-0.9,4.6,,,,12,47.9,12.1,37,82,Advanced,COPD,low,low,low,low,low,low,low,low,yes,yes,Neurology,Migraine prevention,CGRP mAb,Monthly migraine days
META008,ARCT078,Hall,2022,Lancet,30397294,UK,Erenumab,140mg monthly,Placebo,843,809,continuous,,,-2.4,3.9,-0.6,4.5,,,,24,53.0,10.5,59,62,Moderate,Diabetes,low,low,low,low,low,low,low,low,yes,yes,Neurology,Migraine prevention,CGRP mAb,Monthly migraine days
META008,ARCT079,Rodriguez,2021,Lancet Diabetes Endocrinol,33643867,Germany,Erenumab,140mg monthly,Placebo,864,268,continuous,,,-3.9,3.1,-0.5,3.0,,,,36,63.1,8.5,64,85,Advanced,CVD,low,low,low,low,low,low,low,low,no,no,Neurology,Migraine prevention,CGRP mAb,Monthly migraine days
META008,ARCT080,Wright,2019,Lancet Oncol,32907038,Taiwan,Erenumab,140mg monthly,Placebo,221,373,continuous,,,-3.1,4.6,-1.2,4.3,,,,12,55.8,10.6,62,51,Moderate-severe,COPD,low,low,low,low,low,low,low,low,yes,no,Neurology,Migraine prevention,CGRP mAb,Monthly migraine days
META008,ARCT081,Taylor,2023,Lancet Respir Med,31182779,Sweden,Erenumab,140mg monthly,Placebo,858,580,continuous,,,-4.6,5.6,-1.4,5.0,,,,24,56.4,9.8,55,70,Advanced,None,low,low,low,low,low,low,low,low,no,yes,Neurology,Migraine prevention,CGRP mAb,Monthly migraine days
META008,ARCT082,Lopez,2022,Lancet Oncol,34779607,Australia,Erenumab,140mg monthly,Placebo,459,766,continuous,,,-2.8,3.8,-0.7,4.3,,,,12,61.8,13.1,40,85,Refractory,COPD,low,low,low,low,low,low,low,low,yes,yes,Neurology,Migraine prevention,CGRP mAb,Monthly migraine days
META008,ARCT083,Hill,2022,Lancet,34719621,Japan,Erenumab,140mg monthly,Placebo,295,603,continuous,,,-4.6,3.5,-1.4,3.8,,,,24,46.4,10.5,39,53,Moderate-severe,HTN,low,low,low,low,low,low,low,low,yes,yes,Neurology,Migraine prevention,CGRP mAb,Monthly migraine days
META009,ARCT084,Martinez,2023,Lancet Diabetes Endocrinol,31162801,Netherlands,Dupilumab,300mg Q2W,Placebo,730,645,binary,170,222,,,,,,,,36,53.8,10.6,52,57,Moderate-severe,None,low,low,low,low,low,low,low,low,yes,yes,Pulmonology,Severe asthma,IL-4/13 inhibitor,Severe exacerbation rate
META009,ARCT085,Lewis,2020,Blood,37461704,Mexico,Dupilumab,300mg Q2W,Placebo,319,284,binary,85,117,,,,,,,,24,43.6,11.3,63,84,Advanced,None,low,low,low,low,low,low,low,low,no,yes,Pulmonology,Severe asthma,IL-4/13 inhibitor,Severe exacerbation rate
META009,ARCT086,Morales,2019,Neurology,32791767,Sweden,Dupilumab,300mg Q2W,Placebo,309,163,binary,99,84,,,,,,,,36,58.7,9.9,52,57,Moderate,Obesity,low,low,low,low,low,low,low,low,no,yes,Pulmonology,Severe asthma,IL-4/13 inhibitor,Severe exacerbation rate
