nma_id,study_id,author,year,journal,pmid,country,treatment_arm1,treatment_arm2,n_arm1,n_arm2,outcome_type,events_arm1,events_arm2,mean_arm1,sd_arm1,mean_arm2,sd_arm2,hazard_ratio,hr_ci_lower,hr_ci_upper,follow_up_months,age_mean,age_sd,percent_male,percent_white,disease_severity,comorbidities,rob_random_sequence,rob_allocation_concealment,rob_blinding_participants,rob_blinding_outcome,rob_incomplete_outcome,rob_selective_reporting,rob_other_bias,rob_overall,industry_funding,multi_center,comparison_type
NMA001,NRCT0017,Green,2020,BMJ,24309559,France,Treatment C,Treatment D,790,388,survival,,,,,,,0.6,0.48,0.71,48,48.1,12.2,36,88,Moderate-severe,HTN,low,low,low,low,low,low,low,low,no,yes,Placebo-controlled
NMA001,NRCT0018,Hall,2010,Lancet Oncol,24411203,South Korea,Treatment E,Treatment C,628,747,continuous,,,69.2,21.6,61.5,15.7,,,,12,46.8,8.8,56,73,Mild,None,low,low,low,low,low,low,low,low,no,no,Placebo-controlled
NMA001,NRCT0019,King,2014,Lancet Oncol,26896592,Singapore,Treatment B,Treatment C,221,330,continuous,,,54.6,21.2,56.9,18.4,,,,48,44.0,13.5,62,81,Mild,Diabetes,low,low,low,low,low,low,low,low,yes,yes,Placebo-controlled
NMA001,NRCT0020,Walker,2010,Neurology,23655589,France,Treatment E,Treatment D,250,768,binary,127,162,,,,,,,,12,60.0,9.1,61,63,Moderate-severe,HTN,low,low,unclear,low,low,low,low,unclear,no,yes,Placebo-controlled
NMA001,NRCT0021,Hall,2016,JAMA,31984045,Mexico,Treatment C,Treatment C,800,353,survival,,,,,,,0.91,0.84,1.01,12,64.3,9.6,37,53,Severe,CVD,low,low,low,low,low,low,low,low,no,yes,Head-to-head
NMA001,NRCT0022,Turner,2012,JAMA,32802646,Belgium,Treatment E,Treatment A,496,260,survival,,,,,,,0.81,0.72,0.88,12,59.7,11.8,66,66,Mild,None,low,low,low,low,low,low,low,low,yes,yes,Placebo-controlled
NMA001,NRCT0023,Carter,2012,JAMA,22415864,Singapore,Treatment E,Treatment C,388,800,binary,62,210,,,,,,,,36,52.3,8.4,68,81,Severe,HTN,low,low,low,low,low,low,low,low,no,yes,Placebo-controlled
NMA001,NRCT0024,Collins,2012,J Clin Oncol,30237492,France,Treatment C,Treatment C,577,777,survival,,,,,,,0.67,0.61,0.77,48,52.9,13.8,37,53,Severe,HTN,low,high,low,low,low,low,low,high,no,yes,Placebo-controlled
NMA001,NRCT0025,Hall,2011,JAMA Dermatol,28081687,Spain,Treatment A,Treatment C,249,555,survival,,,,,,,1.02,0.91,1.19,36,66.9,8.2,46,61,Mild,None,low,low,low,low,low,low,low,low,yes,no,Placebo-controlled
NMA001,NRCT0026,Thomas,2011,BMJ,26317015,Brazil,Treatment D,Treatment B,710,623,survival,,,,,,,0.83,0.72,0.91,48,42.3,13.0,34,63,Mild,Diabetes,low,low,low,low,unclear,low,low,unclear,no,yes,Placebo-controlled
NMA001,NRCT0027,Thomas,2022,BMJ,34095556,Canada,Treatment D,Treatment A,445,375,continuous,,,69.8,21.7,60.3,15.8,,,,12,52.1,11.6,59,78,Mild,None,low,low,low,low,low,low,low,low,yes,yes,Head-to-head
NMA001,NRCT0028,Carter,2019,J Clin Oncol,28983717,Australia,Treatment D,Treatment B,738,399,binary,435,153,,,,,,,,12,64.8,10.6,61,86,Moderate-severe,Multiple,low,low,low,low,low,low,low,low,no,yes,Head-to-head
NMA001,NRCT0029,Reed,2020,JAMA Dermatol,23124964,China,Treatment B,Treatment D,719,211,binary,204,52,,,,,,,,24,49.6,12.6,48,85,Severe,None,low,low,low,low,low,low,low,low,no,yes,Head-to-head
NMA001,NRCT0030,Young,2021,Neurology,26631097,Taiwan,Treatment D,Treatment B,361,401,binary,98,210,,,,,,,,36,66.9,9.5,48,66,Moderate,HTN,low,low,low,low,low,low,unclear,unclear,no,yes,Placebo-controlled
NMA001,NRCT0031,Robinson,2020,Lancet Neurol,26914384,Brazil,Treatment B,Treatment C,624,224,continuous,,,69.9,19.6,64.9,17.9,,,,36,42.7,10.7,64,65,Mild,CVD,low,low,low,low,low,low,low,low,no,no,Placebo-controlled
NMA001,NRCT0032,Hill,2022,Lancet Respir Med,30226607,Sweden,Treatment B,Treatment B,686,468,continuous,,,77.3,24.7,63.4,12.7,,,,36,53.8,10.2,39,86,Moderate-severe,CVD,low,low,low,low,low,low,low,low,no,yes,Placebo-controlled
NMA001,NRCT0033,Nguyen,2018,Gut,29208266,Denmark,Treatment E,Treatment D,210,208,binary,38,111,,,,,,,,12,55.9,10.2,49,85,Moderate-severe,CVD,low,low,low,low,low,low,low,low,no,yes,Head-to-head
NMA001,NRCT0034,Edwards,2023,JACC,29722868,South Korea,Treatment A,Treatment E,343,594,survival,,,,,,,0.66,0.6,0.74,12,42.8,10.1,60,54,Moderate,Multiple,low,low,low,low,low,low,low,low,no,yes,Placebo-controlled
NMA002,NRCT0035,Smith,2014,Lancet,30833371,Belgium,Treatment E,Treatment D,321,622,continuous,,,70.5,22.1,62.1,17.2,,,,48,67.6,12.2,43,54,Severe,Multiple,low,high,low,low,low,low,low,high,no,no,Placebo-controlled
NMA002,NRCT0036,Jones,2020,Lancet Respir Med,27307689,Sweden,Treatment A,Treatment C,525,715,binary,196,277,,,,,,,,12,64.1,11.4,68,56,Moderate-severe,None,low,low,low,low,low,low,high,high,no,no,Placebo-controlled
NMA002,NRCT0037,Rogers,2013,NEJM,21144305,USA,Treatment A,Treatment A,520,480,binary,295,210,,,,,,,,24,58.0,9.1,67,80,Moderate,None,low,low,low,low,low,low,low,low,no,yes,Placebo-controlled
NMA002,NRCT0038,Clark,2010,Lancet Psychiatry,32500559,Mexico,Treatment A,Treatment E,742,447,binary,178,234,,,,,,,,48,65.9,12.5,53,74,Severe,HTN,low,low,low,low,low,low,low,low,no,yes,Head-to-head
NMA002,NRCT0039,Williams,2014,BMJ,29156592,France,Treatment A,Treatment A,501,453,binary,221,220,,,,,,,,48,60.4,13.0,51,62,Moderate-severe,CVD,low,low,low,low,low,low,low,low,yes,yes,Placebo-controlled
NMA002,NRCT0040,Davis,2013,JAMA Dermatol,33251177,Germany,Treatment C,Treatment B,645,667,continuous,,,67.3,23.3,49.4,19.1,,,,12,42.9,9.8,58,76,Mild,CVD,low,low,low,low,low,low,low,low,yes,yes,Placebo-controlled
NMA002,NRCT0041,Torres,2020,Gut,27366756,South Korea,Treatment B,Treatment D,735,533,binary,118,160,,,,,,,,48,57.7,8.8,38,72,Severe,Multiple,low,low,low,low,low,low,low,low,yes,yes,Placebo-controlled
NMA002,NRCT0042,Torres,2021,Gut,28091248,South Korea,Treatment B,Treatment A,278,283,continuous,,,74.0,23.1,58.5,23.4,,,,36,58.3,8.1,43,65,Mild,HTN,low,low,low,low,low,low,low,low,yes,yes,Placebo-controlled
NMA002,NRCT0043,Thomas,2021,JACC,25918475,Spain,Treatment A,Treatment C,639,306,continuous,,,70.5,17.9,67.8,17.3,,,,36,67.7,12.6,53,61,Moderate-severe,CVD,low,low,low,low,low,low,low,low,yes,no,Placebo-controlled
NMA002,NRCT0044,Taylor,2013,Lancet Oncol,29243310,South Korea,Treatment B,Treatment A,249,206,survival,,,,,,,0.7,0.64,0.81,36,44.7,13.7,53,74,Moderate,HTN,low,low,low,low,low,low,low,low,no,yes,Head-to-head
NMA002,NRCT0045,Smith,2014,NEJM,34570946,Denmark,Treatment E,Treatment A,289,733,continuous,,,73.2,21.8,50.1,24.8,,,,24,57.1,9.1,42,79,Severe,HTN,low,low,low,low,low,low,low,low,no,yes,Placebo-controlled
NMA002,NRCT0046,Rogers,2020,Lancet Neurol,34473452,Denmark,Treatment B,Treatment A,566,656,survival,,,,,,,0.62,0.5,0.72,48,52.9,13.0,34,67,Severe,None,low,low,low,low,low,low,low,low,no,yes,Placebo-controlled
NMA002,NRCT0047,Harris,2019,Lancet Neurol,23510251,South Korea,Treatment E,Treatment B,792,580,survival,,,,,,,0.69,0.61,0.8,12,44.7,11.6,60,64,Severe,CVD,low,low,unclear,low,low,low,low,unclear,yes,yes,Placebo-controlled
NMA002,NRCT0048,Collins,2023,Lancet Respir Med,28471505,Japan,Treatment C,Treatment E,205,784,binary,112,246,,,,,,,,12,59.8,12.8,33,80,Severe,Diabetes,low,low,low,low,low,low,low,low,yes,yes,Head-to-head
NMA002,NRCT0049,Rogers,2018,Lancet Psychiatry,30042373,UK,Treatment A,Treatment A,391,231,binary,221,51,,,,,,,,24,44.3,13.8,42,84,Moderate-severe,HTN,low,low,low,low,low,low,low,low,no,yes,Head-to-head
NMA002,NRCT0050,Williams,2022,Lancet,34866964,Singapore,Treatment D,Treatment A,573,520,binary,166,115,,,,,,,,48,66.1,8.9,67,76,Moderate-severe,Diabetes,low,low,unclear,low,low,low,low,unclear,no,yes,Placebo-controlled
NMA002,NRCT0051,King,2011,J Clin Oncol,35305560,Belgium,Treatment C,Treatment C,250,742,binary,66,320,,,,,,,,24,67.0,11.5,45,65,Moderate-severe,None,low,low,low,low,low,low,low,low,yes,yes,Placebo-controlled
NMA002,NRCT0052,Harris,2014,Lancet Respir Med,32909664,Taiwan,Treatment C,Treatment C,767,286,binary,170,116,,,,,,,,48,58.7,12.9,42,71,Moderate-severe,None,low,low,low,low,low,low,unclear,unclear,yes,yes,Placebo-controlled
NMA002,NRCT0053,Allen,2012,NEJM,35016799,USA,Treatment E,Treatment E,235,224,binary,81,114,,,,,,,,48,66.1,13.8,66,53,Mild,None,low,low,low,low,low,low,low,low,no,yes,Head-to-head
NMA002,NRCT0054,Brown,2011,Ann Rheum Dis,22781013,UK,Treatment B,Treatment E,302,308,continuous,,,52.0,17.2,76.5,14.5,,,,48,67.5,8.5,46,82,Moderate,Multiple,low,low,low,low,low,low,low,low,no,yes,Placebo-controlled
NMA002,NRCT0055,Young,2018,NEJM,32012962,Denmark,Treatment D,Treatment D,239,442,survival,,,,,,,1.02,0.88,1.14,24,63.0,11.0,53,52,Severe,Multiple,low,low,low,low,low,low,low,low,no,yes,Placebo-controlled
NMA002,NRCT0056,Martinez,2019,Neurology,27734976,Mexico,Treatment B,Treatment C,656,497,binary,209,172,,,,,,,,24,57.2,9.0,38,57,Mild,CVD,low,low,low,low,low,low,low,low,no,yes,Placebo-controlled
NMA002,NRCT0057,Reed,2022,Ann Rheum Dis,27833286,USA,Treatment C,Treatment B,488,508,survival,,,,,,,0.62,0.55,0.73,48,43.6,11.9,34,57,Moderate,Diabetes,low,low,low,low,low,low,unclear,unclear,no,yes,Placebo-controlled
NMA002,NRCT0058,Morris,2023,Lancet,27037062,Canada,Treatment E,Treatment B,235,578,survival,,,,,,,0.77,0.69,0.84,24,59.0,13.4,37,84,Moderate-severe,Multiple,low,low,high,low,low,low,low,high,yes,no,Placebo-controlled
NMA002,NRCT0059,Hall,2017,NEJM,26883409,Germany,Treatment D,Treatment E,760,412,binary,427,117,,,,,,,,48,53.5,11.2,48,65,Moderate-severe,None,low,low,low,low,low,low,low,low,yes,yes,Head-to-head
NMA003,NRCT0060,Walker,2019,Lancet Respir Med,34273015,India,Treatment D,Treatment B,375,573,continuous,,,49.2,16.4,51.1,21.1,,,,12,53.0,9.1,42,78,Severe,HTN,low,low,low,low,low,low,low,low,no,yes,Head-to-head
NMA003,NRCT0061,Johnson,2011,Lancet Oncol,35552149,Spain,Treatment C,Treatment D,376,470,binary,166,218,,,,,,,,48,61.1,8.3,54,69,Severe,HTN,low,low,low,low,low,low,low,low,yes,yes,Head-to-head
NMA003,NRCT0062,Baker,2013,Lancet Respir Med,24610876,USA,Treatment D,Treatment C,263,798,continuous,,,51.5,24.3,64.3,17.7,,,,12,63.8,9.4,38,53,Moderate-severe,Diabetes,low,low,low,low,low,low,low,low,yes,yes,Placebo-controlled
NMA003,NRCT0063,Robinson,2022,J Clin Oncol,28246170,Germany,Treatment A,Treatment A,550,471,continuous,,,50.5,21.2,76.7,18.3,,,,12,47.5,10.6,50,55,Severe,None,low,low,low,low,low,low,low,low,yes,yes,Placebo-controlled
NMA003,NRCT0064,Robinson,2022,JACC,31459460,Brazil,Treatment C,Treatment B,578,417,survival,,,,,,,0.6,0.51,0.65,12,62.2,10.5,33,58,Severe,CVD,low,low,low,low,low,low,low,low,no,yes,Placebo-controlled
NMA003,NRCT0065,Garcia,2021,Lancet Psychiatry,28862952,China,Treatment D,Treatment D,557,321,binary,204,134,,,,,,,,36,64.7,8.7,36,81,Moderate,Multiple,low,low,low,low,low,low,low,low,yes,yes,Placebo-controlled
NMA003,NRCT0066,Phillips,2023,Lancet Neurol,35815043,Canada,Treatment E,Treatment C,360,623,binary,203,286,,,,,,,,24,63.1,12.7,56,80,Mild,None,low,low,low,low,low,low,low,low,yes,yes,Head-to-head
NMA003,NRCT0067,Stewart,2020,Neurology,33436355,Italy,Treatment B,Treatment D,389,798,survival,,,,,,,0.82,0.68,0.95,48,49.1,11.3,49,81,Severe,HTN,low,low,low,low,high,low,low,high,no,yes,Placebo-controlled
NMA003,NRCT0068,Davis,2020,JACC,28014449,Brazil,Treatment D,Treatment E,354,708,binary,158,346,,,,,,,,48,49.9,10.8,43,88,Moderate-severe,Diabetes,low,low,low,low,low,low,low,low,yes,no,Placebo-controlled
NMA003,NRCT0069,Campbell,2015,Ann Rheum Dis,21152185,UK,Treatment B,Treatment B,768,417,binary,118,129,,,,,,,,12,57.8,13.0,51,78,Mild,None,low,low,low,low,low,low,low,low,no,yes,Placebo-controlled
NMA003,NRCT0070,King,2021,Lancet Neurol,22640465,Sweden,Treatment B,Treatment E,631,765,survival,,,,,,,0.91,0.83,1.07,24,67.0,10.6,35,82,Mild,HTN,low,low,low,low,low,low,low,low,no,yes,Placebo-controlled
NMA003,NRCT0071,Bell,2013,Circulation,34279104,Spain,Treatment B,Treatment A,779,768,binary,118,115,,,,,,,,48,57.0,8.0,59,75,Severe,Multiple,low,low,low,low,low,low,low,low,no,yes,Placebo-controlled
NMA003,NRCT0072,Adams,2018,NEJM,30648081,South Korea,Treatment D,Treatment B,421,412,binary,125,133,,,,,,,,12,51.9,9.0,36,87,Severe,None,low,low,low,unclear,low,low,low,unclear,no,yes,Placebo-controlled
NMA003,NRCT0073,Allen,2022,Circulation,33390269,Taiwan,Treatment E,Treatment E,227,799,survival,,,,,,,1.03,0.84,1.13,48,61.5,8.2,35,61,Severe,None,unclear,low,low,low,low,low,low,unclear,no,no,Placebo-controlled
NMA003,NRCT0074,Collins,2021,JAMA,25640239,Belgium,Treatment C,Treatment B,489,560,survival,,,,,,,0.63,0.57,0.71,36,55.8,9.0,56,54,Mild,Diabetes,low,low,low,low,low,low,low,low,yes,yes,Placebo-controlled
NMA003,NRCT0075,Wilson,2014,Gut,22897449,France,Treatment B,Treatment D,608,482,continuous,,,64.1,15.4,55.3,18.5,,,,24,49.1,10.8,64,57,Mild,CVD,low,low,low,low,low,low,low,low,no,yes,Placebo-controlled
NMA003,NRCT0076,Jackson,2018,JACC,23495754,Brazil,Treatment A,Treatment D,441,503,binary,158,89,,,,,,,,48,60.1,8.9,61,61,Moderate-severe,None,low,low,low,low,low,low,low,low,yes,yes,Placebo-controlled
NMA003,NRCT0077,Martin,2017,Lancet Respir Med,21013411,UK,Treatment A,Treatment A,613,356,survival,,,,,,,1.04,0.95,1.16,36,66.3,9.0,34,85,Moderate,Multiple,low,low,low,low,low,low,low,low,no,yes,Placebo-controlled
NMA003,NRCT0078,Thomas,2022,Lancet,36057836,Sweden,Treatment D,Treatment B,753,245,binary,254,99,,,,,,,,48,43.0,13.0,66,81,Moderate,None,low,low,low,low,low,low,low,low,yes,no,Placebo-controlled
NMA003,NRCT0079,Martin,2014,Lancet Oncol,27539276,France,Treatment C,Treatment C,248,353,binary,69,95,,,,,,,,48,44.7,14.0,38,68,Moderate-severe,HTN,low,low,low,low,low,low,low,low,no,yes,Head-to-head
NMA003,NRCT0080,Anderson,2023,Blood,32143712,Italy,Treatment D,Treatment A,231,629,binary,90,173,,,,,,,,12,50.9,9.6,46,87,Moderate-severe,None,low,low,low,low,low,low,low,low,no,yes,Placebo-controlled
NMA003,NRCT0081,Collins,2016,Gut,33171235,Mexico,Treatment C,Treatment A,314,214,continuous,,,77.2,20.4,56.2,19.5,,,,36,62.7,11.3,47,64,Mild,Multiple,unclear,low,low,low,low,low,low,unclear,yes,yes,Placebo-controlled
NMA003,NRCT0082,Carter,2013,JACC,21420330,China,Treatment E,Treatment D,659,202,binary,171,45,,,,,,,,48,54.8,9.3,59,57,Severe,Diabetes,low,low,low,low,low,low,low,low,no,yes,Placebo-controlled
NMA003,NRCT0083,Evans,2011,JAMA Dermatol,34234743,Belgium,Treatment B,Treatment D,426,568,binary,180,144,,,,,,,,24,66.8,13.0,64,52,Mild,Diabetes,low,low,low,low,low,low,low,low,no,yes,Head-to-head
NMA003,NRCT0084,Walker,2014,Lancet,23606799,Belgium,Treatment B,Treatment D,347,310,continuous,,,62.2,21.7,70.1,24.5,,,,24,59.2,11.6,54,65,Moderate,Diabetes,low,low,low,low,low,low,low,low,no,no,Placebo-controlled
NMA004,NRCT0085,Rogers,2020,Lancet Neurol,23112978,India,Treatment C,Treatment B,441,481,survival,,,,,,,0.74,0.67,0.83,36,51.8,11.7,63,86,Severe,Diabetes,low,low,low,low,low,low,low,low,no,yes,Placebo-controlled
NMA004,NRCT0086,Cooper,2012,JACC,28803822,Singapore,Treatment D,Treatment A,290,720,continuous,,,55.6,18.3,63.0,21.4,,,,12,44.7,10.4,65,65,Mild,None,low,low,low,low,low,low,low,low,yes,yes,Placebo-controlled
NMA004,NRCT0087,Bell,2010,J Clin Oncol,35272532,Germany,Treatment C,Treatment A,662,562,binary,227,279,,,,,,,,12,58.6,13.6,54,68,Mild,Multiple,low,unclear,low,low,low,low,low,unclear,yes,no,Placebo-controlled
NMA004,NRCT0088,Walker,2018,Circulation,22603204,Denmark,Treatment B,Treatment B,256,674,binary,104,281,,,,,,,,48,66.6,8.1,51,72,Mild,None,low,low,low,low,low,low,low,low,no,yes,Head-to-head
NMA004,NRCT0089,Cooper,2014,JAMA,28105663,Australia,Treatment B,Treatment A,781,405,survival,,,,,,,0.72,0.66,0.84,48,52.4,11.2,65,62,Severe,CVD,low,low,low,low,low,low,low,low,no,no,Placebo-controlled
NMA004,NRCT0090,Davis,2019,Lancet Psychiatry,31992896,France,Treatment B,Treatment B,360,271,binary,99,92,,,,,,,,48,67.9,8.6,46,53,Severe,HTN,low,unclear,low,low,low,low,low,unclear,yes,yes,Head-to-head
NMA004,NRCT0091,Torres,2012,Gut,30674332,USA,Treatment B,Treatment A,263,755,continuous,,,63.1,20.3,66.0,13.1,,,,36,60.3,9.2,66,69,Severe,Diabetes,low,low,low,low,low,low,low,low,yes,yes,Placebo-controlled
NMA004,NRCT0092,Green,2012,Lancet,31432480,Canada,Treatment A,Treatment D,334,201,continuous,,,61.7,24.2,77.3,21.7,,,,36,63.1,10.2,65,56,Mild,CVD,low,unclear,low,low,low,low,low,unclear,no,yes,Placebo-controlled
NMA004,NRCT0093,Clark,2022,Lancet,22457337,Taiwan,Treatment E,Treatment B,640,202,binary,192,109,,,,,,,,12,46.1,8.4,57,84,Moderate-severe,Multiple,low,low,low,low,low,low,low,low,no,yes,Placebo-controlled
NMA004,NRCT0094,Moore,2018,JACC,29435392,India,Treatment A,Treatment B,398,442,binary,215,262,,,,,,,,24,55.0,11.8,50,77,Moderate-severe,HTN,low,low,low,low,low,low,low,low,no,yes,Head-to-head
NMA004,NRCT0095,Evans,2013,Gut,35767814,UK,Treatment A,Treatment B,351,308,binary,75,99,,,,,,,,12,64.3,12.2,47,88,Moderate-severe,Multiple,low,low,low,low,low,low,low,low,no,yes,Placebo-controlled
NMA004,NRCT0096,King,2013,Neurology,33519066,India,Treatment E,Treatment A,741,437,continuous,,,63.6,21.9,46.4,21.7,,,,36,52.7,11.1,51,72,Mild,None,low,low,low,low,low,low,low,low,yes,yes,Placebo-controlled
NMA004,NRCT0097,Green,2021,Blood,29005991,South Korea,Treatment C,Treatment A,421,256,survival,,,,,,,0.84,0.77,0.94,12,66.4,10.6,45,88,Moderate,None,low,low,low,low,low,low,low,low,yes,yes,Placebo-controlled
NMA004,NRCT0098,White,2016,JAMA Dermatol,21426697,Sweden,Treatment A,Treatment B,769,679,binary,204,244,,,,,,,,12,64.3,13.6,51,68,Moderate-severe,Multiple,low,low,low,low,low,low,low,low,no,yes,Head-to-head
NMA004,NRCT0099,Brown,2019,J Clin Oncol,36795384,UK,Treatment C,Treatment B,389,631,binary,161,354,,,,,,,,12,66.2,12.8,55,83,Severe,HTN,low,low,low,low,low,unclear,low,unclear,no,yes,Placebo-controlled
NMA004,NRCT0100,Cook,2013,BMJ,30656247,USA,Treatment A,Treatment C,783,501,binary,324,185,,,,,,,,12,48.5,11.4,43,73,Severe,None,low,low,low,low,low,low,low,low,no,yes,Placebo-controlled
NMA004,NRCT0101,Williams,2017,J Clin Oncol,32951187,Canada,Treatment C,Treatment E,253,315,binary,70,95,,,,,,,,36,52.4,10.3,56,54,Mild,Diabetes,low,low,low,low,low,low,low,low,yes,yes,Head-to-head
NMA004,NRCT0102,Wright,2012,JACC,24893221,India,Treatment C,Treatment D,544,332,continuous,,,47.1,13.7,53.4,19.6,,,,12,43.6,12.0,34,54,Moderate-severe,Multiple,low,low,low,low,low,low,low,low,yes,yes,Placebo-controlled
NMA004,NRCT0103,Williams,2012,Gut,34520981,Germany,Treatment D,Treatment A,625,758,survival,,,,,,,0.62,0.5,0.67,24,57.3,9.3,32,63,Moderate-severe,None,low,low,low,low,low,low,low,low,yes,yes,Placebo-controlled
NMA004,NRCT0104,Davis,2014,Lancet Respir Med,23792060,Mexico,Treatment D,Treatment A,745,705,continuous,,,65.7,24.6,63.5,24.8,,,,24,67.7,12.4,51,71,Mild,Multiple,low,low,low,low,low,low,low,low,yes,yes,Placebo-controlled
NMA004,NRCT0105,Wilson,2012,JAMA,28915041,Italy,Treatment E,Treatment C,584,229,binary,152,87,,,,,,,,24,46.8,13.9,45,53,Moderate,Diabetes,low,low,low,low,low,low,low,low,yes,yes,Head-to-head
NMA004,NRCT0106,Walker,2011,JAMA,21485326,France,Treatment B,Treatment E,317,535,binary,102,138,,,,,,,,24,46.5,11.2,47,74,Mild,CVD,low,low,low,low,low,low,low,low,yes,yes,Head-to-head
NMA004,NRCT0107,Morgan,2019,Lancet,29885811,Japan,Treatment D,Treatment B,735,323,continuous,,,60.7,21.0,56.0,12.7,,,,12,54.9,9.6,48,64,Mild,CVD,low,low,low,low,low,low,low,low,yes,yes,Placebo-controlled
NMA004,NRCT0108,Martin,2020,Neurology,23928211,Australia,Treatment A,Treatment A,652,707,binary,313,133,,,,,,,,36,46.1,11.4,54,69,Mild,CVD,low,low,low,low,low,low,low,low,no,yes,Head-to-head
NMA004,NRCT0109,Morris,2023,BMJ,36874956,Netherlands,Treatment A,Treatment B,220,676,survival,,,,,,,0.98,0.81,1.11,48,48.3,12.1,47,73,Moderate-severe,HTN,low,low,low,low,low,low,low,low,no,yes,Placebo-controlled
NMA004,NRCT0110,Adams,2015,Gut,26194971,Belgium,Treatment A,Treatment E,712,748,survival,,,,,,,0.88,0.72,1.01,12,57.7,13.5,64,55,Mild,CVD,low,low,low,low,low,low,low,low,no,yes,Placebo-controlled
