nma_id,review_title,outcome,n_studies,n_participants,n_treatments,network_geometry,reference_treatment,effect_type,treatments_in_network,direct_comparisons,indirect_comparisons,total_comparisons,consistency_model,inconsistency_p,heterogeneity_within_designs,heterogeneity_between_designs,tau_squared,overall_i_squared,best_treatment_rank1,best_treatment_prob_rank1,sucra_values,league_table_available,treatment_rankings_available,ranking_plot_available,network_plot_available,certainty_assessment,publication_year,therapeutic_area,funding_source
NMA031,Targeted therapies for advanced renal cell carcinoma,Progression-free survival,52,12456,13,Mesh,Sunitinib,Hazard Ratio,"Sunitinib,Pazopanib,Sorafenib,Axitinib,Cabozantinib,Lenvatinib,Nivolumab,Pembrolizumab,Ipilimumab+nivolumab,Pembrolizumab+lenvatinib,Pembrolizumab+axitinib,Cabozantinib+nivolumab,Avelumab+axitinib",32,46,78,NMA-consistency,0.285,0.022,0.028,0.035,32,Cabozantinib+nivolumab,0.48,"Cabozantinib+nivolumab:0.94,Pembrolizumab+lenvatinib:0.92,Pembrolizumab+axitinib:0.88,Ipilimumab+nivolumab:0.84",Yes,Yes,Yes,Yes,High,2022,Oncology,Industry
NMA032,Treatments for neuropathic pain,Pain reduction ≥50%,85,15845,14,Star,Placebo,Risk Ratio,"Placebo,Gabapentin,Pregabalin,Duloxetine,Venlafaxine,Amitriptyline,Nortriptyline,Capsaicin,Lidocaine patch,Tramadol,Tapentadol,Oxycodone,Cannabis,Botulinum toxin A",48,43,91,NMA-consistency,0.385,0.158,0.185,0.245,58,Duloxetine,0.42,"Duloxetine:0.88,Pregabalin:0.86,Gabapentin:0.82,Amitriptyline:0.78,Tapentadol:0.74",Yes,Yes,Yes,Yes,Moderate,2020,Pain medicine,Academic
NMA033,Immunotherapy combinations for melanoma,Overall survival,42,8456,9,Connected,Chemotherapy,Hazard Ratio,"Chemotherapy,Ipilimumab,Nivolumab,Pembrolizumab,Nivolumab+ipilimumab,Dabrafenib+trametinib,Vemurafenib+cobimetinib,Encorafenib+binimetinib,Atezolizumab+vemurafenib+cobimetinib",24,12,36,NMA-consistency,0.428,0.018,0.025,0.028,28,Nivolumab+ipilimumab,0.55,"Nivolumab+ipilimumab:0.95,Pembrolizumab:0.90,Nivolumab:0.85,Dabrafenib+trametinib:0.80",Yes,Yes,Yes,Yes,High,2021,Oncology,Mixed
NMA034,Treatments for Crohn's disease,Clinical remission,62,12845,11,Mesh,Placebo,Risk Ratio,"Placebo,Infliximab,Adalimumab,Certolizumab,Vedolizumab,Ustekinumab,Risankizumab,Azathioprine,Methotrexate,Budesonide,Exclusive enteral nutrition",35,20,55,NMA-consistency,0.285,0.042,0.052,0.068,48,Risankizumab,0.48,"Risankizumab:0.92,Ustekinumab:0.88,Vedolizumab:0.84,Infliximab:0.80,Adalimumab:0.76",Yes,Yes,Yes,Yes,Moderate,2022,Gastroenterology,Mixed
NMA035,Treatments for allergic rhinitis,Symptom score reduction,95,18456,16,Star,Placebo,Mean Difference,"Placebo,Cetirizine,Loratadine,Fexofenadine,Desloratadine,Levocetirizine,Bilastine,Rupatadine,Fluticasone nasal spray,Mometasone nasal spray,Budesonide nasal spray,Azelastine nasal spray,Montelukast,Sublingual immunotherapy,Subcutaneous immunotherapy,Omalizumab",52,68,120,NMA-consistency,0.185,0.258,0.325,1.85,52,Sublingual immunotherapy,0.35,"Sublingual immunotherapy:0.88,Subcutaneous immunotherapy:0.85,Fluticasone nasal spray:0.82,Mometasone nasal spray:0.78",Yes,Yes,Yes,Yes,High,2020,Allergy,Academic
NMA036,Antibiotics for community-acquired pneumonia,Clinical cure,112,28456,12,Mesh,Amoxicillin,Risk Ratio,"Amoxicillin,Amoxicillin-clavulanate,Ceftriaxone,Cefuroxime,Azithromycin,Clarithromycin,Levofloxacin,Moxifloxacin,Doxycycline,Telithromycin,Ertapenem,Tigecycline",62,28,90,NMA-consistency,0.428,0.028,0.038,0.045,38,Levofloxacin,0.42,"Levofloxacin:0.88,Moxifloxacin:0.86,Ceftriaxone:0.82,Azithromycin:0.78,Amoxicillin-clavulanate:0.74",Yes,Yes,Yes,Yes,Moderate,2019,Infectious disease,Academic
NMA037,IL-17 inhibitors for psoriatic arthritis,ACR50 response,38,8456,8,Connected,Placebo,Risk Ratio,"Placebo,Secukinumab,Ixekizumab,Brodalumab,Bimekizumab,Adalimumab,Etanercept,Ustekinumab",22,10,32,NMA-consistency,0.528,0.035,0.045,0.058,42,Bimekizumab,0.52,"Bimekizumab:0.92,Ixekizumab:0.88,Secukinumab:0.84,Brodalumab:0.80,Ustekinumab:0.74",Yes,Yes,Yes,Yes,High,2021,Rheumatology,Mixed
NMA038,Treatments for postpartum hemorrhage,Blood transfusion,48,12456,7,Star,Oxytocin,Risk Ratio,"Oxytocin,Misoprostol,Carbetocin,Oxytocin+misoprostol,Oxytocin+ergometrine,Carboprost,Tranexamic acid",28,8,36,NMA-consistency,0.652,0.022,0.028,0.035,28,Carbetocin,0.48,"Carbetocin:0.86,Oxytocin+ergometrine:0.82,Tranexamic acid:0.78,Oxytocin+misoprostol:0.74,Carboprost:0.70",Yes,Yes,Yes,Yes,Moderate,2020,Obstetrics,Academic
NMA039,Antiarrhythmics for atrial fibrillation rhythm control,Maintenance of sinus rhythm,72,15845,11,Mesh,Placebo,Risk Ratio,"Placebo,Amiodarone,Dronedarone,Flecainide,Propafenone,Sotalol,Dofetilide,Vernakalant,Azimilide,Catheter ablation,Surgical ablation",42,13,55,NMA-consistency,0.185,0.042,0.052,0.068,48,Catheter ablation,0.52,"Catheter ablation:0.92,Amiodarone:0.86,Surgical ablation:0.82,Dronedarone:0.76,Flecainide:0.72",Yes,Yes,Yes,Yes,High,2021,Cardiology,Mixed
NMA040,Treatments for acute gout,Pain reduction at 24h,62,12456,9,Connected,Placebo,Mean Difference,"Placebo,Colchicine,Indomethacin,Naproxen,Diclofenac,Prednisolone,Etoricoxib,Canakinumab,IL-1 inhibitors",35,11,46,NMA-consistency,0.428,0.358,0.425,1.25,42,Canakinumab,0.45,"Canakinumab:0.90,IL-1 inhibitors:0.86,Etoricoxib:0.82,Indomethacin:0.78,Prednisolone:0.74",Yes,Yes,Yes,Yes,Moderate,2020,Rheumatology,Academic
NMA041,Treatments for severe asthma,Exacerbation rate,58,12845,12,Star,Placebo,Rate Ratio,"Placebo,Omalizumab,Mepolizumab,Reslizumab,Benralizumab,Dupilumab,Tezepelumab,Lebrikizumab,Tralokinumab,High-dose ICS-LABA,Tiotropium add-on,Azithromycin",32,34,66,NMA-consistency,0.285,0.038,0.048,0.062,45,Dupilumab,0.48,"Dupilumab:0.92,Benralizumab:0.88,Mepolizumab:0.84,Tezepelumab:0.80,Omalizumab:0.76",Yes,Yes,Yes,Yes,High,2022,Pulmonology,Mixed
NMA042,Treatments for diabetic macular edema,Visual acuity gain,48,8456,9,Mesh,Laser photocoagulation,Mean Difference,"Laser photocoagulation,Ranibizumab,Aflibercept,Bevacizumab,Brolucizumab,Faricimab,Dexamethasone implant,Fluocinolone implant,Triamcinolone",28,8,36,NMA-consistency,0.528,0.458,0.525,2.45,48,Faricimab,0.52,"Faricimab:0.90,Aflibercept:0.88,Brolucizumab:0.84,Ranibizumab:0.80,Dexamethasone implant:0.74",Yes,Yes,Yes,Yes,Moderate,2021,Ophthalmology,Mixed
NMA043,Treatments for opioid-induced constipation,Spontaneous bowel movements per week,42,6845,8,Connected,Placebo,Mean Difference,"Placebo,Methylnaltrexone,Naloxegol,Naldemedine,Alvimopan,Lubiprostone,Polyethylene glycol,Prucalopride",24,10,34,NMA-consistency,0.428,0.258,0.325,0.685,38,Naldemedine,0.48,"Naldemedine:0.88,Naloxegol:0.84,Methylnaltrexone:0.80,Prucalopride:0.76,Lubiprostone:0.70",Yes,Yes,Yes,Yes,Moderate,2020,Gastroenterology,Industry
NMA044,Antiretrovirals for HIV treatment-naive,Virologic suppression at 48 weeks,95,22456,16,Star,Efavirenz-based,Risk Ratio,"Efavirenz-based,Rilpivirine-based,Nevirapine-based,Atazanavir-based,Darunavir-based,Lopinavir-based,Dolutegravir-based,Elvitegravir-based,Raltegravir-based,Bictegravir-based,Doravirine-based,Cabotegravir+rilpivirine LA,TAF-based,TDF-based,ABC-based,3TC-based",52,64,116,NMA-consistency,0.185,0.018,0.025,0.028,28,Bictegravir-based,0.42,"Bictegravir-based:0.94,Dolutegravir-based:0.92,Cabotegravir+rilpivirine LA:0.88,Darunavir-based:0.84",Yes,Yes,Yes,Yes,High,2021,Infectious disease,Mixed
NMA045,Treatments for endometriosis pain,Pain reduction VAS,68,12456,13,Mesh,Placebo,Mean Difference,"Placebo,OCP continuous,OCP cyclic,Dienogest,Norethisterone,GnRH agonists,GnRH antagonists,Danazol,Progestin IUD,Aromatase inhibitors,Elagolix,Relugolix,Linzagolix",38,40,78,NMA-consistency,0.285,0.458,0.525,3.25,52,GnRH agonists,0.42,"GnRH agonists:0.90,Elagolix:0.88,Relugolix:0.84,Dienogest:0.80,Linzagolix:0.76",Yes,Yes,Yes,Yes,Moderate,2022,Gynecology,Mixed
NMA046,Treatments for heart failure with preserved EF,CV death or HF hospitalization,38,18456,8,Connected,Placebo,Hazard Ratio,"Placebo,Spironolactone,Candesartan,Irbesartan,Perindopril,Sacubitril-valsartan,SGLT2 inhibitors,Finerenone",22,6,28,NMA-consistency,0.652,0.012,0.018,0.018,22,SGLT2 inhibitors,0.58,"SGLT2 inhibitors:0.92,Sacubitril-valsartan:0.86,Finerenone:0.80,Spironolactone:0.74,Candesartan:0.68",Yes,Yes,Yes,Yes,High,2022,Cardiology,Mixed
NMA047,Treatments for chronic spontaneous urticaria,Complete response,52,8456,11,Star,Placebo,Risk Ratio,"Placebo,Cetirizine,Fexofenadine,Desloratadine,Levocetirizine,Omalizumab,Cyclosporine,Montelukast,Dapsone,H2 antagonist add-on,Tranexamic acid",28,27,55,NMA-consistency,0.385,0.048,0.058,0.075,48,Omalizumab,0.52,"Omalizumab:0.94,Cyclosporine:0.86,Levocetirizine:0.80,Desloratadine:0.74,Cetirizine:0.70",Yes,Yes,Yes,Yes,High,2021,Dermatology,Mixed
