meta_id,cochrane_id,review_title,comparison,outcome,intervention,control,n_studies,n_participants,pooled_effect_type,pooled_effect,ci_lower,ci_upper,p_value,i_squared,tau_squared,heterogeneity_p,model_type,subgroup_analysis,sensitivity_analysis,publication_bias_assessed,rob_overall,certainty_grade,year_updated,therapeutic_area
CMETA020,CD020912,Colchicine for gout,Colchicine vs NSAIDs,Pain at 24h,Colchicine,Ibuprofen,8,1245,Mean Difference,0.45,-0.28,1.18,0.224,35,0.685,0.158,Random,No,Yes,No,Low,Moderate,2021,Rheumatology
CMETA021,CD021045,Thiazide diuretics for hypertension,Thiazides vs placebo,Major cardiovascular events,Hydrochlorothiazide,Placebo,16,18452,Risk Ratio,0.88,0.80,0.97,0.009,12,0.005,0.325,Fixed,Yes,Yes,Yes,Low,High,2020,Cardiology
CMETA022,CD022178,Leukotriene antagonists for asthma,LTRAs vs placebo,Asthma exacerbations,Montelukast,Placebo,28,6852,Risk Ratio,0.72,0.64,0.81,0.001,38,0.028,0.042,Random,Yes,Yes,Yes,Low,High,2021,Pulmonology
CMETA023,CD023201,Omega-3 fatty acids for cardiovascular disease,Omega-3 vs placebo,Major vascular events,Fish oil,Placebo,32,78452,Risk Ratio,0.94,0.90,0.99,0.012,0,0.000,0.698,Fixed,Yes,Yes,Yes,Low,Moderate,2022,Cardiology
CMETA024,CD024334,Calcium supplementation for bone health,Calcium vs placebo,Fracture incidence,Calcium,Placebo,18,12845,Risk Ratio,0.92,0.84,1.01,0.082,22,0.012,0.198,Random,Yes,Yes,Yes,Low,Low,2020,Endocrinology
CMETA025,CD025467,Folic acid supplementation in pregnancy,Folic acid vs no treatment,Neural tube defects,Folic acid,No supplement,8,5842,Risk Ratio,0.31,0.19,0.51,0.001,0,0.000,0.845,Fixed,Yes,Yes,No,Low,High,2021,Obstetrics
CMETA026,CD026590,Proton pump inhibitors for GERD,PPIs vs H2 antagonists,Symptom resolution,Omeprazole,Ranitidine,24,6245,Risk Ratio,1.42,1.28,1.58,0.001,45,0.035,0.028,Random,Yes,Yes,Yes,Low,High,2022,Gastroenterology
CMETA027,CD027623,Antivirals for influenza,Neuraminidase inhibitors vs placebo,Duration of symptoms,Oseltamivir,Placebo,18,4856,Mean Difference,-16.8,-21.2,-12.4,0.001,52,28.45,0.012,Random,Yes,Yes,Yes,Low,Moderate,2020,Infectious disease
CMETA028,CD028756,Intravenous immunoglobulin for Guillain-Barre,IVIg vs plasma exchange,Time to walking,IVIg,Plasma exchange,6,625,Mean Difference,-2.4,-8.5,3.7,0.438,0,0.000,0.682,Fixed,No,Yes,No,Low,Moderate,2021,Neurology
CMETA029,CD029889,Erythropoietin for anemia in CKD,EPO vs placebo,Hemoglobin increase,Erythropoietin,Placebo,22,3845,Mean Difference,2.85,2.42,3.28,0.001,68,0.485,0.001,Random,Yes,Yes,Yes,Low,High,2022,Nephrology
CMETA030,CD030912,Dopamine agonists for Parkinson disease,Dopamine agonists vs L-dopa,Motor function,Pramipexole,Levodopa,14,2458,Std Mean Difference,-0.24,-0.42,-0.06,0.009,35,0.042,0.098,Random,Yes,Yes,No,Unclear,Moderate,2020,Neurology
CMETA031,CD031045,Topical corticosteroids for eczema,TCS vs placebo,Disease severity score,Betamethasone,Vehicle,32,4562,Mean Difference,-12.5,-15.8,-9.2,0.001,72,28.45,0.001,Random,Yes,Yes,Yes,Low,High,2021,Dermatology
CMETA032,CD032178,Acupuncture for chronic pain,Acupuncture vs sham,Pain intensity,Acupuncture,Sham,28,5684,Mean Difference,-8.4,-12.2,-4.6,0.001,82,42.85,0.001,Random,Yes,Yes,No,High,Very low,2022,Pain medicine
CMETA033,CD033201,TNF inhibitors for rheumatoid arthritis,Anti-TNF vs placebo,ACR50 response,Adalimumab,Placebo,18,6842,Risk Ratio,3.25,2.58,4.09,0.001,28,0.058,0.125,Random,Yes,Yes,Yes,Low,High,2020,Rheumatology
CMETA034,CD034334,Duloxetine for diabetic neuropathy,Duloxetine vs placebo,Pain reduction,Duloxetine,Placebo,12,2458,Mean Difference,-12.8,-16.4,-9.2,0.001,45,18.25,0.048,Random,Yes,Yes,Yes,Low,Moderate,2021,Endocrinology
CMETA035,CD035467,Rituximab for pemphigus,Rituximab vs standard therapy,Complete remission,Rituximab,Prednisolone,6,185,Risk Ratio,2.85,1.52,5.34,0.001,0,0.000,0.892,Fixed,No,Yes,No,Low,Moderate,2022,Dermatology
CMETA036,CD036590,Sildenafil for pulmonary hypertension,Sildenafil vs placebo,6-minute walk distance,Sildenafil,Placebo,8,685,Mean Difference,42.5,28.4,56.6,0.001,32,285.4,0.185,Random,Yes,Yes,No,Low,Moderate,2020,Cardiology
CMETA037,CD037623,Methotrexate for psoriasis,Methotrexate vs placebo,PASI-75 response,Methotrexate,Placebo,14,1845,Risk Ratio,4.25,2.85,6.34,0.001,48,0.085,0.028,Random,Yes,Yes,Yes,Unclear,Moderate,2021,Dermatology
CMETA038,CD038756,Spironolactone for heart failure,Spironolactone vs placebo,All-cause mortality,Spironolactone,Placebo,9,4856,Risk Ratio,0.74,0.64,0.85,0.001,15,0.008,0.298,Fixed,Yes,Yes,Yes,Low,High,2022,Cardiology
CMETA039,CD039889,Hyaluronic acid for osteoarthritis,HA vs placebo,Pain at 3 months,Hyaluronic acid,Saline,18,2845,Mean Difference,-8.2,-12.4,-4.0,0.001,68,28.45,0.002,Random,Yes,Yes,Yes,Unclear,Low,2020,Rheumatology
CMETA040,CD040912,Azathioprine for inflammatory bowel disease,Azathioprine vs placebo,Remission maintenance,Azathioprine,Placebo,12,945,Risk Ratio,2.18,1.62,2.93,0.001,22,0.028,0.245,Random,Yes,Yes,No,Low,Moderate,2021,Gastroenterology
CMETA041,CD041045,Gabapentin for neuropathic pain,Gabapentin vs placebo,50% pain reduction,Gabapentin,Placebo,22,4562,Risk Ratio,1.68,1.42,1.99,0.001,52,0.048,0.008,Random,Yes,Yes,Yes,Low,Moderate,2022,Pain medicine
CMETA042,CD042178,Botulinum toxin for chronic migraine,Botulinum toxin vs placebo,Migraine days per month,Botox,Placebo,8,1685,Mean Difference,-2.4,-3.2,-1.6,0.001,28,0.485,0.225,Random,Yes,Yes,No,Low,High,2020,Neurology
CMETA043,CD043201,Benzodiazepines for anxiety disorders,Benzodiazepines vs placebo,Anxiety symptoms,Alprazolam,Placebo,18,2458,Std Mean Difference,-0.85,-1.12,-0.58,0.001,72,0.185,0.001,Random,Yes,Yes,Yes,Unclear,Low,2021,Psychiatry
CMETA044,CD044334,Antipsychotics for schizophrenia,Second-gen vs first-gen,Positive symptoms,Risperidone,Haloperidol,32,8456,Mean Difference,-2.8,-4.2,-1.4,0.001,65,8.45,0.002,Random,Yes,Yes,Yes,Unclear,Moderate,2022,Psychiatry
CMETA045,CD045467,Tranexamic acid for trauma,TXA vs placebo,All-cause mortality,Tranexamic acid,Placebo,6,20452,Risk Ratio,0.91,0.85,0.97,0.006,0,0.000,0.752,Fixed,Yes,Yes,Yes,Low,High,2020,Emergency medicine
CMETA046,CD046590,CPAP for obstructive sleep apnea,CPAP vs sham,Daytime sleepiness,CPAP,Sham CPAP,24,3245,Mean Difference,-2.85,-3.58,-2.12,0.001,58,2.45,0.004,Random,Yes,Yes,Yes,Low,Moderate,2021,Sleep medicine
CMETA047,CD047623,Finasteride for benign prostatic hyperplasia,Finasteride vs placebo,Symptom score,Finasteride,Placebo,16,4856,Mean Difference,-3.2,-4.5,-1.9,0.001,42,4.25,0.058,Random,Yes,Yes,Yes,Low,Moderate,2022,Urology
CMETA048,CD048756,Corticosteroids for septic shock,Corticosteroids vs placebo,28-day mortality,Hydrocortisone,Placebo,14,6845,Risk Ratio,0.93,0.86,1.01,0.089,0,0.000,0.625,Fixed,Yes,Yes,Yes,Low,Moderate,2020,Critical care
CMETA049,CD049889,Antihistamines for allergic rhinitis,Antihistamines vs placebo,Symptom relief,Cetirizine,Placebo,28,5684,Risk Ratio,1.85,1.58,2.17,0.001,48,0.048,0.012,Random,Yes,Yes,Yes,Low,High,2021,Allergy
CMETA050,CD050912,Lithium for bipolar disorder,Lithium vs placebo,Relapse prevention,Lithium,Placebo,12,1245,Risk Ratio,0.62,0.48,0.80,0.001,25,0.028,0.218,Random,Yes,Yes,No,Unclear,Moderate,2022,Psychiatry
CMETA051,CD152068,Systematic review 51,Intervention vs comparator,Mortality,Active treatment,Placebo,13,3990,Risk Ratio,1.04,0.52,1.35,0.043,46,0.075,0.138,Random,No,No,Yes,Low,Moderate,2017,Psychiatry
CMETA052,CD618374,Systematic review 52,Intervention vs comparator,Mortality,Active treatment,Standard care,9,3259,Hazard Ratio,0.75,0.76,1.41,0.147,45,0.083,0.43,Random,No,Yes,Yes,High,Moderate,2023,Rheumatology
CMETA053,CD274832,Systematic review 53,Intervention vs comparator,Clinical response,Active treatment,Standard care,15,6703,Mean Difference,0.9,0.72,1.59,0.142,26,0.041,0.317,Fixed,Yes,No,Yes,Low,Moderate,2021,Endocrinology
CMETA054,CD256562,Systematic review 54,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,20,7265,Mean Difference,1.25,0.56,1.34,0.131,68,0.114,0.833,Fixed,Yes,Yes,Yes,High,Low,2018,Endocrinology
CMETA055,CD176884,Systematic review 55,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,23,6120,Mean Difference,1.31,0.65,1.6,0.085,66,0.058,0.418,Fixed,No,Yes,Yes,High,Moderate,2022,Cardiology
CMETA056,CD981672,Systematic review 56,Intervention vs comparator,Mortality,Active treatment,Standard care,11,3434,Mean Difference,1.24,0.74,1.24,0.136,18,0.017,0.381,Fixed,No,Yes,Yes,High,Low,2016,Psychiatry
CMETA057,CD452197,Systematic review 57,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,22,7265,Hazard Ratio,1.25,0.53,1.61,0.024,17,0.045,0.494,Fixed,Yes,Yes,Yes,Low,High,2021,Endocrinology
CMETA058,CD782581,Systematic review 58,Intervention vs comparator,Mortality,Active treatment,Placebo,19,5532,Odds Ratio,1.16,0.76,1.33,0.143,49,0.141,0.063,Random,Yes,No,Yes,Unclear,Low,2016,Gastroenterology
CMETA059,CD766405,Systematic review 59,Intervention vs comparator,Disease progression,Active treatment,Placebo,24,5516,Hazard Ratio,1.01,0.83,1.41,0.13,31,0.116,0.369,Fixed,Yes,No,Yes,Low,High,2020,Rheumatology
CMETA060,CD587355,Systematic review 60,Intervention vs comparator,Clinical response,Active treatment,Standard care,28,6795,Risk Ratio,0.73,0.55,1.28,0.082,74,0.032,0.498,Random,No,Yes,No,Low,Moderate,2021,Rheumatology
CMETA061,CD857732,Systematic review 61,Intervention vs comparator,Disease progression,Active treatment,Standard care,17,2313,Odds Ratio,1.25,0.55,1.17,0.009,70,0.117,0.149,Random,Yes,Yes,Yes,Low,Low,2017,Psychiatry
CMETA062,CD706736,Systematic review 62,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,31,7853,Odds Ratio,1.18,0.68,1.28,0.055,24,0.147,0.232,Fixed,Yes,Yes,Yes,Unclear,Moderate,2019,Cardiology
CMETA063,CD851253,Systematic review 63,Intervention vs comparator,Disease progression,Active treatment,Placebo,16,5710,Hazard Ratio,1.19,0.67,1.13,0.051,24,0.131,0.507,Random,Yes,Yes,No,Unclear,High,2022,Oncology
CMETA064,CD597632,Systematic review 64,Intervention vs comparator,Clinical response,Active treatment,Placebo,29,6425,Risk Ratio,1.02,0.63,1.32,0.042,51,0.022,0.138,Random,No,Yes,Yes,Unclear,Moderate,2020,Neurology
CMETA065,CD717081,Systematic review 65,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,20,4241,Risk Ratio,0.8,0.68,1.26,0.068,71,0.04,0.513,Random,Yes,No,No,Low,Moderate,2020,Neurology
CMETA066,CD180566,Systematic review 66,Intervention vs comparator,Mortality,Active treatment,Placebo,18,7545,Risk Ratio,1.2,0.59,1.45,0.082,26,0.131,0.376,Random,No,No,No,Low,Moderate,2023,Gastroenterology
CMETA067,CD741382,Systematic review 67,Intervention vs comparator,Disease progression,Active treatment,Placebo,13,1418,Mean Difference,1.17,0.64,1.5,0.071,67,0.105,0.842,Random,Yes,Yes,Yes,Low,High,2017,Gastroenterology
CMETA068,CD980522,Systematic review 68,Intervention vs comparator,Disease progression,Active treatment,Placebo,12,3966,Odds Ratio,0.74,0.58,1.3,0.122,38,0.056,0.298,Fixed,No,Yes,Yes,High,Moderate,2023,Neurology
CMETA069,CD643671,Systematic review 69,Intervention vs comparator,Mortality,Active treatment,Standard care,34,816,Risk Ratio,1.08,0.76,1.06,0.013,52,0.04,0.592,Random,No,Yes,No,Low,Moderate,2017,Gastroenterology
CMETA070,CD258607,Systematic review 70,Intervention vs comparator,Clinical response,Active treatment,Placebo,21,3680,Odds Ratio,0.66,0.52,1.31,0.065,61,0.09,0.351,Fixed,No,No,Yes,Low,Low,2020,Rheumatology
CMETA071,CD882836,Systematic review 71,Intervention vs comparator,Mortality,Active treatment,Standard care,30,5385,Risk Ratio,1.02,0.58,1.25,0.105,72,0.038,0.63,Random,Yes,Yes,Yes,Low,Moderate,2021,Neurology
CMETA072,CD741842,Systematic review 72,Intervention vs comparator,Clinical response,Active treatment,Standard care,18,3493,Mean Difference,1.28,0.67,1.49,0.102,59,0.137,0.308,Random,No,Yes,No,Low,Moderate,2017,Endocrinology
CMETA073,CD761796,Systematic review 73,Intervention vs comparator,Clinical response,Active treatment,Placebo,35,2916,Risk Ratio,0.8,0.54,1.26,0.015,47,0.135,0.274,Random,Yes,Yes,No,Low,High,2019,Gastroenterology
CMETA074,CD170678,Systematic review 74,Intervention vs comparator,Mortality,Active treatment,Standard care,10,7935,Hazard Ratio,1.22,0.65,1.28,0.072,51,0.052,0.086,Random,No,No,No,Low,High,2021,Endocrinology
CMETA075,CD366815,Systematic review 75,Intervention vs comparator,Disease progression,Active treatment,Standard care,28,7064,Risk Ratio,0.8,0.56,1.1,0.069,46,0.086,0.597,Random,No,No,Yes,Low,Moderate,2021,Rheumatology
CMETA076,CD809134,Systematic review 76,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,33,2671,Mean Difference,1.15,0.85,1.09,0.06,50,0.082,0.057,Fixed,No,No,Yes,Unclear,Moderate,2022,Neurology
CMETA077,CD706804,Systematic review 77,Intervention vs comparator,Mortality,Active treatment,Placebo,26,6231,Odds Ratio,1.12,0.57,1.21,0.052,74,0.048,0.527,Random,Yes,Yes,Yes,Low,Moderate,2019,Cardiology
CMETA078,CD877634,Systematic review 78,Intervention vs comparator,Clinical response,Active treatment,Standard care,25,4467,Hazard Ratio,0.95,0.63,1.51,0.1,56,0.066,0.42,Fixed,Yes,No,Yes,High,Moderate,2017,Psychiatry
CMETA079,CD716376,Systematic review 79,Intervention vs comparator,Clinical response,Active treatment,Standard care,18,5520,Mean Difference,0.82,0.68,1.4,0.068,50,0.025,0.518,Random,No,No,Yes,Low,Low,2015,Cardiology
CMETA080,CD218631,Systematic review 80,Intervention vs comparator,Mortality,Active treatment,Standard care,21,2694,Hazard Ratio,0.82,0.56,1.35,0.148,68,0.062,0.469,Random,No,Yes,Yes,Low,Low,2017,Psychiatry
CMETA081,CD877381,Systematic review 81,Intervention vs comparator,Disease progression,Active treatment,Standard care,15,5009,Risk Ratio,0.94,0.55,1.38,0.02,61,0.041,0.821,Fixed,No,No,Yes,Low,Low,2023,Gastroenterology
CMETA082,CD317851,Systematic review 82,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,11,6447,Hazard Ratio,0.66,0.74,1.23,0.144,62,0.041,0.638,Random,No,Yes,Yes,Low,Moderate,2019,Pulmonology
CMETA083,CD480146,Systematic review 83,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,24,6107,Mean Difference,0.73,0.82,1.55,0.104,15,0.038,0.322,Fixed,No,Yes,Yes,Low,Moderate,2016,Psychiatry
CMETA084,CD661777,Systematic review 84,Intervention vs comparator,Clinical response,Active treatment,Standard care,23,1678,Hazard Ratio,0.89,0.77,1.1,0.108,50,0.016,0.534,Fixed,No,No,Yes,Low,Moderate,2015,Cardiology
CMETA085,CD995202,Systematic review 85,Intervention vs comparator,Clinical response,Active treatment,Placebo,25,1676,Hazard Ratio,1.13,0.73,1.57,0.129,42,0.017,0.456,Random,No,Yes,Yes,High,Moderate,2022,Neurology
CMETA086,CD620444,Systematic review 86,Intervention vs comparator,Clinical response,Active treatment,Standard care,12,3931,Hazard Ratio,0.93,0.52,1.62,0.123,51,0.065,0.337,Random,No,No,Yes,Low,Moderate,2021,Cardiology
CMETA087,CD261933,Systematic review 87,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,24,6959,Risk Ratio,1.32,0.8,1.62,0.029,51,0.124,0.12,Random,No,Yes,No,Low,Moderate,2018,Gastroenterology
CMETA088,CD990603,Systematic review 88,Intervention vs comparator,Mortality,Active treatment,Placebo,27,4657,Hazard Ratio,0.7,0.74,1.33,0.082,50,0.058,0.353,Random,Yes,Yes,Yes,Low,Low,2020,Oncology
CMETA089,CD483371,Systematic review 89,Intervention vs comparator,Disease progression,Active treatment,Standard care,33,3413,Hazard Ratio,1.18,0.74,1.14,0.079,20,0.149,0.805,Random,Yes,No,Yes,High,High,2022,Oncology
CMETA090,CD625183,Systematic review 90,Intervention vs comparator,Disease progression,Active treatment,Placebo,19,6707,Mean Difference,1.19,0.61,1.43,0.126,35,0.08,0.422,Random,Yes,Yes,Yes,High,Moderate,2020,Cardiology
CMETA091,CD652481,Systematic review 91,Intervention vs comparator,Mortality,Active treatment,Placebo,29,1382,Risk Ratio,1.2,0.8,1.62,0.04,48,0.093,0.635,Fixed,Yes,No,Yes,Low,Low,2019,Psychiatry
CMETA092,CD941353,Systematic review 92,Intervention vs comparator,Mortality,Active treatment,Standard care,33,2441,Mean Difference,1.32,0.6,1.63,0.034,63,0.124,0.207,Random,Yes,Yes,Yes,Low,Low,2022,Psychiatry
CMETA093,CD367073,Systematic review 93,Intervention vs comparator,Mortality,Active treatment,Placebo,34,7593,Hazard Ratio,1.08,0.66,1.06,0.129,52,0.086,0.814,Random,Yes,No,Yes,High,High,2021,Oncology
CMETA094,CD194045,Systematic review 94,Intervention vs comparator,Mortality,Active treatment,Placebo,31,5848,Odds Ratio,1.21,0.74,1.23,0.039,19,0.053,0.137,Random,Yes,No,No,Low,Low,2019,Rheumatology
CMETA095,CD966950,Systematic review 95,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,29,2569,Odds Ratio,1.09,0.8,1.55,0.027,47,0.069,0.583,Fixed,Yes,Yes,No,Low,Low,2020,Neurology
CMETA096,CD905320,Systematic review 96,Intervention vs comparator,Disease progression,Active treatment,Standard care,15,5622,Mean Difference,1.09,0.62,1.23,0.095,66,0.101,0.524,Random,No,Yes,No,Low,High,2023,Neurology
CMETA097,CD547136,Systematic review 97,Intervention vs comparator,Symptom improvement,Active treatment,Placebo,29,3702,Odds Ratio,0.72,0.59,1.22,0.149,68,0.14,0.183,Fixed,No,No,Yes,Unclear,Moderate,2018,Neurology
CMETA098,CD305709,Systematic review 98,Intervention vs comparator,Mortality,Active treatment,Standard care,9,2145,Odds Ratio,1.33,0.74,1.25,0.121,28,0.09,0.3,Fixed,No,Yes,Yes,Low,High,2022,Pulmonology
CMETA099,CD522120,Systematic review 99,Intervention vs comparator,Mortality,Active treatment,Placebo,30,7949,Odds Ratio,1.27,0.52,1.17,0.087,60,0.011,0.289,Fixed,Yes,Yes,Yes,Low,Moderate,2016,Rheumatology
CMETA100,CD160577,Systematic review 100,Intervention vs comparator,Mortality,Active treatment,Placebo,20,5905,Risk Ratio,1.18,0.74,1.26,0.132,37,0.105,0.105,Random,No,No,Yes,Low,High,2023,Psychiatry
CMETA101,CD617600,Systematic review 101,Intervention vs comparator,Clinical response,Active treatment,Standard care,20,2535,Hazard Ratio,1.15,0.52,1.33,0.058,45,0.136,0.507,Random,Yes,No,No,Low,Moderate,2019,Oncology
CMETA102,CD525055,Systematic review 102,Intervention vs comparator,Mortality,Active treatment,Placebo,29,2401,Mean Difference,0.82,0.69,1.16,0.045,21,0.025,0.716,Fixed,Yes,Yes,No,Low,Moderate,2023,Rheumatology
CMETA103,CD411714,Systematic review 103,Intervention vs comparator,Disease progression,Active treatment,Placebo,16,1254,Risk Ratio,1.22,0.61,1.39,0.033,38,0.016,0.151,Fixed,No,No,Yes,Low,Low,2022,Rheumatology
CMETA104,CD673653,Systematic review 104,Intervention vs comparator,Disease progression,Active treatment,Placebo,35,6449,Hazard Ratio,1.22,0.71,1.05,0.024,64,0.146,0.274,Random,Yes,No,Yes,High,Low,2020,Oncology
CMETA105,CD195949,Systematic review 105,Intervention vs comparator,Clinical response,Active treatment,Placebo,8,2168,Risk Ratio,1.28,0.73,1.49,0.145,26,0.085,0.216,Random,Yes,No,No,High,High,2019,Gastroenterology
CMETA106,CD593830,Systematic review 106,Intervention vs comparator,Disease progression,Active treatment,Standard care,19,2264,Risk Ratio,1.1,0.78,1.49,0.091,41,0.092,0.494,Fixed,Yes,Yes,Yes,Low,Moderate,2022,Psychiatry
CMETA107,CD309656,Systematic review 107,Intervention vs comparator,Disease progression,Active treatment,Placebo,12,2275,Mean Difference,0.88,0.56,1.37,0.073,69,0.06,0.723,Random,No,Yes,No,High,Moderate,2022,Endocrinology
CMETA108,CD466254,Systematic review 108,Intervention vs comparator,Symptom improvement,Active treatment,Standard care,18,7309,Hazard Ratio,0.71,0.73,1.14,0.098,49,0.094,0.213,Random,Yes,Yes,Yes,Low,Low,2015,Oncology
CMETA109,CD938059,Systematic review 109,Intervention vs comparator,Mortality,Active treatment,Placebo,18,1041,Risk Ratio,0.95,0.67,1.19,0.016,19,0.12,0.266,Random,Yes,No,Yes,Low,Low,2015,Neurology
CMETA110,CD242318,Systematic review 110,Intervention vs comparator,Clinical response,Active treatment,Standard care,18,3613,Odds Ratio,1.11,0.55,1.15,0.101,24,0.046,0.277,Random,No,Yes,Yes,Low,Moderate,2019,Pulmonology
CMETA111,CD343416,Systematic review 111,Intervention vs comparator,Mortality,Active treatment,Standard care,24,1709,Mean Difference,1.1,0.5,1.62,0.141,33,0.096,0.636,Fixed,No,Yes,Yes,Low,High,2018,Endocrinology
CMETA112,CD177174,Systematic review 112,Intervention vs comparator,Mortality,Active treatment,Standard care,18,5549,Risk Ratio,0.82,0.75,1.12,0.145,58,0.121,0.531,Random,No,Yes,Yes,Low,Moderate,2017,Neurology
CMETA113,CD403330,Systematic review 113,Intervention vs comparator,Clinical response,Active treatment,Standard care,23,5605,Mean Difference,1.14,0.65,1.53,0.084,60,0.098,0.266,Random,No,No,Yes,Low,Moderate,2017,Gastroenterology
