cea_id,study_type,publication_year,country,perspective,therapeutic_area,intervention_type,model_type,time_horizon_years,intervention_cost_usd,comparator_cost_usd,incremental_cost_usd,intervention_qalys,comparator_qalys,incremental_qalys,icer_per_qaly,wtp_threshold,ce_conclusion,deterministic_sa_conducted,probabilistic_sa_conducted,prob_ce_at_wtp,discount_rate_costs,discount_rate_outcomes,cheers_quality_score,efficacy_from_rct,utility_data_source,half_cycle_correction,scenario_analyses_n,subgroup_analyses,equity_considerations,funding_source
CEA0011,Cost-Effectiveness Analysis (CEA),2017,Netherlands,Societal,Respiratory,Device,Decision Tree,1,66544.93,87058.84,-20513.92,10.2284,9.0532,1.1751,-17456.62,80000,Dominant,True,True,0.741,0.035,0.03,19,True,Literature,False,9,False,True,Industry
CEA0012,Cost-Benefit Analysis (CBA),2017,Sweden,Healthcare payer,Cardiology,Diagnostic,Decision Tree,5,190042.82,107244.91,82797.9,4.2378,3.9385,0.2993,276606.71,80000,Not Cost-Effective,True,False,,0.04,0.035,14,False,SF-6D,True,6,True,False,Industry
CEA0013,Cost-Effectiveness Analysis (CEA),2022,Spain,Government,Rare Diseases,Behavioral,Markov,Lifetime,183563.98,47812.94,135751.04,5.6057,3.2788,2.327,58337.98,80000,Cost-Effective,True,True,0.742,0.05,0.05,14,True,HUI,True,8,True,True,Independent
CEA0014,Cost-Effectiveness Analysis (CEA),2018,Japan,Patient,Cardiology,Diagnostic,Hybrid,1,78037.15,8901.14,69136.0,14.0423,6.8594,7.1829,9625.11,80000,Highly Cost-Effective,True,False,,0.035,0.03,16,True,EQ-5D,True,9,False,False,Government
CEA0015,Cost-Effectiveness Analysis (CEA),2017,Japan,Societal,Infectious Disease,Screening,Discrete Event Simulation,20,42840.7,16965.34,25875.36,7.542,10.3114,-2.7694,-9343.28,80000,Dominant,True,False,,0.05,0.04,13,False,EQ-5D,True,9,True,False,Independent
CEA0016,Budget Impact Analysis (BIA),2020,Australia,Hospital,Vaccines,Behavioral,Decision Tree,20,33577.46,13404.58,20172.88,11.8586,5.2784,6.5802,3065.69,80000,Highly Cost-Effective,True,True,0.794,0.03,0.04,22,False,SF-6D,True,3,False,False,Government
CEA0017,Cost-Minimization Analysis (CMA),2020,Spain,Societal,Infectious Disease,Diagnostic,Hybrid,30,189811.37,86399.45,103411.92,12.1119,3.0742,9.0377,11442.29,80000,Highly Cost-Effective,True,False,,0.03,0.04,17,False,Literature,True,3,False,True,Industry
CEA0018,Cost-Benefit Analysis (CBA),2020,Japan,Healthcare payer,Respiratory,Pharmaceutical,Discrete Event Simulation,10,142203.98,34936.45,107267.52,7.9737,2.3944,5.5794,19225.75,80000,Highly Cost-Effective,True,True,0.742,0.03,0.04,13,False,Expert Opinion,True,0,False,False,Industry
CEA0019,Cost-Minimization Analysis (CMA),2022,Sweden,Healthcare payer,Vaccines,Pharmaceutical,Discrete Event Simulation,Lifetime,23387.09,108772.12,-85385.03,7.6279,2.8805,4.7474,-17985.78,80000,Dominant,True,True,0.708,0.035,0.035,24,True,EQ-5D,False,8,True,True,Government
CEA0020,Cost-Minimization Analysis (CMA),2024,Netherlands,Government,Infectious Disease,Diagnostic,Discrete Event Simulation,10,160835.22,98723.32,62111.9,13.7456,12.8689,0.8766,70853.28,80000,Cost-Effective,False,False,,0.05,0.04,16,True,Literature,False,7,True,False,Government
CEA0021,Cost-Minimization Analysis (CMA),2020,Japan,Government,Cardiology,Screening,Discrete Event Simulation,30,138775.85,5632.58,133143.27,5.4426,4.624,0.8186,162648.18,80000,Not Cost-Effective,True,True,0.668,0.035,0.035,19,True,Expert Opinion,True,6,False,False,Government
CEA0022,Cost-Minimization Analysis (CMA),2024,Australia,Patient,Respiratory,Device,Markov,10,189502.33,29337.61,160164.71,13.8693,2.6415,11.2278,14265.01,80000,Highly Cost-Effective,True,True,0.474,0.035,0.035,20,False,HUI,False,7,False,True,Industry
CEA0023,Cost-Benefit Analysis (CBA),2024,Italy,Hospital,Infectious Disease,Pharmaceutical,Hybrid,Lifetime,178425.28,59122.84,119302.44,9.7129,8.3395,1.3734,86868.28,80000,Marginally Cost-Effective,True,False,,0.03,0.04,20,True,SF-6D,True,5,True,True,Industry
CEA0024,Budget Impact Analysis (BIA),2019,Netherlands,Government,Respiratory,Behavioral,Hybrid,1,170093.59,98708.2,71385.39,13.1416,2.9919,10.1497,7033.22,80000,Highly Cost-Effective,True,True,0.376,0.03,0.05,22,True,HUI,True,1,False,False,Independent
CEA0025,Cost-Benefit Analysis (CBA),2016,USA,Government,Rheumatology,Diagnostic,Markov,5,93314.91,31647.17,61667.74,10.2918,11.1075,-0.8158,-75595.34,100000,Dominant,True,False,,0.035,0.04,21,True,HUI,True,7,True,True,Mixed
CEA0026,Cost-Minimization Analysis (CMA),2016,Netherlands,Government,Infectious Disease,Diagnostic,Hybrid,5,62529.33,79959.85,-17430.52,4.7258,11.9004,-7.1745,2429.5,80000,Highly Cost-Effective,True,True,0.7,0.035,0.05,13,True,EQ-5D,False,2,True,False,Industry
CEA0027,Cost-Benefit Analysis (CBA),2017,USA,Healthcare payer,Diabetes,Diagnostic,Discrete Event Simulation,10,44920.0,7578.59,37341.41,5.8885,6.1453,-0.2568,-145425.13,100000,Dominant,True,True,0.389,0.05,0.03,23,False,Literature,True,0,True,False,Mixed
CEA0028,Budget Impact Analysis (BIA),2017,Netherlands,Healthcare payer,Vaccines,Behavioral,Decision Tree,5,154939.51,131837.54,23101.97,10.4882,13.1288,-2.6406,-8748.74,80000,Dominant,True,True,0.815,0.05,0.03,18,True,Expert Opinion,True,8,True,True,Government
CEA0029,Cost-Utility Analysis (CUA),2020,Sweden,Patient,Rare Diseases,Prevention,Discrete Event Simulation,20,115147.55,76419.09,38728.46,13.0727,12.3892,0.6836,56655.77,80000,Cost-Effective,True,False,,0.035,0.04,19,True,EQ-5D,True,4,True,False,Independent
CEA0030,Budget Impact Analysis (BIA),2019,Italy,Societal,Infectious Disease,Digital Health,Discrete Event Simulation,10,131192.76,91246.5,39946.26,8.6733,5.3388,3.3345,11979.67,80000,Highly Cost-Effective,True,False,,0.03,0.04,12,False,HUI,True,4,False,False,Independent
CEA0031,Cost-Benefit Analysis (CBA),2023,France,Societal,Mental Health,Behavioral,Markov,Lifetime,142037.73,81133.49,60904.25,13.255,2.9739,10.2811,5923.89,80000,Highly Cost-Effective,True,True,0.583,0.04,0.035,19,True,EQ-5D,False,1,True,False,Industry
CEA0032,Cost-Benefit Analysis (CBA),2015,Australia,Hospital,Neurology,Pharmaceutical,Discrete Event Simulation,Lifetime,122004.39,75366.53,46637.86,7.5866,12.7841,-5.1974,-8973.23,80000,Dominant,True,True,0.736,0.04,0.04,22,False,Expert Opinion,True,1,True,False,Industry
CEA0033,Cost-Utility Analysis (CUA),2018,UK,Healthcare payer,Mental Health,Surgical,Decision Tree,1,13532.6,131064.53,-117531.92,9.8229,6.6212,3.2017,-36709.71,50000,Dominant,True,False,,0.035,0.035,14,False,Expert Opinion,True,7,True,False,Industry
CEA0034,Cost-Minimization Analysis (CMA),2019,France,Government,Neurology,Digital Health,Decision Tree,1,197948.88,20522.16,177426.72,12.1264,13.2298,-1.1033,-160807.98,80000,Dominant,True,True,0.576,0.035,0.035,16,True,Expert Opinion,True,3,True,False,Industry
CEA0035,Cost-Minimization Analysis (CMA),2018,Japan,Patient,Infectious Disease,Digital Health,Decision Tree,1,53815.77,27242.37,26573.4,10.7976,12.1636,-1.366,-19453.4,80000,Dominant,True,True,0.36,0.05,0.05,23,True,Literature,True,2,False,False,Industry
CEA0036,Cost-Utility Analysis (CUA),2024,France,Societal,Rare Diseases,Digital Health,Discrete Event Simulation,Lifetime,131694.92,37094.53,94600.39,11.6545,6.3151,5.3394,17717.4,80000,Highly Cost-Effective,True,True,0.885,0.03,0.05,13,True,HUI,True,2,False,False,Government
CEA0037,Cost-Utility Analysis (CUA),2020,Canada,Government,Vaccines,Digital Health,Discrete Event Simulation,1,114632.93,72247.56,42385.37,7.5814,5.6999,1.8815,22527.77,80000,Highly Cost-Effective,True,True,0.609,0.03,0.03,19,True,Literature,True,0,False,False,Government
CEA0038,Cost-Benefit Analysis (CBA),2017,Italy,Healthcare payer,Rheumatology,Pharmaceutical,Hybrid,30,77827.52,66659.31,11168.2,9.2832,3.5408,5.7425,1944.85,80000,Highly Cost-Effective,True,True,0.725,0.035,0.035,12,False,Literature,True,0,False,False,Industry
CEA0039,Cost-Effectiveness Analysis (CEA),2018,Netherlands,Government,Cardiology,Diagnostic,Decision Tree,20,21005.78,16987.92,4017.86,12.3609,12.5768,-0.2159,-18608.32,80000,Dominant,True,False,,0.04,0.05,13,True,HUI,False,6,False,True,Government
CEA0040,Cost-Minimization Analysis (CMA),2015,Italy,Patient,Rare Diseases,Diagnostic,Hybrid,5,97710.38,64234.79,33475.58,11.5505,9.748,1.8025,18571.34,80000,Highly Cost-Effective,True,True,0.639,0.035,0.05,21,False,EQ-5D,True,8,False,False,Industry
CEA0041,Cost-Utility Analysis (CUA),2022,Sweden,Hospital,Respiratory,Pharmaceutical,Decision Tree,20,99710.93,37288.08,62422.84,9.9841,7.0392,2.9449,21196.89,80000,Highly Cost-Effective,True,True,0.543,0.04,0.05,16,True,EQ-5D,True,6,False,False,Industry
CEA0042,Cost-Benefit Analysis (CBA),2016,Italy,Healthcare payer,Respiratory,Surgical,Decision Tree,30,49939.39,28341.71,21597.68,11.6878,6.2383,5.4496,3963.19,80000,Highly Cost-Effective,False,True,0.574,0.04,0.03,23,True,EQ-5D,True,3,False,True,Government
CEA0043,Cost-Benefit Analysis (CBA),2016,Netherlands,Patient,Rare Diseases,Diagnostic,Decision Tree,Lifetime,99989.89,107899.66,-7909.77,12.8892,4.6968,8.1925,-965.49,80000,Dominant,True,True,0.744,0.04,0.03,12,False,SF-6D,False,1,False,True,Industry
CEA0044,Cost-Benefit Analysis (CBA),2018,Canada,Healthcare payer,Neurology,Digital Health,Decision Tree,1,63804.17,144622.23,-80818.06,11.2721,6.7153,4.5568,-17735.67,80000,Dominant,True,True,0.699,0.035,0.035,13,False,EQ-5D,True,8,True,False,Industry
CEA0045,Cost-Effectiveness Analysis (CEA),2018,Japan,Patient,Vaccines,Pharmaceutical,Decision Tree,5,186741.04,12451.44,174289.61,7.5506,12.9741,-5.4235,-32135.72,80000,Dominant,True,True,0.755,0.03,0.05,24,False,SF-6D,True,3,True,False,Industry
CEA0046,Budget Impact Analysis (BIA),2020,Sweden,Healthcare payer,Vaccines,Device,Discrete Event Simulation,30,9039.54,49834.37,-40794.84,11.7591,8.2611,3.498,-11662.23,80000,Dominant,True,False,,0.05,0.035,20,False,Expert Opinion,True,1,True,True,Government
CEA0047,Cost-Minimization Analysis (CMA),2017,Australia,Societal,Mental Health,Pharmaceutical,Decision Tree,30,195067.08,88620.01,106447.07,9.2723,10.0803,-0.808,-131738.5,80000,Dominant,True,False,,0.05,0.035,12,True,Literature,True,0,True,False,Industry
CEA0048,Cost-Utility Analysis (CUA),2024,Spain,Societal,Infectious Disease,Diagnostic,Discrete Event Simulation,10,132450.65,87523.34,44927.31,13.1707,9.5849,3.5858,12529.1,80000,Highly Cost-Effective,True,True,0.611,0.03,0.035,23,True,Expert Opinion,True,6,False,False,Industry
CEA0049,Budget Impact Analysis (BIA),2023,Netherlands,Government,Diabetes,Screening,Discrete Event Simulation,Lifetime,115961.42,44978.9,70982.52,9.5012,13.4408,-3.9396,-18017.66,80000,Dominant,True,True,0.978,0.05,0.035,24,False,Expert Opinion,True,5,False,True,Mixed
CEA0050,Cost-Minimization Analysis (CMA),2018,Netherlands,Government,Vaccines,Diagnostic,Discrete Event Simulation,Lifetime,67640.18,80288.37,-12648.19,8.4307,2.441,5.9897,-2111.66,80000,Dominant,True,True,0.53,0.035,0.04,20,True,Expert Opinion,True,8,False,False,Government
CEA0051,Cost-Utility Analysis (CUA),2016,USA,Healthcare payer,Rheumatology,Digital Health,Hybrid,Lifetime,71832.15,6761.96,65070.19,6.3482,5.5383,0.8099,80339.87,100000,Cost-Effective,True,True,0.502,0.05,0.04,12,True,HUI,True,9,False,True,Independent
CEA0052,Cost-Utility Analysis (CUA),2023,South Korea,Healthcare payer,Respiratory,Behavioral,Hybrid,5,12460.77,25776.23,-13315.46,12.0552,10.2667,1.7884,-7445.26,80000,Dominant,True,True,0.46,0.03,0.03,15,True,HUI,False,3,False,True,Mixed
CEA0053,Cost-Benefit Analysis (CBA),2020,UK,Government,Respiratory,Digital Health,Discrete Event Simulation,5,162917.51,19309.92,143607.59,8.9348,7.8182,1.1167,128604.9,50000,Not Cost-Effective,True,False,,0.035,0.03,22,True,Literature,True,1,False,False,Industry
CEA0054,Budget Impact Analysis (BIA),2020,Italy,Hospital,Infectious Disease,Pharmaceutical,Discrete Event Simulation,30,124170.35,45739.54,78430.81,14.6004,5.3822,9.2182,8508.29,80000,Highly Cost-Effective,True,False,,0.035,0.04,12,True,HUI,False,0,False,False,Industry
CEA0055,Cost-Effectiveness Analysis (CEA),2019,UK,Healthcare payer,Cardiology,Diagnostic,Markov,20,199417.9,143151.51,56266.39,14.2864,11.7335,2.5528,22040.73,50000,Highly Cost-Effective,True,True,0.682,0.035,0.03,24,False,Literature,True,8,False,False,Industry
CEA0056,Cost-Minimization Analysis (CMA),2018,France,Patient,Rare Diseases,Surgical,Markov,30,176243.15,134554.56,41688.59,13.4609,8.1317,5.3291,7822.75,80000,Highly Cost-Effective,True,True,0.748,0.05,0.03,21,True,Expert Opinion,True,8,True,False,Independent
CEA0057,Cost-Utility Analysis (CUA),2019,Netherlands,Patient,Vaccines,Digital Health,Hybrid,1,178237.42,56537.64,121699.79,5.2742,2.1798,3.0945,39328.26,80000,Highly Cost-Effective,True,True,0.674,0.05,0.03,18,True,EQ-5D,False,8,False,False,Government
CEA0058,Cost-Benefit Analysis (CBA),2024,Japan,Hospital,Rheumatology,Behavioral,Discrete Event Simulation,1,123314.68,103606.29,19708.39,11.6367,8.6973,2.9394,6704.88,80000,Highly Cost-Effective,True,False,,0.03,0.05,23,True,Literature,False,6,False,False,Government
CEA0059,Budget Impact Analysis (BIA),2016,Canada,Healthcare payer,Cardiology,Device,Markov,Lifetime,167351.5,124521.17,42830.33,4.8942,2.3052,2.589,16543.43,80000,Highly Cost-Effective,False,False,,0.04,0.04,24,False,HUI,True,7,False,False,Mixed
CEA0060,Cost-Utility Analysis (CUA),2018,USA,Hospital,Vaccines,Pharmaceutical,Hybrid,5,126182.46,78249.35,47933.11,14.6475,10.3475,4.3,11147.3,100000,Highly Cost-Effective,True,True,0.771,0.035,0.035,12,True,SF-6D,True,7,False,False,Mixed
CEA0061,Cost-Utility Analysis (CUA),2020,France,Hospital,Vaccines,Digital Health,Hybrid,Lifetime,21322.62,135044.99,-113722.38,6.4333,5.107,1.3263,-85741.96,80000,Dominant,True,False,,0.03,0.04,23,True,Literature,True,1,True,False,Government
CEA0062,Cost-Effectiveness Analysis (CEA),2024,France,Patient,Rheumatology,Behavioral,Markov,20,63418.52,68386.98,-4968.46,8.145,11.27,-3.125,1589.9,80000,Highly Cost-Effective,True,False,,0.03,0.03,21,True,HUI,False,7,True,False,Mixed
CEA0063,Cost-Effectiveness Analysis (CEA),2020,UK,Healthcare payer,Oncology,Diagnostic,Discrete Event Simulation,1,61617.75,117098.24,-55480.49,14.1112,10.5989,3.5123,-15795.89,50000,Dominant,False,True,0.784,0.035,0.05,16,True,HUI,False,1,False,True,Independent
CEA0064,Cost-Utility Analysis (CUA),2022,Japan,Societal,Oncology,Behavioral,Discrete Event Simulation,20,68578.56,22186.97,46391.59,13.2982,12.4501,0.8481,54698.13,80000,Cost-Effective,True,True,0.594,0.035,0.05,22,False,EQ-5D,True,3,True,False,Government
CEA0065,Cost-Minimization Analysis (CMA),2023,USA,Government,Mental Health,Device,Markov,30,3397.95,132839.93,-129441.99,4.6754,9.9631,-5.2877,24479.77,100000,Highly Cost-Effective,True,True,0.856,0.03,0.03,19,True,HUI,True,0,False,False,Government
CEA0066,Budget Impact Analysis (BIA),2017,UK,Societal,Mental Health,Prevention,Markov,10,151376.52,90845.56,60530.96,5.5119,10.8676,-5.3557,-11302.23,50000,Dominant,True,True,0.497,0.04,0.05,16,True,SF-6D,True,8,True,True,Mixed
CEA0067,Cost-Minimization Analysis (CMA),2019,Canada,Government,Infectious Disease,Diagnostic,Hybrid,Lifetime,125508.97,61967.92,63541.05,5.812,8.171,-2.359,-26935.77,80000,Dominant,True,False,,0.04,0.03,21,True,HUI,True,4,False,False,Industry
CEA0068,Cost-Minimization Analysis (CMA),2018,Japan,Government,Cardiology,Diagnostic,Hybrid,10,5083.98,117598.0,-112514.02,3.9565,3.6926,0.2638,-426438.51,80000,Dominant,True,True,0.323,0.04,0.04,20,False,Literature,False,0,False,False,Industry
CEA0069,Cost-Utility Analysis (CUA),2021,Australia,Healthcare payer,Oncology,Surgical,Discrete Event Simulation,30,28134.41,93556.56,-65422.15,6.896,7.4878,-0.5918,110545.32,80000,Marginally Cost-Effective,True,False,,0.03,0.03,13,True,SF-6D,True,3,False,False,Independent
CEA0070,Cost-Minimization Analysis (CMA),2023,France,Healthcare payer,Vaccines,Device,Discrete Event Simulation,5,181562.9,95697.99,85864.91,8.2645,13.7863,-5.5218,-15550.25,80000,Dominant,True,False,,0.03,0.03,19,False,Expert Opinion,False,6,True,True,Government
CEA0071,Cost-Minimization Analysis (CMA),2015,Japan,Hospital,Cardiology,Prevention,Decision Tree,30,117303.85,32378.61,84925.24,4.0862,10.3952,-6.3089,-13461.14,80000,Dominant,True,True,0.684,0.04,0.035,15,True,HUI,False,2,False,False,Government
CEA0072,Cost-Minimization Analysis (CMA),2022,Sweden,Societal,Rheumatology,Pharmaceutical,Hybrid,1,90713.06,19905.93,70807.13,4.3173,9.7702,-5.4529,-12985.24,80000,Dominant,True,True,0.632,0.04,0.035,24,True,SF-6D,False,6,False,False,Independent
CEA0073,Cost-Effectiveness Analysis (CEA),2015,Japan,Government,Neurology,Surgical,Hybrid,5,176916.57,51029.58,125886.99,9.9141,9.1366,0.7774,161927.63,80000,Not Cost-Effective,True,True,0.626,0.035,0.03,22,False,Expert Opinion,True,2,False,False,Government
CEA0074,Cost-Benefit Analysis (CBA),2015,Canada,Government,Rheumatology,Diagnostic,Markov,30,181382.98,836.82,180546.16,6.1997,11.5983,-5.3986,-33442.86,80000,Dominant,True,True,0.693,0.05,0.05,19,True,EQ-5D,True,2,True,False,Industry
CEA0075,Cost-Benefit Analysis (CBA),2017,Spain,Hospital,Mental Health,Digital Health,Discrete Event Simulation,30,101245.0,122269.68,-21024.68,12.8314,11.5798,1.2517,-16797.4,80000,Dominant,True,False,,0.05,0.03,24,True,Expert Opinion,False,6,False,False,Government
CEA0076,Cost-Effectiveness Analysis (CEA),2018,Spain,Societal,Neurology,Pharmaceutical,Discrete Event Simulation,Lifetime,194126.93,87682.68,106444.26,8.5393,9.8931,-1.3538,-78629.03,80000,Dominant,True,True,0.587,0.035,0.03,24,True,Expert Opinion,True,5,True,True,Independent
CEA0077,Cost-Minimization Analysis (CMA),2021,Canada,Patient,Oncology,Diagnostic,Hybrid,20,113711.46,133115.55,-19404.1,6.879,4.9733,1.9058,-10181.84,80000,Dominant,True,True,0.463,0.04,0.035,18,True,Expert Opinion,False,3,True,False,Industry
CEA0078,Cost-Minimization Analysis (CMA),2023,Spain,Societal,Vaccines,Diagnostic,Markov,1,168185.11,10696.83,157488.27,3.9396,8.674,-4.7345,-33264.16,80000,Dominant,True,True,0.549,0.04,0.05,17,True,Expert Opinion,False,1,True,False,Industry
CEA0079,Budget Impact Analysis (BIA),2021,Canada,Societal,Oncology,Device,Markov,30,31361.14,94745.77,-63384.64,3.1724,12.1756,-9.0031,7040.28,80000,Highly Cost-Effective,True,True,0.546,0.03,0.04,16,False,Expert Opinion,True,2,True,False,Independent
CEA0080,Cost-Utility Analysis (CUA),2023,Australia,Patient,Oncology,Prevention,Discrete Event Simulation,20,42906.13,111380.78,-68474.65,4.7704,4.6754,0.0951,-720394.46,80000,Dominant,True,True,0.641,0.03,0.04,24,True,Literature,False,5,False,False,Mixed
CEA0081,Cost-Benefit Analysis (CBA),2024,South Korea,Hospital,Infectious Disease,Screening,Hybrid,1,115701.18,134575.69,-18874.5,12.5168,13.5506,-1.0339,18256.35,80000,Highly Cost-Effective,True,True,0.424,0.04,0.035,19,False,Literature,True,2,False,False,Government
CEA0082,Budget Impact Analysis (BIA),2019,UK,Government,Oncology,Prevention,Decision Tree,20,35878.85,127487.06,-91608.21,5.5551,10.9543,-5.3993,16966.82,50000,Highly Cost-Effective,True,True,0.709,0.035,0.05,21,True,EQ-5D,True,4,False,False,Mixed
CEA0083,Cost-Minimization Analysis (CMA),2016,Canada,Societal,Mental Health,Pharmaceutical,Decision Tree,10,145447.08,142806.63,2640.45,11.8578,10.3185,1.5392,1715.43,80000,Highly Cost-Effective,True,False,,0.03,0.04,16,True,Expert Opinion,False,0,True,False,Government
CEA0084,Cost-Minimization Analysis (CMA),2020,UK,Healthcare payer,Diabetes,Device,Markov,10,166184.55,26050.12,140134.43,7.4671,9.2043,-1.7372,-80669.04,50000,Dominant,True,True,0.783,0.04,0.03,17,False,Expert Opinion,False,9,False,False,Government
CEA0085,Cost-Utility Analysis (CUA),2015,Canada,Societal,Respiratory,Device,Discrete Event Simulation,20,45613.12,88404.48,-42791.36,12.834,12.2888,0.5452,-78494.53,80000,Dominant,True,False,,0.05,0.035,17,False,EQ-5D,True,4,False,False,Mixed
CEA0086,Cost-Minimization Analysis (CMA),2015,Canada,Patient,Respiratory,Prevention,Hybrid,5,35864.37,63950.66,-28086.29,4.3783,3.6635,0.7148,-39291.41,80000,Dominant,True,True,0.829,0.035,0.035,17,True,HUI,True,4,False,False,Government
CEA0087,Cost-Utility Analysis (CUA),2022,Spain,Healthcare payer,Cardiology,Surgical,Hybrid,10,4492.99,94762.29,-90269.3,10.7818,9.0044,1.7774,-50786.1,80000,Dominant,True,True,0.732,0.04,0.05,13,False,EQ-5D,True,1,False,False,Industry
CEA0088,Budget Impact Analysis (BIA),2016,France,Societal,Vaccines,Screening,Decision Tree,20,68069.49,78783.68,-10714.19,13.4399,2.1042,11.3357,-945.17,80000,Dominant,True,True,0.741,0.05,0.05,20,True,EQ-5D,False,2,True,False,Independent
CEA0089,Cost-Benefit Analysis (CBA),2017,Australia,Government,Rheumatology,Digital Health,Decision Tree,1,14302.6,1797.84,12504.76,4.8997,12.5658,-7.6661,-1631.17,80000,Dominant,True,False,,0.04,0.04,21,True,Expert Opinion,True,4,False,True,Mixed
CEA0090,Cost-Benefit Analysis (CBA),2018,UK,Hospital,Neurology,Surgical,Hybrid,1,75478.41,132675.1,-57196.69,11.0119,4.4649,6.5471,-8736.25,50000,Dominant,True,False,,0.05,0.04,18,True,Expert Opinion,True,9,False,False,Mixed
CEA0091,Cost-Utility Analysis (CUA),2018,Germany,Healthcare payer,Cardiology,Behavioral,Markov,1,17197.02,70205.28,-53008.26,12.3068,2.7305,9.5763,-5535.36,80000,Dominant,True,False,,0.035,0.03,23,True,SF-6D,True,6,False,True,Government
CEA0092,Cost-Utility Analysis (CUA),2019,Australia,Healthcare payer,Infectious Disease,Diagnostic,Discrete Event Simulation,5,153655.8,57418.68,96237.12,12.0622,2.2208,9.8414,9778.8,80000,Highly Cost-Effective,True,True,0.781,0.05,0.05,24,True,Expert Opinion,False,1,True,False,Industry
CEA0093,Budget Impact Analysis (BIA),2023,South Korea,Hospital,Rheumatology,Behavioral,Hybrid,10,144468.19,69170.36,75297.83,11.1628,9.2671,1.8958,39719.01,80000,Highly Cost-Effective,False,True,0.453,0.03,0.04,14,True,EQ-5D,True,3,False,False,Government
CEA0094,Cost-Minimization Analysis (CMA),2019,Italy,Healthcare payer,Mental Health,Screening,Decision Tree,Lifetime,110863.26,44266.1,66597.16,14.8087,5.5009,9.3078,7155.01,80000,Highly Cost-Effective,True,True,0.73,0.03,0.03,12,False,Expert Opinion,True,4,False,False,Independent
CEA0095,Cost-Utility Analysis (CUA),2015,Netherlands,Government,Mental Health,Surgical,Hybrid,20,81457.91,74417.61,7040.29,7.2808,13.8269,-6.5461,-1075.49,80000,Dominant,True,True,0.681,0.03,0.035,23,True,Expert Opinion,True,5,False,False,Government
