hta_id,agency,assessment_date,assessment_year,technology_category,therapeutic_area,n_rcts,n_observational_studies,total_patients_evidence,primary_endpoint_met,effect_size,serious_adverse_events_rate,discontinuation_rate,icer_per_qaly,willingness_to_pay_threshold,budget_impact_annual,certainty_of_evidence,cost_effectiveness_score,clinical_benefit_score,innovation_score,decision,reimbursement_rate,time_to_decision_months,market_exclusivity_years,managed_entry_agreement,manufacturer_appeals
HTA0029,NICE (UK),2023-11-25,2023,Gene Therapy,Infectious Disease,17,14,3474,True,1.854,0.1634,0.3318,135956.9,50000,62109107.5,Very Low,6.47,6.73,5.99,Restricted,0.527,4,19,True,False
HTA0030,NICE (UK),2019-03-17,2019,Screening Programs,Respiratory,5,12,7143,True,2.026,0.1945,0.0732,11649.88,50000,62459762.76,Moderate,2.88,6.22,4.07,Conditional,0.515,18,10,False,False
HTA0031,NCPE (Ireland),2021-08-25,2021,Surgical Procedures,Gastroenterology,3,2,766,False,-0.328,0.0561,0.0643,29495.58,100000,28580443.56,Moderate,1.8,2.09,5.15,Conditional,0.383,4,16,True,False
HTA0032,TLV (Sweden),2024-09-22,2024,Rehabilitation Technologies,Hematology,15,7,6593,True,0.632,0.0106,0.3539,17254.97,100000,60130530.14,Very Low,5.83,9.32,3.13,Restricted,0.728,16,1,True,False
HTA0033,NCPE (Ireland),2020-07-14,2020,Diagnostic Tests,Respiratory,11,14,1631,True,0.842,0.1378,0.1349,44040.27,100000,38351132.15,High,3.9,2.9,3.95,Conditional,0.348,19,12,True,False
HTA0034,CADTH (Canada),2018-02-15,2018,Rehabilitation Technologies,Neurology,4,14,9785,True,1.736,0.1136,0.0947,46147.51,100000,36945147.34,Low,6.14,4.2,9.88,Restricted,0.682,3,5,False,False
HTA0035,CADTH (Canada),2018-07-03,2018,Screening Programs,Respiratory,19,14,1163,False,0.497,0.2252,0.2516,138022.36,100000,1524700.63,Very Low,5.42,7.51,8.39,Restricted,0.716,13,7,False,False
HTA0036,PBAC (Australia),2023-04-19,2023,Gene Therapy,Immunology,20,0,4308,True,1.622,0.1943,0.0806,78385.07,100000,93269419.88,Moderate,6.34,4.32,5.09,Restricted,0.665,12,11,False,False
HTA0037,NCPE (Ireland),2018-05-09,2018,Medical Devices,Endocrinology,17,8,2094,True,1.318,0.2006,0.0873,128355.48,100000,74851478.03,Moderate,9.4,9.92,2.85,Restricted,0.614,3,7,True,False
HTA0038,NCPE (Ireland),2023-12-03,2023,Preventive Interventions,Infectious Disease,21,4,2998,False,0.023,0.0961,0.357,61904.54,100000,81843344.51,Moderate,4.39,5.16,3.71,Conditional,0.599,17,0,False,False
HTA0039,NICE (UK),2023-05-08,2023,Immunotherapy,Cardiology,8,2,2070,True,0.498,0.1853,0.2928,29175.96,50000,87984282.42,Moderate,7.67,6.16,9.98,Recommended,0.95,7,0,False,False
HTA0040,CADTH (Canada),2019-05-27,2019,Gene Therapy,Cardiology,10,0,6128,True,2.039,0.0406,0.1891,120607.83,100000,15841825.31,Moderate,7.5,7.48,6.77,Restricted,0.708,6,10,True,False
HTA0041,CADTH (Canada),2023-06-08,2023,Rehabilitation Technologies,Gastroenterology,23,14,445,False,-0.347,0.1507,0.2271,93660.86,100000,2792908.2,Low,9.39,6.09,7.27,Recommended,0.984,10,9,False,False
HTA0042,NICE (UK),2023-03-14,2023,Rehabilitation Technologies,Hematology,8,8,3897,False,-0.377,0.0666,0.1079,32016.53,50000,83911588.11,Moderate,3.8,3.05,6.47,Conditional,0.452,23,8,False,False
HTA0043,TLV (Sweden),2018-03-20,2018,Digital Health,Immunology,11,5,8677,True,0.943,0.2304,0.2555,9762.77,100000,91362196.83,Moderate,6.2,2.49,1.3,Conditional,0.425,13,17,True,False
HTA0044,IQWIG (Germany),2018-01-20,2018,Pharmaceuticals,Endocrinology,22,5,5282,False,0.002,0.1529,0.0735,113744.27,100000,21780653.72,Low,2.85,2.72,1.33,Not Recommended,0.0,18,7,False,False
HTA0045,NICE (UK),2019-06-28,2019,Diagnostic Tests,Cardiology,17,1,5897,False,-0.397,0.0902,0.0764,114220.7,50000,27957883.62,Low,5.74,8.21,9.81,Recommended,0.968,9,7,False,False
HTA0046,NICE (UK),2020-08-23,2020,Preventive Interventions,Respiratory,8,5,3410,True,2.162,0.1436,0.3023,121770.67,50000,98884149.41,Low,8.26,9.66,9.5,Recommended,0.828,16,15,False,False
HTA0047,HAS (France),2024-01-23,2024,Immunotherapy,Immunology,21,2,3795,True,1.249,0.1111,0.3624,123529.32,100000,34839917.82,Moderate,4.42,6.31,3.41,Conditional,0.55,8,8,False,False
HTA0048,G-BA (Germany),2023-12-24,2023,Surgical Procedures,Immunology,17,9,2779,False,-0.029,0.0537,0.2197,79306.36,100000,74427007.48,Low,4.62,2.96,6.81,Conditional,0.469,15,1,False,False
HTA0049,SMC (Scotland),2019-04-09,2019,Medical Devices,Infectious Disease,6,1,7284,True,0.992,0.1828,0.0873,25302.69,100000,27104696.46,Moderate,7.59,3.26,6.7,Restricted,0.648,12,12,True,False
HTA0050,PBAC (Australia),2021-06-11,2021,Rehabilitation Technologies,Cardiology,1,2,4888,True,0.236,0.1034,0.151,56572.54,100000,72185544.61,Moderate,6.1,5.28,6.97,Restricted,0.781,7,0,False,False
HTA0051,CADTH (Canada),2021-11-17,2021,Diagnostic Tests,Neurology,13,10,581,True,0.923,0.0927,0.173,64855.06,100000,70787629.42,Low,5.14,1.68,1.7,Not Recommended,0.0,14,11,False,True
HTA0052,SMC (Scotland),2022-12-27,2022,Medical Devices,Neurology,17,12,5236,False,-0.054,0.0544,0.2397,131577.15,100000,73490263.75,Low,6.93,7.23,8.64,Recommended,0.85,14,14,False,False
HTA0053,CVZ (Netherlands),2024-10-16,2024,Preventive Interventions,Immunology,7,0,6013,True,2.246,0.0181,0.2941,48115.61,100000,92515223.34,Very Low,9.5,5.27,8.76,Recommended,0.969,20,9,False,False
HTA0054,IQWIG (Germany),2020-12-28,2020,Pharmaceuticals,Gastroenterology,13,1,230,False,-0.16,0.1839,0.0729,50717.1,100000,54409637.95,Low,3.87,6.63,8.97,Restricted,0.685,4,2,True,False
HTA0055,IQWIG (Germany),2020-07-14,2020,Medical Devices,Neurology,20,12,2132,True,0.94,0.1606,0.3558,147692.1,100000,77059067.97,Moderate,4.79,7.64,3.15,Restricted,0.533,16,17,False,False
HTA0056,PBAC (Australia),2022-09-15,2022,Preventive Interventions,Oncology,17,8,7611,True,2.369,0.2015,0.1406,90340.36,100000,98250720.99,Low,6.41,9.13,9.9,Recommended,0.949,6,7,False,False
HTA0057,CADTH (Canada),2020-10-11,2020,Gene Therapy,Infectious Disease,2,8,2365,True,2.372,0.2083,0.3303,96317.8,100000,22416078.28,Moderate,6.38,5.73,3.34,Restricted,0.655,20,16,False,False
HTA0058,G-BA (Germany),2022-09-09,2022,Gene Therapy,Gastroenterology,4,13,1480,True,2.132,0.0737,0.0953,133868.47,100000,95609498.32,Low,8.29,6.9,5.96,Restricted,0.526,17,5,False,False
HTA0059,PBAC (Australia),2023-05-28,2023,Rehabilitation Technologies,Cardiology,16,12,9087,True,2.054,0.1288,0.2182,90899.13,100000,82643415.63,Moderate,7.1,6.09,3.4,Restricted,0.764,21,15,True,False
HTA0060,NICE (UK),2022-10-04,2022,Preventive Interventions,Hematology,6,11,6250,False,0.461,0.1217,0.3577,5746.05,50000,82174744.82,Moderate,9.18,1.01,6.01,Restricted,0.727,14,6,False,False
HTA0061,NICE (UK),2024-02-28,2024,Preventive Interventions,Oncology,24,12,1107,True,1.783,0.1399,0.387,54571.46,50000,63629567.42,Very Low,1.92,9.44,7.19,Restricted,0.52,19,11,False,False
HTA0062,CVZ (Netherlands),2023-10-24,2023,Gene Therapy,Oncology,18,1,7537,False,0.469,0.1899,0.0955,114948.16,100000,3434104.73,High,3.91,5.4,7.93,Restricted,0.705,4,13,False,False
HTA0063,CADTH (Canada),2022-09-07,2022,Pharmaceuticals,Neurology,15,6,2944,False,-0.279,0.0298,0.2882,99904.13,100000,28052693.17,Very Low,2.36,4.89,9.49,Restricted,0.626,22,5,True,False
HTA0064,PBAC (Australia),2019-12-06,2019,Diagnostic Tests,Oncology,15,1,2080,True,2.104,0.1816,0.247,73372.21,100000,54780047.77,Moderate,2.83,1.82,2.38,Not Recommended,0.0,16,17,False,True
HTA0065,G-BA (Germany),2021-10-03,2021,Digital Health,Gastroenterology,20,13,626,True,-0.148,0.04,0.2899,67394.35,100000,20851947.94,Moderate,1.58,6.24,3.42,Conditional,0.619,13,12,False,False
HTA0066,PBAC (Australia),2023-06-11,2023,Medical Devices,Cardiology,13,8,2143,False,-0.46,0.1253,0.0867,40096.53,100000,98679596.73,High,5.49,6.56,7.32,Restricted,0.668,20,0,True,False
HTA0067,NICE (UK),2022-04-26,2022,Preventive Interventions,Oncology,22,6,7114,True,1.58,0.2071,0.0644,102205.89,50000,95203447.46,High,9.07,6.35,6.55,Restricted,0.684,11,17,True,False
HTA0068,NCPE (Ireland),2023-11-07,2023,Medical Devices,Endocrinology,11,3,307,True,1.952,0.1186,0.2753,81328.39,100000,73427362.65,High,1.54,3.22,2.44,Not Recommended,0.0,15,18,False,False
HTA0069,IQWIG (Germany),2022-07-21,2022,Surgical Procedures,Gastroenterology,23,2,8079,True,1.658,0.0648,0.3987,146345.01,100000,65382242.95,Moderate,7.12,1.65,1.28,Conditional,0.403,14,16,True,False
HTA0070,CVZ (Netherlands),2022-04-28,2022,Screening Programs,Endocrinology,12,13,6775,True,1.13,0.1334,0.2558,9262.19,100000,40156001.82,Low,6.38,8.14,6.9,Restricted,0.798,14,2,True,False
HTA0071,NCPE (Ireland),2020-10-08,2020,Digital Health,Oncology,4,13,9231,True,1.038,0.1091,0.0742,68388.98,100000,10641945.86,Moderate,6.34,6.21,6.96,Restricted,0.529,19,1,True,False
HTA0072,PBAC (Australia),2021-08-04,2021,Pharmaceuticals,Gastroenterology,13,6,3474,True,2.151,0.1161,0.1658,70072.75,100000,67269649.74,High,5.04,6.29,9.54,Restricted,0.576,22,10,True,False
HTA0073,PBAC (Australia),2018-08-12,2018,Digital Health,Oncology,24,11,1490,False,-0.294,0.0369,0.1444,13277.59,100000,53585783.27,Very Low,1.35,2.1,5.07,Not Recommended,0.0,23,4,False,False
HTA0074,G-BA (Germany),2022-02-24,2022,Rehabilitation Technologies,Endocrinology,11,13,7573,False,0.08,0.071,0.2326,54684.76,100000,53692253.89,High,2.19,2.29,9.46,Conditional,0.593,10,17,False,False
HTA0075,IQWIG (Germany),2022-06-15,2022,Screening Programs,Rheumatology,2,0,5338,False,0.183,0.1293,0.2662,130991.22,100000,57490364.92,High,9.38,7.21,7.09,Recommended,0.843,18,13,False,False
HTA0076,PBAC (Australia),2019-12-02,2019,Digital Health,Hematology,18,5,674,False,-0.093,0.219,0.3238,87217.36,100000,74106471.72,Low,4.64,3.94,7.01,Restricted,0.742,20,12,True,False
HTA0077,G-BA (Germany),2023-06-07,2023,Pharmaceuticals,Gastroenterology,21,14,7332,True,0.689,0.1769,0.186,70060.58,100000,24516868.96,Moderate,3.05,1.66,6.43,Conditional,0.567,12,1,False,False
HTA0078,G-BA (Germany),2019-06-28,2019,Digital Health,Immunology,21,12,1277,True,-0.053,0.1364,0.1361,74120.84,100000,40042167.06,Moderate,7.72,7.44,5.69,Restricted,0.747,13,15,True,False
HTA0079,TLV (Sweden),2024-04-21,2024,Surgical Procedures,Neurology,13,5,4982,True,0.958,0.0716,0.1497,49557.04,100000,80499563.89,Moderate,3.8,6.49,7.45,Restricted,0.582,6,10,False,False
HTA0080,CVZ (Netherlands),2024-08-17,2024,Immunotherapy,Respiratory,10,12,6541,False,-0.075,0.0309,0.3355,59158.9,100000,53123420.22,High,1.02,6.74,5.64,Conditional,0.537,11,14,True,False
HTA0081,CVZ (Netherlands),2018-10-27,2018,Preventive Interventions,Immunology,5,3,6907,False,-0.076,0.1702,0.0834,95459.6,100000,45725000.19,Low,2.51,7.63,8.77,Restricted,0.565,19,15,False,False
HTA0082,G-BA (Germany),2018-09-25,2018,Immunotherapy,Immunology,2,2,4458,False,-0.096,0.1128,0.3012,105403.24,100000,99134343.38,High,1.94,7.52,6.21,Restricted,0.582,16,3,False,False
HTA0083,NICE (UK),2018-08-01,2018,Surgical Procedures,Neurology,6,8,807,True,1.996,0.1707,0.0745,97824.39,50000,27843596.21,Low,7.12,3.08,5.11,Restricted,0.557,4,11,True,False
HTA0084,NICE (UK),2024-04-08,2024,Diagnostic Tests,Cardiology,22,11,3474,True,1.107,0.0332,0.2076,114643.68,50000,35409580.9,Low,8.16,9.34,3.11,Restricted,0.62,10,4,True,False
HTA0085,NCPE (Ireland),2023-05-20,2023,Pharmaceuticals,Hematology,6,5,7221,False,0.365,0.156,0.2274,28099.08,100000,7247794.27,High,3.05,4.08,4.43,Conditional,0.439,11,0,False,False
HTA0086,CADTH (Canada),2021-02-23,2021,Immunotherapy,Immunology,6,2,8697,True,2.476,0.2143,0.123,139936.31,100000,12520273.39,Low,4.43,8.9,8.81,Restricted,0.742,18,6,False,False
HTA0087,TLV (Sweden),2019-11-02,2019,Digital Health,Neurology,3,1,7473,False,0.141,0.2074,0.0964,129992.1,100000,92352961.86,Moderate,6.46,7.88,2.57,Restricted,0.651,11,5,False,False
HTA0088,PBAC (Australia),2022-02-04,2022,Medical Devices,Gastroenterology,15,3,7440,True,2.397,0.1138,0.1591,78390.57,100000,44511657.17,High,6.77,2.94,6.58,Restricted,0.695,21,18,True,False
HTA0089,HAS (France),2019-11-18,2019,Rehabilitation Technologies,Hematology,24,14,8748,True,0.012,0.0279,0.3239,43481.17,100000,18598872.4,Low,6.56,6.7,3.06,Restricted,0.57,22,19,True,False
HTA0090,SMC (Scotland),2024-05-20,2024,Immunotherapy,Cardiology,3,6,1649,True,0.661,0.2413,0.137,24401.54,100000,42439481.54,Low,6.24,7.13,2.71,Restricted,0.686,15,17,True,False
HTA0091,PBAC (Australia),2022-04-17,2022,Medical Devices,Infectious Disease,3,0,4895,True,0.998,0.0738,0.1022,23443.97,100000,86601378.82,Moderate,6.87,8.3,6.53,Restricted,0.758,12,9,True,False
HTA0092,TLV (Sweden),2018-09-01,2018,Pharmaceuticals,Gastroenterology,2,11,3731,True,2.023,0.0192,0.3656,71914.23,100000,64082946.2,Low,9.06,6.73,6.53,Restricted,0.52,15,18,False,False
HTA0093,NICE (UK),2022-08-25,2022,Immunotherapy,Infectious Disease,23,10,3556,True,-0.286,0.0129,0.3848,111938.71,50000,35971889.44,Moderate,4.15,7.97,6.95,Restricted,0.556,13,4,True,False
HTA0094,SMC (Scotland),2023-12-17,2023,Screening Programs,Immunology,8,7,2476,True,0.117,0.0391,0.2653,117321.9,100000,64746521.1,Moderate,1.38,9.72,8.19,Restricted,0.588,10,1,True,False
HTA0095,PBAC (Australia),2024-01-08,2024,Medical Devices,Immunology,18,6,5884,True,1.15,0.1033,0.1073,44699.74,100000,92903435.75,Low,5.46,1.11,9.93,Restricted,0.701,9,16,False,False
HTA0096,HAS (France),2023-08-14,2023,Digital Health,Infectious Disease,8,13,746,True,-0.338,0.0868,0.3136,44053.04,100000,54416065.83,Low,1.97,7.17,1.83,Conditional,0.686,17,18,False,False
HTA0097,SMC (Scotland),2020-06-19,2020,Digital Health,Oncology,23,12,6026,True,2.131,0.1141,0.1063,85916.14,100000,81363469.47,Low,8.93,3.5,2.75,Restricted,0.764,4,10,False,False
HTA0098,PBAC (Australia),2018-09-20,2018,Immunotherapy,Cardiology,4,5,2749,False,0.333,0.0126,0.3123,115008.08,100000,68159503.46,Low,8.58,5.23,5.52,Restricted,0.537,17,3,True,False
HTA0099,NCPE (Ireland),2019-05-06,2019,Gene Therapy,Neurology,21,5,2123,True,-0.413,0.0501,0.1135,61212.67,100000,40830385.34,Low,5.59,7.51,1.94,Restricted,0.568,22,3,False,False
HTA0100,NCPE (Ireland),2020-12-28,2020,Medical Devices,Cardiology,19,0,3490,True,-0.324,0.0902,0.3247,107613.74,100000,79072881.5,Moderate,4.96,2.33,3.95,Conditional,0.474,20,19,False,False
HTA0101,TLV (Sweden),2018-06-04,2018,Gene Therapy,Oncology,20,14,2110,False,0.491,0.1893,0.309,142795.35,100000,21090700.39,Low,9.82,2.49,7.3,Restricted,0.676,15,5,True,False
HTA0102,G-BA (Germany),2019-03-14,2019,Digital Health,Neurology,19,4,8099,True,1.908,0.12,0.219,24354.6,100000,8979549.86,Low,5.47,4.93,7.57,Restricted,0.73,16,11,False,False
HTA0103,CADTH (Canada),2021-05-24,2021,Screening Programs,Hematology,12,9,9657,True,0.241,0.2275,0.1373,44432.71,100000,76180427.98,Moderate,7.99,1.59,5.39,Conditional,0.313,22,17,True,False
HTA0104,TLV (Sweden),2019-01-27,2019,Digital Health,Endocrinology,7,5,9714,True,1.491,0.2412,0.2461,140839.26,100000,6173530.05,Moderate,3.34,7.58,9.83,Restricted,0.577,5,4,True,False
HTA0105,G-BA (Germany),2022-12-25,2022,Diagnostic Tests,Hematology,9,0,7445,False,-0.082,0.0313,0.2893,84040.3,100000,98071165.38,Moderate,4.64,5.88,8.13,Restricted,0.665,4,5,False,False
HTA0106,HAS (France),2022-05-02,2022,Pharmaceuticals,Immunology,22,8,3237,True,2.086,0.1204,0.3122,47135.2,100000,78910043.36,High,4.2,9.8,8.15,Restricted,0.649,9,19,True,False
HTA0107,CADTH (Canada),2024-08-08,2024,Surgical Procedures,Rheumatology,21,14,1849,True,0.266,0.2372,0.2461,113855.78,100000,56240093.14,Low,1.85,4.09,3.54,Conditional,0.456,5,5,False,False
HTA0108,IQWIG (Germany),2020-03-05,2020,Preventive Interventions,Cardiology,19,10,2651,True,-0.218,0.0956,0.3151,45084.05,100000,31922561.09,Low,2.76,9.07,5.68,Restricted,0.634,8,11,False,False
HTA0109,G-BA (Germany),2020-08-06,2020,Diagnostic Tests,Cardiology,1,11,3300,True,0.591,0.1858,0.3371,50408.49,100000,80060733.97,Very Low,8.71,2.06,7.66,Restricted,0.596,3,12,True,False
HTA0110,PBAC (Australia),2021-06-26,2021,Medical Devices,Endocrinology,23,10,8104,True,1.082,0.1826,0.3616,16513.95,100000,73418152.54,Moderate,8.72,8.37,5.87,Recommended,0.942,14,10,False,False
HTA0111,HAS (France),2019-06-03,2019,Preventive Interventions,Infectious Disease,12,11,9277,True,-0.161,0.0309,0.3017,65917.22,100000,90630627.55,Low,2.72,6.52,4.92,Conditional,0.531,19,4,True,False
HTA0112,G-BA (Germany),2022-02-02,2022,Pharmaceuticals,Endocrinology,3,7,255,False,-0.333,0.1673,0.3971,15537.28,100000,8630723.18,Moderate,8.8,2.94,4.24,Restricted,0.521,23,13,True,False
HTA0113,CADTH (Canada),2018-03-28,2018,Pharmaceuticals,Respiratory,13,14,1238,False,0.171,0.1445,0.0888,69823.05,100000,46575468.85,Low,5.92,4.42,9.79,Restricted,0.533,22,16,False,False
HTA0114,NCPE (Ireland),2024-06-16,2024,Rehabilitation Technologies,Rheumatology,19,13,3046,False,0.305,0.0143,0.387,110367.29,100000,31170358.44,Low,3.53,8.85,2.01,Conditional,0.581,6,7,False,False
HTA0115,TLV (Sweden),2021-09-14,2021,Pharmaceuticals,Gastroenterology,11,4,1862,True,1.691,0.1537,0.0726,132199.72,100000,87848914.52,Moderate,4.06,9.9,6.64,Restricted,0.659,19,15,False,False
HTA0116,G-BA (Germany),2024-05-05,2024,Medical Devices,Infectious Disease,16,3,7951,True,-0.218,0.2283,0.2842,125246.59,100000,88018911.13,Low,5.66,4.87,3.85,Conditional,0.474,17,14,True,False
HTA0117,CVZ (Netherlands),2022-03-06,2022,Surgical Procedures,Rheumatology,20,8,3840,True,1.529,0.0416,0.132,119078.8,100000,97105854.44,Moderate,3.44,5.26,9.85,Restricted,0.581,8,5,True,False
HTA0118,HAS (France),2019-11-08,2019,Pharmaceuticals,Rheumatology,19,11,7716,True,0.919,0.1594,0.2144,69882.88,100000,47954553.62,Low,5.83,8.69,1.45,Restricted,0.75,22,0,False,False
HTA0119,PBAC (Australia),2023-10-11,2023,Digital Health,Oncology,22,13,6476,True,-0.239,0.1581,0.0898,55057.36,100000,51233781.93,Low,5.44,7.32,9.94,Recommended,0.826,16,12,False,False
HTA0120,NICE (UK),2021-08-08,2021,Screening Programs,Neurology,21,12,6688,True,1.971,0.2392,0.3374,5226.94,50000,64003735.65,High,3.32,1.54,6.43,Conditional,0.575,4,3,False,False
HTA0121,CADTH (Canada),2020-12-08,2020,Medical Devices,Infectious Disease,20,0,3908,True,0.463,0.19,0.1944,98683.95,100000,64998558.92,Low,6.39,5.52,2.25,Conditional,0.346,9,2,True,False
HTA0122,PBAC (Australia),2020-08-02,2020,Medical Devices,Rheumatology,17,8,2566,True,-0.247,0.1058,0.3685,122163.28,100000,22389085.14,Moderate,8.35,1.61,4.49,Conditional,0.641,6,2,False,False
HTA0123,TLV (Sweden),2019-12-12,2019,Digital Health,Rheumatology,2,2,2342,False,0.417,0.1134,0.1616,89418.82,100000,37746069.92,Low,7.35,7.2,4.37,Restricted,0.55,7,6,False,False
HTA0124,NCPE (Ireland),2024-04-19,2024,Pharmaceuticals,Oncology,10,11,1013,True,0.522,0.0272,0.1934,50126.54,100000,68034943.33,Low,4.28,2.96,9.89,Restricted,0.636,6,16,False,False
