study_id,author,year,journal,pmid,disease,test_type,test_name,reference_standard,n_patients,prevalence,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,ppv,npv,lr_positive,lr_negative,auc,quadas_patient_selection,quadas_index_test,quadas_reference_standard,quadas_flow_timing,quadas_overall,age_mean,percent_male,setting,test_cost_usd,country
DTA011,Kim,2019,J Clin Oncol,31123456,Ovarian cancer,Biomarker,CA-125 >35U/mL,Surgery + histology,680,0.09,58,52,3,567,0.951,0.916,0.527,0.995,11.3,0.053,0.958,low,low,low,low,low,56.2,0,Screening,95,South Korea
DTA012,Lee,2022,Chest,34234567,Tuberculosis,Imaging,Chest X-ray,Sputum culture,1200,0.08,89,98,7,1006,0.927,0.911,0.476,0.993,10.4,0.080,0.943,low,unclear,low,low,low,38.7,62,Primary care,45,India
DTA013,Martinez,2020,Kidney Int,32345678,Chronic kidney disease,Biomarker,eGFR <60,Gold standard GFR,850,0.32,258,52,14,526,0.948,0.910,0.832,0.974,10.5,0.058,0.954,low,low,low,low,low,63.4,56,Hospital,85,Mexico
DTA014,Nelson,2021,JAMA Psychiatry,33456789,Depression,Questionnaire,PHQ-9 >=10,Structured clinical interview,980,0.28,258,68,16,638,0.942,0.904,0.791,0.976,9.8,0.064,0.948,unclear,unclear,low,unclear,unclear,44.2,38,Primary care,0,USA
DTA015,Olson,2019,Ophthalmology,31567890,Diabetic retinopathy,Imaging,Fundus photography,Dilated eye exam,1450,0.18,248,98,12,1092,0.954,0.918,0.717,0.989,11.6,0.050,0.960,low,low,low,low,low,58.9,52,Screening,120,UK
DTA016,Patel,2022,Eur Heart J,34678901,Heart failure,Biomarker,BNP >100pg/mL,Echocardiography + clinical,720,0.35,238,52,14,416,0.944,0.889,0.821,0.967,8.5,0.063,0.946,low,low,low,low,low,68.7,64,Emergency,125,India
DTA017,Quinn,2020,Arthritis Rheumatol,32789012,Rheumatoid arthritis,Biomarker,Anti-CCP antibodies,ACR criteria,580,0.28,152,38,10,380,0.938,0.909,0.800,0.974,10.3,0.068,0.950,low,low,unclear,low,low,52.4,32,Rheumatology,180,USA
DTA018,Roberts,2021,Thorax,33890123,Asthma,Test,Spirometry FEV1/FVC<0.7,Clinical diagnosis + bronchodilator,950,0.32,282,58,22,588,0.928,0.910,0.829,0.964,10.3,0.079,0.945,low,unclear,low,low,low,38.6,48,Pulmonology,95,Australia
DTA019,Singh,2019,Clin Infect Dis,31901234,HIV,Biomarker,4th gen antibody/antigen,Western blot,1680,0.12,196,18,6,1460,0.970,0.988,0.916,0.996,80.8,0.030,0.985,low,low,low,low,low,36.4,68,Screening,48,South Africa
DTA020,Taylor,2022,Stroke,34012345,Atrial fibrillation,Device,Holter monitoring 24h,ECG + clinical,820,0.18,142,62,6,610,0.959,0.908,0.696,0.990,10.4,0.045,0.962,low,low,low,low,low,72.3,58,Cardiology,350,Germany
DTA021,Upton,2020,J Urology,32123457,Bladder cancer,Imaging,Cystoscopy,Biopsy,450,0.22,92,38,7,313,0.929,0.892,0.708,0.978,8.6,0.080,0.938,unclear,low,low,low,unclear,66.8,78,Urology,580,USA
DTA022,Vincent,2021,Bone,33234568,Osteoporosis,Imaging,DXA T-score<-2.5,Clinical fracture risk,1250,0.24,285,78,15,872,0.950,0.918,0.785,0.983,11.6,0.054,0.957,low,low,unclear,low,low,68.4,28,Screening,185,Canada
DTA023,Wang,2019,Hepatology,31345679,Hepatocellular carcinoma,Imaging,Ultrasound + AFP,CT/MRI + biopsy,680,0.16,102,58,7,513,0.936,0.898,0.638,0.987,9.2,0.071,0.944,low,unclear,low,low,low,62.5,72,Screening,95,China
DTA024,Xavier,2022,Am J Respir Crit Care Med,34456790,COPD,Test,Spirometry FEV1/FVC<0.7 post-BD,Clinical diagnosis,1450,0.28,385,98,17,950,0.958,0.906,0.797,0.982,10.2,0.046,0.958,low,low,low,low,low,64.2,68,Pulmonology,95,Netherlands
DTA025,Young,2020,Thyroid,32567891,Thyroid cancer,Imaging,Ultrasound + FNA,Surgery + histology,580,0.18,98,42,6,434,0.942,0.912,0.700,0.986,10.7,0.064,0.952,low,low,low,low,low,48.6,24,Endocrinology,280,Japan
DTA026,Zhang,2021,Blood,33678902,Leukemia,Biomarker,Flow cytometry,Bone marrow biopsy,320,0.35,108,28,4,180,0.964,0.866,0.794,0.978,7.2,0.041,0.952,low,low,low,low,low,52.3,58,Hematology,450,China
DTA027,Adams_B,2019,Pediatrics,31789013,Kawasaki disease,Clinical,Fever + 4/5 criteria,Expert diagnosis,280,0.24,64,18,3,195,0.955,0.916,0.780,0.985,11.4,0.049,0.962,unclear,unclear,unclear,unclear,unclear,3.8,58,Pediatric,0,USA
DTA028,Brown_C,2022,Alzheimers Dement,34890124,Alzheimer disease,Imaging,Amyloid PET,Clinical + CSF biomarkers,450,0.42,178,38,11,223,0.942,0.854,0.824,0.953,6.4,0.068,0.934,low,low,unclear,low,low,71.8,44,Neurology,3500,USA
DTA029,Clark_D,2020,Int J Cancer,32901235,Pancreatic cancer,Biomarker,CA19-9 >37U/mL,CT + biopsy,380,0.14,48,52,5,275,0.906,0.841,0.480,0.982,5.7,0.112,0.912,unclear,low,low,low,unclear,64.7,52,Oncology,85,USA
DTA030,Davis_E,2021,Infect Dis,33012346,Sepsis,Biomarker,Procalcitonin >0.5ng/mL,Blood culture + clinical,920,0.22,192,68,10,650,0.950,0.905,0.738,0.985,10.0,0.055,0.954,low,low,low,low,low,58.4,54,Emergency,125,Germany
DTA031,Evans_F,2019,Gut,31123457,Crohn disease,Biomarker,Fecal calprotectin >250,Endoscopy + biopsy,580,0.32,172,48,13,347,0.930,0.878,0.782,0.964,7.6,0.080,0.934,low,low,low,low,low,38.6,48,Gastro,95,UK
DTA032,Foster_G,2022,Hypertension,34234568,Hypertension,Test,Home BP monitoring,24h ambulatory BP,1250,0.45,542,78,21,609,0.963,0.886,0.874,0.967,8.4,0.042,0.956,low,unclear,low,low,low,54.8,52,Primary care,120,USA
DTA033,Garcia_H,2020,J Neurol Neurosurg Psychiatry,32345679,Multiple sclerosis,Imaging,MRI brain + spine,McDonald criteria,420,0.28,112,38,6,264,0.949,0.874,0.747,0.978,7.5,0.058,0.942,low,low,low,low,low,38.4,32,Neurology,1850,Spain
DTA034,Harris_I,2021,Ann Rheum Dis,33456780,Ankylosing spondylitis,Imaging,MRI sacroiliac joints,Modified NY criteria,350,0.32,106,28,6,210,0.946,0.882,0.791,0.972,8.0,0.061,0.945,low,low,unclear,low,low,42.6,72,Rheumatology,950,Netherlands
DTA035,Ibrahim_J,2019,Dermatology,31567891,Melanoma,Imaging,Dermoscopy,Histology,680,0.12,78,52,4,546,0.951,0.913,0.600,0.993,10.9,0.054,0.958,low,low,low,low,low,56.2,54,Dermatology,0,Australia
DTA036,Johnson_K,2022,Obstet Gynecol,34678902,Preeclampsia,Biomarker,sFlt-1/PlGF ratio >38,Clinical diagnosis,820,0.18,142,68,6,604,0.959,0.899,0.676,0.990,9.5,0.046,0.956,low,low,unclear,low,low,28.6,0,Obstetrics,280,USA
DTA037,Kim_L,2020,Am J Cardiol,32789013,Myocardial infarction,Biomarker,High-sensitivity troponin,Angiography + ECG,950,0.22,198,72,11,669,0.947,0.903,0.733,0.984,9.8,0.059,0.952,low,low,low,low,low,62.4,68,Emergency,95,South Korea
DTA038,Lee_M,2021,Crit Care Med,33890124,Acute kidney injury,Biomarker,NGAL >150ng/mL,KDIGO criteria,580,0.35,192,52,11,325,0.946,0.862,0.787,0.967,6.9,0.063,0.940,low,low,unclear,low,low,64.8,58,ICU,185,USA
DTA039,Martinez_N,2019,J Allergy Clin Immunol,31901235,Food allergy,Test,Skin prick test,Oral food challenge,720,0.18,122,78,6,514,0.953,0.868,0.610,0.988,7.2,0.054,0.944,unclear,unclear,low,unclear,unclear,8.4,58,Allergy,85,Spain
DTA040,Nelson_O,2022,Eur J Radiol,34012346,Deep vein thrombosis,Imaging,Compression ultrasound,Venography,650,0.24,148,58,8,436,0.949,0.883,0.718,0.982,8.1,0.058,0.948,low,low,low,low,low,58.6,42,Radiology,280,France
DTA041,Olson_P,2020,Mov Disord,32123458,Parkinson disease,Clinical,MDS criteria,DaTSCAN + clinical,420,0.38,152,32,8,228,0.950,0.877,0.826,0.966,7.7,0.057,0.948,unclear,unclear,unclear,unclear,unclear,68.4,62,Neurology,0,USA
DTA042,Patel_Q,2021,Lupus,33234569,Systemic lupus erythematosus,Biomarker,Anti-dsDNA antibodies,ACR criteria,480,0.28,125,42,9,304,0.933,0.879,0.749,0.971,7.7,0.076,0.938,low,low,unclear,low,low,38.6,12,Rheumatology,125,India
DTA043,Quinn_R,2019,Eur Respir J,31345680,Pulmonary hypertension,Test,Echocardiography RVSP>40,Right heart catheter,380,0.32,112,42,9,217,0.926,0.838,0.727,0.960,5.7,0.088,0.920,low,unclear,low,low,low,54.2,38,Cardiology,350,Germany
DTA044,Roberts_S,2022,Clin Chem,34456791,Vitamin D deficiency,Biomarker,25(OH)D <20ng/mL,LC-MS/MS,1450,0.42,582,128,26,714,0.957,0.848,0.820,0.965,6.3,0.051,0.942,low,low,low,low,low,52.4,42,Laboratory,75,USA
DTA045,Singh_T,2020,HIV Med,32567892,HIV drug resistance,Test,Genotypic resistance test,Phenotypic test,280,0.38,98,22,8,152,0.925,0.874,0.817,0.950,7.3,0.086,0.932,low,low,low,unclear,low,42.6,68,Infectious disease,850,South Africa
DTA046,Taylor_U,2021,Endoscopy,33678903,Barrett esophagus,Imaging,Narrow-band imaging,Histology,520,0.24,118,52,7,343,0.944,0.868,0.694,0.980,7.2,0.064,0.938,low,unclear,low,low,low,58.4,72,Gastro,0,UK
DTA047,Upton_V,2019,J Orthop Res,31789014,Anterior cruciate ligament tear,Imaging,MRI,Arthroscopy,380,0.42,152,28,8,192,0.950,0.873,0.844,0.960,7.5,0.057,0.946,low,low,low,low,low,28.4,58,Orthopedics,950,USA
DTA048,Vincent_W,2022,J Am Soc Nephrol,34890125,Glomerulonephritis,Test,Kidney biopsy,Clinical outcome,320,0.38,112,28,6,174,0.949,0.861,0.800,0.967,6.8,0.059,0.940,unclear,low,low,low,unclear,48.6,54,Nephrology,1250,Germany
DTA049,Wang_X,2020,J Clin Endocrinol Metab,32901236,Hyperthyroidism,Biomarker,TSH <0.4mIU/L,Clinical + additional tests,920,0.24,212,68,9,631,0.959,0.903,0.757,0.986,9.9,0.045,0.958,low,low,unclear,low,low,44.8,28,Endocrinology,45,China
DTA050,Xavier_Y,2021,Arch Ophthalmol,33012347,Glaucoma,Test,OCT RNFL thickness,Visual field + IOP,680,0.28,182,58,9,431,0.953,0.882,0.758,0.979,8.1,0.053,0.948,low,low,low,low,low,64.2,52,Ophthalmology,420,Japan
DTA051,,,,,Pneumonia,Clinical test,Test 51,Gold standard imaging,286,0.17,36,33,12,205,0.766,0.864,0.522,0.945,5.6,0.271,0.948,low,low,low,low,unclear,47.3,70,Emergency,1078,UK
DTA052,,,,,Colorectal cancer,Clinical test,Test 52,Biopsy,1659,0.14,200,290,32,1137,0.866,0.797,0.408,0.973,4.3,0.168,0.869,low,low,low,unclear,low,67.9,54,Hospital,177,USA
DTA053,,,,,Depression,Clinical test,Test 53,Gold standard imaging,1674,0.13,209,327,8,1130,0.967,0.776,0.39,0.993,4.3,0.043,0.826,unclear,low,low,unclear,unclear,68.9,57,Hospital,1927,USA
DTA054,,,,,Colorectal cancer,Imaging,Test 54,PCR,838,0.05,33,91,8,706,0.808,0.887,0.266,0.989,7.2,0.216,0.968,low,low,low,low,low,49.5,61,Emergency,1929,France
DTA055,,,,,Heart failure,Antibody test,Test 55,Culture,1778,0.26,444,19,18,1297,0.963,0.986,0.959,0.986,68.8,0.038,0.909,low,low,low,low,unclear,63.6,61,Outpatient,1733,China
DTA056,,,,,HIV,Antigen test,Test 56,Clinical diagnosis,854,0.1,69,121,16,648,0.812,0.843,0.363,0.976,5.2,0.223,0.833,low,unclear,low,low,low,48.9,36,Hospital,1020,UK
DTA057,,,,,Stroke,Antibody test,Test 57,Culture,1819,0.18,268,224,59,1268,0.82,0.85,0.545,0.956,5.5,0.212,0.819,unclear,low,low,low,low,64.4,35,Emergency,815,France
DTA058,,,,,Lung cancer,Molecular,Test 58,Culture,1296,0.24,269,141,42,844,0.868,0.857,0.656,0.953,6.1,0.154,0.976,low,low,low,low,unclear,61.0,51,Hospital,188,China
DTA059,,,,,Epilepsy,Imaging,Test 59,Gold standard imaging,1604,0.06,86,162,10,1346,0.906,0.893,0.347,0.993,8.5,0.105,0.807,low,unclear,low,low,low,48.1,64,Hospital,1420,China
DTA060,,,,,Breast cancer,Antigen test,Test 60,Biopsy,462,0.07,23,55,9,375,0.733,0.874,0.295,0.977,5.8,0.305,0.97,low,low,low,unclear,unclear,56.5,40,Hospital,173,China
DTA061,,,,,Depression,Biomarker,Test 61,PCR,1883,0.16,235,43,66,1539,0.781,0.973,0.845,0.959,28.9,0.225,0.971,low,low,low,low,low,46.9,40,Emergency,1438,Canada
DTA062,,,,,Stroke,Antibody test,Test 62,Culture,1657,0.14,225,140,6,1286,0.978,0.902,0.616,0.995,10.0,0.024,0.879,low,unclear,unclear,low,low,63.2,49,Emergency,776,USA
DTA063,,,,,PE,PCR,Test 63,Clinical diagnosis,871,0.05,40,96,3,732,0.937,0.885,0.294,0.996,8.1,0.071,0.822,low,unclear,low,low,low,53.9,35,Outpatient,751,USA
DTA064,,,,,TB,Biomarker,Test 64,PCR,455,0.17,58,70,19,308,0.761,0.815,0.453,0.942,4.1,0.293,0.925,low,unclear,low,low,low,56.4,56,Primary care,1525,Germany
DTA065,,,,,Lung cancer,Biomarker,Test 65,Clinical diagnosis,1407,0.22,229,265,80,833,0.743,0.759,0.464,0.912,3.1,0.339,0.905,low,low,low,unclear,low,64.0,59,Primary care,288,UK
DTA066,,,,,Epilepsy,Imaging,Test 66,Culture,1523,0.07,103,178,3,1239,0.977,0.875,0.367,0.998,7.8,0.026,0.877,low,low,unclear,low,high,50.2,64,Primary care,1655,Germany
DTA067,,,,,PE,Antibody test,Test 67,Culture,228,0.05,10,26,1,191,0.929,0.884,0.278,0.995,8.0,0.08,0.937,low,low,low,unclear,low,67.2,60,Emergency,637,China
DTA068,,,,,AFib,Imaging,Test 68,PCR,1855,0.2,347,367,24,1117,0.937,0.753,0.486,0.979,3.8,0.084,0.855,unclear,low,unclear,low,low,55.1,43,Hospital,1468,China
DTA069,,,,,PE,Antibody test,Test 69,PCR,515,0.26,126,61,7,321,0.95,0.841,0.674,0.979,6.0,0.059,0.827,low,unclear,unclear,low,high,65.4,57,Hospital,110,Canada
DTA070,,,,,AFib,Clinical test,Test 70,Biopsy,1455,0.14,146,34,57,1218,0.722,0.973,0.811,0.955,26.7,0.286,0.847,unclear,low,low,unclear,unclear,58.8,67,Emergency,1778,France
DTA071,,,,,Schizophrenia,Molecular,Test 71,Culture,1700,0.15,200,125,55,1320,0.787,0.914,0.615,0.96,9.2,0.233,0.854,low,low,unclear,unclear,high,46.4,69,Emergency,931,China
DTA072,,,,,Epilepsy,Imaging,Test 72,Biopsy,1857,0.22,296,86,112,1363,0.727,0.941,0.775,0.924,12.3,0.29,0.822,low,low,low,unclear,high,54.8,70,Primary care,1644,Japan
DTA073,,,,,Heart failure,Molecular,Test 73,Gold standard imaging,736,0.18,108,102,24,502,0.82,0.832,0.514,0.954,4.9,0.216,0.859,low,low,low,unclear,low,69.4,63,Outpatient,1439,Canada
DTA074,,,,,COVID-19,Biomarker,Test 74,Gold standard imaging,355,0.27,83,27,12,233,0.881,0.898,0.755,0.951,8.6,0.133,0.917,low,low,low,low,high,60.3,63,Hospital,1757,Germany
DTA075,,,,,Lung cancer,Antibody test,Test 75,Gold standard imaging,1708,0.25,417,243,10,1038,0.978,0.811,0.632,0.99,5.2,0.027,0.874,low,low,unclear,low,low,49.1,53,Outpatient,234,China
DTA076,,,,,COVID-19,Imaging,Test 76,Gold standard imaging,1529,0.16,224,139,20,1146,0.921,0.892,0.617,0.983,8.5,0.089,0.935,low,low,low,unclear,high,45.7,35,Hospital,1647,UK
DTA077,,,,,DVT,Imaging,Test 77,Culture,420,0.13,52,75,2,291,0.972,0.796,0.409,0.993,4.8,0.035,0.971,low,low,unclear,low,low,56.6,55,Hospital,1984,France
DTA078,,,,,COVID-19,Biomarker,Test 78,Biopsy,1736,0.18,290,59,22,1365,0.93,0.959,0.831,0.984,22.7,0.073,0.929,unclear,unclear,low,low,low,63.9,53,Primary care,700,UK
DTA079,,,,,HIV,Clinical test,Test 79,Biopsy,962,0.23,202,61,19,680,0.917,0.918,0.768,0.973,11.2,0.09,0.813,unclear,low,unclear,unclear,high,52.3,59,Outpatient,641,Germany
DTA080,,,,,TB,PCR,Test 80,Culture,957,0.17,115,89,47,706,0.712,0.889,0.564,0.938,6.4,0.324,0.882,low,low,low,low,high,67.5,68,Outpatient,477,Germany
DTA081,,,,,Depression,Antibody test,Test 81,PCR,1679,0.2,317,193,18,1151,0.949,0.857,0.622,0.985,6.6,0.06,0.935,low,unclear,low,unclear,low,69.9,57,Primary care,1225,Japan
DTA082,,,,,Schizophrenia,Biomarker,Test 82,Gold standard imaging,1748,0.21,300,230,67,1151,0.818,0.834,0.566,0.945,4.9,0.218,0.888,low,unclear,low,low,low,59.3,66,Hospital,1514,Canada
DTA083,,,,,Breast cancer,Clinical test,Test 83,Culture,1529,0.29,411,251,32,835,0.93,0.769,0.621,0.963,4.0,0.091,0.817,low,unclear,low,low,low,64.9,55,Hospital,352,UK
DTA084,,,,,Colorectal cancer,Clinical test,Test 84,Gold standard imaging,924,0.17,114,58,43,709,0.73,0.925,0.663,0.943,9.7,0.292,0.903,low,unclear,low,unclear,high,57.0,38,Emergency,895,USA
DTA085,,,,,Alzheimer disease,PCR,Test 85,Clinical diagnosis,334,0.26,83,56,3,192,0.971,0.778,0.597,0.985,4.4,0.037,0.971,low,low,low,low,low,63.3,46,Outpatient,1821,Canada
DTA086,,,,,Depression,Antibody test,Test 86,Gold standard imaging,1963,0.25,369,202,121,1271,0.754,0.863,0.646,0.913,5.5,0.285,0.831,low,low,low,low,low,60.7,67,Hospital,327,Canada
DTA087,,,,,HIV,Clinical test,Test 87,Culture,1335,0.18,197,31,43,1064,0.823,0.972,0.864,0.961,29.4,0.182,0.978,low,unclear,low,unclear,low,45.4,44,Primary care,1017,Germany
DTA088,,,,,Sepsis,Antibody test,Test 88,Culture,1553,0.21,272,102,54,1125,0.837,0.917,0.727,0.954,10.1,0.178,0.82,low,low,low,unclear,unclear,47.3,35,Outpatient,1169,Germany
DTA089,,,,,Pneumonia,Clinical test,Test 89,Biopsy,903,0.17,138,177,15,573,0.903,0.764,0.438,0.974,3.8,0.127,0.959,unclear,low,unclear,low,unclear,53.7,56,Primary care,1902,Germany
DTA090,,,,,PE,Clinical test,Test 90,Gold standard imaging,351,0.15,44,38,8,261,0.858,0.874,0.537,0.97,6.8,0.162,0.831,unclear,low,low,unclear,low,69.7,65,Emergency,458,Germany
DTA091,,,,,Prostate cancer,Biomarker,Test 91,Gold standard imaging,296,0.18,45,14,8,229,0.867,0.945,0.763,0.966,15.8,0.141,0.84,low,low,unclear,low,unclear,69.6,40,Primary care,722,USA
DTA092,,,,,DVT,Antibody test,Test 92,PCR,955,0.28,195,51,72,637,0.732,0.927,0.793,0.898,10.0,0.289,0.821,low,low,low,low,low,54.8,42,Emergency,1598,Japan
DTA093,,,,,Breast cancer,PCR,Test 93,Biopsy,865,0.23,168,139,30,528,0.853,0.793,0.547,0.946,4.1,0.185,0.9,low,unclear,low,low,low,46.9,62,Outpatient,595,Germany
DTA094,,,,,Pneumonia,Imaging,Test 94,Gold standard imaging,1689,0.16,244,171,26,1248,0.905,0.88,0.588,0.98,7.5,0.108,0.926,low,low,low,low,low,50.8,60,Emergency,397,France
DTA095,,,,,TB,Antigen test,Test 95,Clinical diagnosis,918,0.22,181,38,20,679,0.903,0.948,0.826,0.971,17.4,0.102,0.942,low,low,low,low,unclear,61.0,59,Emergency,1324,Canada
DTA096,,,,,Parkinson disease,Molecular,Test 96,Culture,466,0.07,23,56,9,378,0.744,0.872,0.291,0.977,5.8,0.294,0.823,unclear,unclear,unclear,low,unclear,55.4,61,Emergency,1326,Canada
DTA097,,,,,Pneumonia,PCR,Test 97,Biopsy,1467,0.18,232,258,32,945,0.882,0.786,0.473,0.967,4.1,0.15,0.867,low,low,low,low,low,69.3,46,Outpatient,891,France
DTA098,,,,,Heart failure,Molecular,Test 98,Clinical diagnosis,1817,0.18,267,157,60,1333,0.819,0.895,0.63,0.957,7.8,0.202,0.943,low,unclear,low,unclear,low,67.2,56,Primary care,1078,Canada
DTA099,,,,,PE,Imaging,Test 99,PCR,1689,0.06,89,245,12,1343,0.887,0.846,0.266,0.991,5.8,0.134,0.829,unclear,low,low,low,low,50.0,59,Primary care,1630,Japan
DTA100,,,,,PE,PCR,Test 100,Biopsy,1695,0.22,263,75,109,1248,0.709,0.944,0.778,0.92,12.7,0.308,0.81,low,low,low,unclear,low,51.7,42,Primary care,1845,Canada
DTA101,,,,,Prostate cancer,Clinical test,Test 101,Clinical diagnosis,638,0.18,102,65,12,459,0.896,0.877,0.611,0.975,7.3,0.119,0.949,low,low,low,low,low,50.4,58,Hospital,1651,USA
DTA102,,,,,CAD,Antibody test,Test 102,PCR,608,0.07,33,7,9,559,0.806,0.989,0.825,0.984,73.3,0.196,0.846,low,low,unclear,low,low,59.4,65,Hospital,373,Canada
DTA103,,,,,Heart failure,PCR,Test 103,Gold standard imaging,1641,0.08,98,145,33,1365,0.755,0.904,0.403,0.976,7.9,0.271,0.817,unclear,low,low,unclear,high,45.4,69,Outpatient,981,USA
DTA104,,,,,Schizophrenia,PCR,Test 104,Gold standard imaging,677,0.17,86,57,29,505,0.75,0.9,0.601,0.946,7.5,0.278,0.935,low,unclear,unclear,low,high,57.8,51,Primary care,770,USA
DTA105,,,,,MI,Imaging,Test 105,Biopsy,1715,0.2,332,275,11,1097,0.97,0.8,0.547,0.99,4.9,0.038,0.95,unclear,low,low,low,low,48.7,45,Hospital,1528,France
DTA106,,,,,TB,Antibody test,Test 106,Culture,1166,0.05,53,55,5,1053,0.922,0.951,0.491,0.995,18.8,0.082,0.923,low,low,low,low,low,55.4,51,Primary care,396,China
DTA107,,,,,Sepsis,Molecular,Test 107,Clinical diagnosis,1195,0.11,109,264,22,800,0.834,0.752,0.292,0.973,3.4,0.221,0.855,low,low,unclear,unclear,low,56.7,39,Outpatient,114,Germany
DTA108,,,,,Pneumonia,Imaging,Test 108,Culture,443,0.09,30,5,9,399,0.783,0.988,0.857,0.978,65.2,0.22,0.86,low,unclear,unclear,low,high,63.4,42,Primary care,839,Japan
DTA109,,,,,Colorectal cancer,PCR,Test 109,Culture,1489,0.11,127,251,36,1075,0.785,0.811,0.336,0.968,4.2,0.265,0.922,low,unclear,low,low,low,67.3,42,Emergency,913,Canada
DTA110,,,,,COVID-19,Molecular,Test 110,Gold standard imaging,1478,0.26,294,127,90,967,0.767,0.884,0.698,0.915,6.6,0.264,0.828,low,unclear,low,low,low,48.0,40,Outpatient,1710,USA
DTA111,,,,,AFib,Biomarker,Test 111,PCR,1482,0.12,134,307,43,998,0.759,0.765,0.304,0.959,3.2,0.315,0.936,low,unclear,low,unclear,low,45.3,50,Outpatient,994,UK
DTA112,,,,,Epilepsy,Clinical test,Test 112,Biopsy,1318,0.09,96,30,22,1170,0.82,0.975,0.762,0.982,32.8,0.185,0.943,low,low,low,low,high,68.0,59,Primary care,1731,France
DTA113,,,,,Schizophrenia,Antibody test,Test 113,Culture,649,0.19,106,27,17,499,0.866,0.949,0.797,0.967,17.0,0.141,0.826,low,low,low,low,low,48.4,37,Emergency,966,China
DTA114,,,,,Prostate cancer,Biomarker,Test 114,Biopsy,1629,0.12,174,237,21,1197,0.894,0.835,0.423,0.983,5.4,0.127,0.827,low,unclear,low,unclear,unclear,63.6,66,Primary care,263,Canada
DTA115,,,,,Lung cancer,Biomarker,Test 115,PCR,1014,0.08,69,166,12,767,0.861,0.823,0.294,0.985,4.9,0.169,0.883,low,low,unclear,unclear,low,45.6,70,Primary care,478,China
DTA116,,,,,AFib,Clinical test,Test 116,Biopsy,1751,0.15,233,181,29,1308,0.893,0.879,0.563,0.978,7.4,0.122,0.828,low,low,low,unclear,low,52.2,39,Primary care,50,China
DTA117,,,,,Sepsis,Biomarker,Test 117,Gold standard imaging,378,0.12,43,16,2,317,0.975,0.953,0.729,0.994,20.7,0.026,0.872,low,low,low,unclear,unclear,52.1,60,Primary care,440,UK
DTA118,,,,,TB,Molecular,Test 118,PCR,893,0.25,184,98,39,572,0.827,0.854,0.652,0.936,5.7,0.203,0.853,low,low,low,low,low,61.5,35,Emergency,73,USA
DTA119,,,,,Lung cancer,Imaging,Test 119,Culture,646,0.13,63,92,20,471,0.771,0.837,0.406,0.959,4.7,0.274,0.847,low,unclear,unclear,low,low,45.3,44,Primary care,196,UK
