hta_id,technology_name,manufacturer,therapeutic_area,indication,comparator,regulatory_body,decision_year,clinical_outcome_primary,relative_effect_rr_or_hr,ci_lower,ci_upper,p_value,qaly_gain,icer_per_qaly,budget_impact_millions,recommendation,evidence_quality,innovation_score,unmet_need,patient_population_size,cost_per_patient_year,safety_grade,implementation_feasibility,country
HTA011,Mogamulizumab,Kyowa Kirin,Oncology,Cutaneous T-cell lymphoma,Vorinostat,NICE,2019,Progression-free Survival,0.53,0.41,0.69,0.001,2.18,54200,25,Approved,High,7,Very high,1200,145000,B,Moderate,UK
HTA012,Pralsetinib,Blueprint Medicines,Oncology,RET fusion+ NSCLC,Chemotherapy,EMA,2022,Overall Response Rate,0.58,0.46,0.73,0.001,1.84,78500,42,Conditional,Moderate,9,High,4500,185000,B,Moderate,EU
HTA013,Selpercatinib,Lilly,Oncology,RET fusion+ thyroid cancer,Cabozantinib,FDA,2021,Progression-free Survival,0.44,0.33,0.59,0.001,2.42,62300,35,Approved,High,9,High,3800,172000,A,High,USA
HTA014,Tucatinib,Seagen,Oncology,HER2+ metastatic breast cancer with brain mets,Capecitabine + trastuzumab,CADTH,2021,Progression-free Survival,0.54,0.42,0.71,0.001,1.95,58900,68,Approved,High,8,Very high,12000,142000,A,High,Canada
HTA015,Margetuximab,MacroGenics,Oncology,HER2+ metastatic breast cancer,Trastuzumab,PBAC,2021,Progression-free Survival,0.76,0.63,0.92,0.005,0.95,95600,45,Rejected,Moderate,5,Low,18000,128000,B,Moderate,Australia
HTA016,Selinexor,Karyopharm,Oncology,Relapsed/refractory multiple myeloma,Dexamethasone,NICE,2020,Overall Survival,0.74,0.61,0.89,0.002,1.42,68400,38,Conditional,Moderate,6,Moderate,6500,118000,C,Moderate,UK
HTA017,Ciltacabtagene autoleucel,Janssen,Oncology,Relapsed/refractory multiple myeloma,Standard therapy,EMA,2022,Progression-free Survival,0.26,0.18,0.38,0.001,3.85,125000,95,Conditional,High,10,High,4200,450000,B,Low,EU
HTA018,Idecabtagene vicleucel,BMS/bluebird bio,Oncology,Relapsed/refractory multiple myeloma,Standard therapy,FDA,2021,Overall Response Rate,0.42,0.31,0.57,0.001,2.95,138000,78,Approved,High,10,High,3800,425000,B,Low,USA
HTA019,Lisocabtagene maraleucel,Bristol Myers Squibb,Oncology,Relapsed/refractory large B-cell lymphoma,Standard therapy,CADTH,2021,Event-free Survival,0.47,0.35,0.62,0.001,2.42,115000,62,Conditional,High,9,High,2500,385000,B,Low,Canada
HTA020,Brexucabtagene autoleucel,Gilead,Oncology,Relapsed/refractory mantle cell lymphoma,Standard therapy,PBAC,2021,Progression-free Survival,0.53,0.39,0.71,0.001,2.18,128000,28,Conditional,High,9,Very high,1200,395000,C,Low,Australia
HTA021,Ozanimod,Celgene,Neurology,Relapsing multiple sclerosis,Interferon beta-1a,NICE,2021,Annualized Relapse Rate,0.62,0.51,0.75,0.001,1.85,32500,125,Approved,High,7,Moderate,45000,52000,A,High,UK
HTA022,Ofatumumab,Novartis,Neurology,Relapsing multiple sclerosis,Teriflunomide,EMA,2020,Annualized Relapse Rate,0.51,0.41,0.63,0.001,2.12,28900,145,Approved,High,8,Moderate,48000,48500,A,High,EU
HTA023,Siponimod,Novartis,Neurology,Secondary progressive MS,Placebo,FDA,2019,Disability Progression,0.79,0.65,0.95,0.013,1.42,58600,95,Approved,High,8,High,22000,68000,A,High,USA
HTA024,Cladribine,Merck,Neurology,Highly active relapsing MS,Fingolimod,CADTH,2020,Annualized Relapse Rate,0.46,0.35,0.61,0.001,2.24,34500,88,Approved,High,8,High,18000,45000,B,High,Canada
HTA025,Ublituximab,TG Therapeutics,Neurology,Relapsing multiple sclerosis,Teriflunomide,PBAC,2022,Annualized Relapse Rate,0.58,0.46,0.73,0.001,1.85,38900,72,Conditional,Moderate,7,Moderate,25000,52000,B,Moderate,Australia
HTA026,Satralizumab,Roche,Neurology,Neuromyelitis optica spectrum disorder,Placebo,NICE,2021,Relapse Risk,0.38,0.26,0.54,0.001,2.85,72500,18,Approved,High,9,Very high,2500,98000,A,High,UK
HTA027,Inebilizumab,Horizon,Neurology,Neuromyelitis optica spectrum disorder,Placebo,EMA,2021,Relapse Risk,0.27,0.17,0.44,0.001,3.12,68900,22,Approved,High,9,Very high,2800,105000,A,High,EU
HTA028,Eculizumab,Alexion,Neurology,Neuromyelitis optica spectrum disorder,Standard therapy,FDA,2020,Relapse Risk,0.06,0.02,0.18,0.001,3.65,142000,28,Approved,High,9,Very high,3200,485000,A,Moderate,USA
HTA029,Ravulizumab,Alexion,Neurology,Neuromyelitis optica spectrum disorder,Eculizumab,CADTH,2021,Relapse Risk,0.08,0.03,0.22,0.001,3.25,135000,24,Conditional,High,8,Very high,2500,458000,A,Moderate,Canada
HTA030,Fremanezumab,Teva,Neurology,Chronic migraine prevention,Topiramate,PBAC,2020,Monthly Migraine Days Reduction,0.64,0.52,0.78,0.001,0.85,58500,95,Conditional,Moderate,6,Moderate,85000,6800,B,High,Australia
HTA031,Galcanezumab,Lilly,Neurology,Episodic migraine prevention,Placebo,NICE,2020,Monthly Migraine Days Reduction,0.58,0.46,0.73,0.001,0.92,52300,125,Approved,High,6,Moderate,120000,7200,A,High,UK
HTA032,Erenumab,Novartis,Neurology,Chronic migraine prevention,Topiramate,EMA,2019,Monthly Migraine Days Reduction,0.62,0.50,0.76,0.001,0.88,54800,145,Approved,High,7,Moderate,95000,6950,A,High,EU
HTA033,Eptinezumab,Lundbeck,Neurology,Chronic migraine prevention,Placebo,FDA,2020,Monthly Migraine Days Reduction,0.61,0.49,0.75,0.001,0.90,56200,105,Approved,Moderate,6,Moderate,75000,9800,B,Moderate,USA
HTA034,Rimegepant,Biohaven,Neurology,Migraine prevention,Placebo,CADTH,2021,Monthly Migraine Days Reduction,0.75,0.62,0.91,0.003,0.65,72500,88,Conditional,Moderate,6,Moderate,85000,8500,B,High,Canada
HTA035,Ubrogepant,Allergan,Neurology,Acute migraine treatment,Sumatriptan,PBAC,2021,Pain Freedom at 2h,1.42,1.15,1.76,0.001,0.12,85000,65,Conditional,Moderate,5,Low,150000,450,B,High,Australia
HTA036,Abrocitinib,Pfizer,Dermatology,Moderate-to-severe atopic dermatitis,Dupilumab,NICE,2022,EASI-75 Response,1.24,1.08,1.43,0.003,0.92,48500,125,Approved,High,7,Moderate,185000,12500,B,High,UK
HTA037,Tralokinumab,LEO Pharma,Dermatology,Moderate-to-severe atopic dermatitis,Placebo,EMA,2021,IGA Response,2.18,1.72,2.76,0.001,0.85,52300,95,Approved,High,7,Moderate,165000,11800,A,High,EU
HTA038,Baricitinib,Lilly,Dermatology,Severe atopic dermatitis,Cyclosporine,FDA,2022,EASI-75 Response,1.35,1.12,1.63,0.002,0.88,54200,112,Approved,High,7,Moderate,142000,13200,B,High,USA
HTA039,Upadacitinib,AbbVie,Dermatology,Moderate-to-severe atopic dermatitis,Dupilumab,CADTH,2021,EASI-90 Response,1.42,1.18,1.71,0.001,0.95,49800,128,Approved,High,8,Moderate,158000,12800,B,High,Canada
HTA040,Dupilumab,Sanofi/Regeneron,Dermatology,Moderate-to-severe atopic dermatitis,Ciclosporin,PBAC,2019,EASI-75 Response,1.85,1.52,2.25,0.001,1.12,38500,145,Approved,High,8,High,175000,14500,A,High,Australia
HTA041,Guselkumab,Janssen,Dermatology,Moderate-to-severe plaque psoriasis,Adalimumab,NICE,2020,PASI-90 Response,1.52,1.28,1.81,0.001,0.95,42500,165,Approved,High,8,Moderate,225000,18500,A,High,UK
HTA042,Risankizumab,AbbVie,Dermatology,Moderate-to-severe plaque psoriasis,Ustekinumab,EMA,2020,PASI-90 Response,1.68,1.42,1.99,0.001,1.02,39800,185,Approved,High,8,Moderate,245000,19200,A,High,EU
HTA043,Tildrakizumab,Almirall,Dermatology,Moderate-to-severe plaque psoriasis,Etanercept,FDA,2019,PASI-75 Response,1.42,1.18,1.71,0.001,0.85,48500,128,Approved,High,7,Moderate,195000,16500,B,High,USA
HTA044,Bimekizumab,UCB,Dermatology,Moderate-to-severe plaque psoriasis,Adalimumab,CADTH,2022,PASI-100 Response,2.12,1.75,2.57,0.001,1.18,36500,145,Approved,High,9,Moderate,215000,17800,A,High,Canada
HTA045,Certolizumab pegol,UCB,Dermatology,Moderate-to-severe plaque psoriasis,Placebo,PBAC,2019,PASI-75 Response,4.25,3.15,5.73,0.001,0.92,45800,95,Approved,High,7,Moderate,185000,15200,B,High,Australia
HTA046,Tofacitinib,Pfizer,Rheumatology,Rheumatoid arthritis - 2nd line,Adalimumab,NICE,2019,ACR50 Response,0.95,0.78,1.16,0.624,0.42,52500,125,Conditional,Moderate,6,Low,285000,8500,C,High,UK
HTA047,Baricitinib,Lilly,Rheumatology,Rheumatoid arthritis - 2nd line,Adalimumab,EMA,2020,ACR50 Response,1.08,0.89,1.31,0.428,0.48,49800,145,Approved,Moderate,6,Moderate,312000,9200,B,High,EU
HTA048,Upadacitinib,AbbVie,Rheumatology,Rheumatoid arthritis - 2nd line,Adalimumab,FDA,2020,ACR50 Response,1.24,1.05,1.47,0.012,0.65,42300,168,Approved,High,7,Moderate,295000,10500,B,High,USA
HTA049,Filgotinib,Gilead,Rheumatology,Rheumatoid arthritis - 2nd line,Methotrexate,CADTH,2021,ACR20 Response,1.42,1.18,1.71,0.001,0.58,48900,135,Approved,High,7,Moderate,285000,9800,B,High,Canada
HTA050,Peficitinib,Astellas,Rheumatology,Rheumatoid arthritis - 2nd line,Placebo,PBAC,2020,ACR50 Response,2.85,2.12,3.83,0.001,0.72,52600,95,Conditional,Moderate,6,Moderate,275000,8900,C,Moderate,Australia
HTA051,Technology 51,AstraZeneca,Endocrinology,Indication 51,Best supportive care,AIFA,2022,Clinical response,0.61,0.5,0.72,0.033,1.04,34111,288,Approved,High,9,High,218431,39958,A,Low,France
HTA052,Technology 52,Merck,Rheumatology,Indication 52,Standard care,AIFA,2022,Disease control,0.69,0.57,0.81,0.041,2.99,26418,361,Approved,High,8,High,20394,211912,A,Moderate,Canada
HTA053,Technology 53,Merck,Rheumatology,Indication 53,Active comparator,FDA,2022,Overall survival,0.81,0.66,0.96,0.025,1.68,42089,422,Approved,Moderate,6,Low,318569,294444,A,Low,Australia
HTA054,Technology 54,Roche,Endocrinology,Indication 54,Active comparator,PBAC,2022,Overall survival,0.88,0.72,1.04,0.034,2.86,89665,757,Approved,Moderate,8,Low,439351,136686,A,High,Spain
HTA055,Technology 55,Sanofi,Hematology,Indication 55,Best supportive care,FDA,2024,Overall survival,0.66,0.54,0.78,0.045,0.87,67188,122,Conditional approval,High,8,High,236478,296079,B,High,UK
HTA056,Technology 56,GSK,Infectious disease,Indication 56,Active comparator,EMA,2020,Clinical response,0.65,0.53,0.77,0.046,2.04,76376,167,Conditional approval,Moderate,7,Low,218382,61266,C,Low,Canada
HTA057,Technology 57,Sanofi,Dermatology,Indication 57,Best supportive care,EMA,2021,Progression-free survival,0.73,0.6,0.86,0.001,0.32,51264,613,Conditional approval,Low,5,High,193072,212994,C,High,Australia
HTA058,Technology 58,Sanofi,Cardiology,Indication 58,Standard care,FDA,2024,Clinical response,0.58,0.48,0.68,0.044,3.04,15297,285,Approved,Moderate,7,Moderate,119452,183270,A,Low,Australia
HTA059,Technology 59,Bayer,Oncology,Indication 59,Active comparator,PBAC,2019,Overall survival,0.86,0.71,1.01,0.032,2.98,81338,599,Approved,Moderate,8,High,65899,107958,B,Low,UK
HTA060,Technology 60,Novartis,Pulmonology,Indication 60,Active comparator,G-BA,2022,Overall survival,0.68,0.56,0.8,0.04,1.47,122404,221,Approved,Moderate,5,Low,469173,140135,B,High,UK
HTA061,Technology 61,AbbVie,Dermatology,Indication 61,Active comparator,NICE,2023,Overall survival,0.7,0.57,0.83,0.045,3.11,142587,422,Approved,High,5,High,296817,132336,B,High,USA
HTA062,Technology 62,Bayer,Endocrinology,Indication 62,Active comparator,G-BA,2020,Overall survival,0.87,0.71,1.03,0.028,1.66,125439,726,Approved,High,5,Low,160023,243083,A,Low,Canada
HTA063,Technology 63,Novartis,Rheumatology,Indication 63,Best supportive care,NICE,2020,Disease control,0.77,0.63,0.91,0.037,0.76,20807,761,Conditional approval,Low,8,Moderate,205678,27364,C,High,Canada
HTA064,Technology 64,Gilead,Endocrinology,Indication 64,Active comparator,EMA,2019,Clinical response,0.65,0.53,0.77,0.024,2.59,141259,275,Approved,Moderate,7,Low,312277,241943,C,High,Canada
HTA065,Technology 65,Pfizer,Dermatology,Indication 65,Standard care,G-BA,2024,Disease control,0.75,0.61,0.89,0.043,0.4,38127,111,Rejected,Moderate,8,Low,329688,35537,C,Moderate,USA
HTA066,Technology 66,Sanofi,Pulmonology,Indication 66,Best supportive care,NICE,2021,Clinical response,0.8,0.66,0.94,0.032,2.4,86258,198,Rejected,High,7,Moderate,222044,107205,B,High,USA
HTA067,Technology 67,Gilead,Pulmonology,Indication 67,Active comparator,EMA,2022,Overall survival,0.79,0.65,0.93,0.017,1.08,53607,671,Approved,Low,6,Low,116903,179183,A,Low,UK
HTA068,Technology 68,Gilead,Hematology,Indication 68,Active comparator,G-BA,2019,Overall survival,0.92,0.75,1.09,0.05,1.36,56453,351,Rejected,Moderate,8,High,480219,86084,B,High,USA
HTA069,Technology 69,Lilly,Gastroenterology,Indication 69,Best supportive care,NICE,2023,Disease control,0.67,0.55,0.79,0.032,2.1,58371,614,Approved,High,8,Moderate,496007,171855,B,Moderate,France
HTA070,Technology 70,Bayer,Gastroenterology,Indication 70,Best supportive care,CADTH,2021,Progression-free survival,0.81,0.66,0.96,0.01,2.24,148877,42,Approved,High,6,Moderate,352306,241803,B,High,Australia
HTA071,Technology 71,Lilly,Infectious disease,Indication 71,Active comparator,PBAC,2022,Progression-free survival,0.85,0.7,1.0,0.011,2.35,96316,564,Conditional approval,High,8,Moderate,51807,138973,B,High,Australia
HTA072,Technology 72,AstraZeneca,Neurology,Indication 72,Best supportive care,FDA,2021,Overall survival,0.65,0.53,0.77,0.006,1.13,43199,559,Approved,High,10,Moderate,453224,138789,A,High,Spain
HTA073,Technology 73,Bayer,Gastroenterology,Indication 73,Standard care,CADTH,2023,Disease control,0.69,0.57,0.81,0.013,2.83,71169,574,Approved,High,10,Moderate,384090,83410,B,Low,Germany
HTA074,Technology 74,J&J,Oncology,Indication 74,Standard care,AIFA,2024,Progression-free survival,0.88,0.72,1.04,0.035,0.46,77911,357,Approved,Low,10,High,252720,140926,A,High,USA
HTA075,Technology 75,Merck,Hematology,Indication 75,Best supportive care,G-BA,2023,Overall survival,0.87,0.71,1.03,0.024,0.56,90304,774,Rejected,Moderate,7,Moderate,387727,49513,B,Low,USA
HTA076,Technology 76,Gilead,Dermatology,Indication 76,Best supportive care,FDA,2019,Clinical response,0.87,0.71,1.03,0.025,1.84,147972,632,Approved,Moderate,6,High,146165,256908,C,Moderate,France
HTA077,Technology 77,Pfizer,Cardiology,Indication 77,Active comparator,FDA,2023,Overall survival,0.61,0.5,0.72,0.026,3.04,57469,359,Approved,Low,5,Low,339863,136559,C,High,UK
HTA078,Technology 78,Sanofi,Pulmonology,Indication 78,Active comparator,HAS,2019,Progression-free survival,0.56,0.46,0.66,0.007,0.34,135162,299,Approved,Low,5,Low,57307,80569,A,High,USA
HTA079,Technology 79,Roche,Dermatology,Indication 79,Active comparator,G-BA,2018,Progression-free survival,0.56,0.46,0.66,0.027,3.22,95502,162,Approved,Low,6,Low,318223,80424,A,Moderate,Germany
HTA080,Technology 80,J&J,Dermatology,Indication 80,Best supportive care,FDA,2020,Progression-free survival,0.81,0.66,0.96,0.047,0.38,16384,674,Approved,Low,6,Low,280076,140518,B,High,France
HTA081,Technology 81,Roche,Gastroenterology,Indication 81,Standard care,CADTH,2018,Overall survival,0.81,0.66,0.96,0.018,2.17,44680,207,Conditional approval,High,7,Low,293980,280218,C,High,Spain
HTA082,Technology 82,Lilly,Oncology,Indication 82,Active comparator,NICE,2020,Progression-free survival,0.55,0.45,0.65,0.002,0.47,32151,524,Conditional approval,Moderate,5,High,336230,260842,A,Moderate,USA
HTA083,Technology 83,Bayer,Infectious disease,Indication 83,Best supportive care,G-BA,2019,Progression-free survival,0.67,0.55,0.79,0.012,2.61,106621,741,Conditional approval,High,7,High,209689,194960,A,Low,Canada
HTA084,Technology 84,Takeda,Oncology,Indication 84,Best supportive care,AIFA,2022,Overall survival,0.69,0.57,0.81,0.021,1.91,57870,384,Conditional approval,High,7,High,325821,49069,A,Moderate,USA
HTA085,Technology 85,Lilly,Endocrinology,Indication 85,Active comparator,FDA,2019,Clinical response,0.58,0.48,0.68,0.001,1.33,47403,262,Conditional approval,High,8,High,267007,133679,B,Low,UK
HTA086,Technology 86,Novartis,Dermatology,Indication 86,Standard care,AIFA,2018,Clinical response,0.58,0.48,0.68,0.045,1.95,115805,317,Conditional approval,Moderate,10,Low,117575,127004,A,Moderate,USA
HTA087,Technology 87,Pfizer,Gastroenterology,Indication 87,Active comparator,G-BA,2022,Disease control,0.76,0.62,0.9,0.011,2.53,58011,385,Approved,High,7,High,344406,28648,C,Moderate,Spain
HTA088,Technology 88,Amgen,Dermatology,Indication 88,Active comparator,EMA,2019,Progression-free survival,0.92,0.75,1.09,0.044,1.88,89838,722,Rejected,Moderate,5,Moderate,188375,101715,A,Moderate,Spain
HTA089,Technology 89,Amgen,Gastroenterology,Indication 89,Active comparator,EMA,2019,Overall survival,0.65,0.53,0.77,0.038,0.34,22347,165,Approved,High,5,Low,240136,253911,A,Low,Canada
HTA090,Technology 90,J&J,Neurology,Indication 90,Standard care,HAS,2021,Disease control,0.63,0.52,0.74,0.01,1.79,22272,186,Rejected,High,8,Moderate,456814,199999,B,Moderate,Spain
HTA091,Technology 91,Roche,Neurology,Indication 91,Active comparator,FDA,2020,Disease control,0.76,0.62,0.9,0.004,2.38,106026,512,Conditional approval,Moderate,8,Low,100252,23923,A,High,USA
HTA092,Technology 92,Takeda,Endocrinology,Indication 92,Best supportive care,CADTH,2021,Overall survival,0.75,0.61,0.89,0.049,1.67,116540,32,Conditional approval,High,10,High,405113,266585,A,High,Spain
HTA093,Technology 93,Gilead,Rheumatology,Indication 93,Standard care,HAS,2022,Disease control,0.9,0.74,1.06,0.049,2.11,64966,796,Approved,Low,5,Low,458697,265419,C,Low,UK
HTA094,Technology 94,Merck,Oncology,Indication 94,Standard care,G-BA,2019,Disease control,0.64,0.52,0.76,0.042,0.39,28959,774,Approved,Moderate,6,Low,61839,275835,B,High,Germany
HTA095,Technology 95,BMS,Cardiology,Indication 95,Standard care,NICE,2024,Clinical response,0.83,0.68,0.98,0.007,0.66,122089,266,Rejected,Moderate,10,Low,84882,80707,B,Low,Spain
HTA096,Technology 96,AbbVie,Pulmonology,Indication 96,Active comparator,NICE,2019,Disease control,0.78,0.64,0.92,0.044,1.65,77630,435,Rejected,High,9,Moderate,18535,32764,A,Low,France
HTA097,Technology 97,J&J,Endocrinology,Indication 97,Best supportive care,HAS,2021,Disease control,0.67,0.55,0.79,0.02,0.96,87273,638,Rejected,High,7,Moderate,196856,223273,A,High,USA
HTA098,Technology 98,Roche,Pulmonology,Indication 98,Standard care,PBAC,2023,Overall survival,0.83,0.68,0.98,0.008,3.36,107680,392,Conditional approval,High,7,Moderate,228289,215604,B,Low,Germany
HTA099,Technology 99,Novartis,Hematology,Indication 99,Standard care,PBAC,2024,Progression-free survival,0.82,0.67,0.97,0.003,1.24,138078,92,Approved,High,7,High,221600,143339,A,Moderate,Spain
HTA100,Technology 100,Gilead,Infectious disease,Indication 100,Standard care,NICE,2020,Clinical response,0.77,0.63,0.91,0.012,1.52,53866,507,Conditional approval,High,8,Low,90297,103364,B,Moderate,Spain
HTA101,Technology 101,GSK,Infectious disease,Indication 101,Active comparator,HAS,2022,Progression-free survival,0.86,0.71,1.01,0.038,1.46,35806,57,Approved,High,7,Moderate,74199,20428,A,Moderate,Germany
HTA102,Technology 102,Novartis,Pulmonology,Indication 102,Best supportive care,G-BA,2019,Disease control,0.73,0.6,0.86,0.021,3.02,125302,585,Rejected,High,6,Low,301183,114564,A,Low,Australia
HTA103,Technology 103,Pfizer,Cardiology,Indication 103,Active comparator,HAS,2024,Disease control,0.9,0.74,1.06,0.049,0.75,64997,118,Approved,High,10,Low,484885,130897,A,High,France
HTA104,Technology 104,GSK,Dermatology,Indication 104,Active comparator,EMA,2024,Overall survival,0.87,0.71,1.03,0.046,2.93,38930,604,Approved,High,8,Moderate,290817,39241,A,Moderate,USA
HTA105,Technology 105,Lilly,Rheumatology,Indication 105,Active comparator,FDA,2019,Overall survival,0.76,0.62,0.9,0.015,0.42,17166,68,Approved,High,7,Moderate,302655,23437,B,Moderate,Canada
HTA106,Technology 106,Pfizer,Dermatology,Indication 106,Active comparator,PBAC,2021,Disease control,0.62,0.51,0.73,0.035,2.83,52250,474,Rejected,Moderate,6,Low,184123,74363,C,Low,Australia
HTA107,Technology 107,Bayer,Gastroenterology,Indication 107,Active comparator,FDA,2019,Progression-free survival,0.92,0.75,1.09,0.002,2.32,24518,113,Conditional approval,Moderate,6,Low,493726,28140,B,High,Spain
HTA108,Technology 108,Roche,Hematology,Indication 108,Best supportive care,FDA,2020,Progression-free survival,0.55,0.45,0.65,0.006,0.98,34490,215,Rejected,High,9,Low,338722,251463,A,High,Australia
HTA109,Technology 109,Bayer,Rheumatology,Indication 109,Standard care,AIFA,2021,Progression-free survival,0.79,0.65,0.93,0.005,1.83,17066,535,Rejected,Moderate,8,Low,89646,265316,C,Low,Australia
HTA110,Technology 110,Pfizer,Gastroenterology,Indication 110,Best supportive care,NICE,2024,Overall survival,0.62,0.51,0.73,0.029,1.35,16471,323,Conditional approval,Moderate,5,Low,57226,30427,B,Moderate,Australia
HTA111,Technology 111,GSK,Oncology,Indication 111,Active comparator,EMA,2024,Overall survival,0.8,0.66,0.94,0.022,0.34,143845,201,Approved,High,8,High,16254,122094,B,High,Canada
HTA112,Technology 112,Gilead,Neurology,Indication 112,Best supportive care,PBAC,2019,Overall survival,0.64,0.52,0.76,0.036,1.58,118540,752,Approved,Moderate,7,High,314667,31866,B,Moderate,Canada
HTA113,Technology 113,Pfizer,Neurology,Indication 113,Best supportive care,FDA,2018,Clinical response,0.64,0.52,0.76,0.031,2.42,96033,551,Approved,Moderate,9,High,378255,85272,B,Low,Spain
HTA114,Technology 114,Amgen,Infectious disease,Indication 114,Best supportive care,EMA,2019,Progression-free survival,0.74,0.61,0.87,0.035,3.06,28690,653,Rejected,Low,7,High,328377,49524,C,Moderate,France
HTA115,Technology 115,J&J,Hematology,Indication 115,Active comparator,NICE,2023,Clinical response,0.78,0.64,0.92,0.046,3.45,92287,505,Approved,Moderate,7,Moderate,75679,106741,B,Moderate,UK
HTA116,Technology 116,Merck,Pulmonology,Indication 116,Active comparator,PBAC,2022,Disease control,0.69,0.57,0.81,0.028,1.41,48731,114,Approved,Moderate,10,Moderate,382175,133813,B,Moderate,USA
HTA117,Technology 117,J&J,Dermatology,Indication 117,Best supportive care,NICE,2019,Clinical response,0.81,0.66,0.96,0.046,1.69,26120,298,Approved,Moderate,9,Moderate,404774,244684,A,Low,USA
HTA118,Technology 118,AbbVie,Rheumatology,Indication 118,Active comparator,CADTH,2020,Progression-free survival,0.79,0.65,0.93,0.007,0.4,125736,409,Approved,Low,5,Low,14657,179434,C,Low,Canada
HTA119,Technology 119,Pfizer,Gastroenterology,Indication 119,Best supportive care,EMA,2020,Progression-free survival,0.75,0.61,0.89,0.025,3.39,132480,173,Rejected,Moderate,8,Moderate,239191,254526,A,High,France
HTA120,Technology 120,Merck,Neurology,Indication 120,Best supportive care,AIFA,2018,Overall survival,0.74,0.61,0.87,0.036,0.68,56009,462,Rejected,High,9,Low,54921,237613,B,Low,Canada
HTA121,Technology 121,Lilly,Hematology,Indication 121,Active comparator,EMA,2018,Progression-free survival,0.71,0.58,0.84,0.018,2.13,27991,92,Conditional approval,High,5,High,255815,281811,A,Low,Canada
HTA122,Technology 122,AstraZeneca,Dermatology,Indication 122,Best supportive care,HAS,2023,Clinical response,0.82,0.67,0.97,0.042,1.76,92209,606,Approved,Low,6,Low,104992,275125,A,High,Canada
HTA123,Technology 123,Roche,Dermatology,Indication 123,Active comparator,EMA,2022,Progression-free survival,0.7,0.57,0.83,0.031,3.2,109191,339,Approved,High,8,Low,93108,51236,C,Moderate,Canada
HTA124,Technology 124,Sanofi,Endocrinology,Indication 124,Active comparator,PBAC,2024,Disease control,0.87,0.71,1.03,0.033,1.59,74277,374,Conditional approval,High,5,Moderate,216553,254767,B,Low,Spain
HTA125,Technology 125,Gilead,Pulmonology,Indication 125,Best supportive care,G-BA,2019,Overall survival,0.6,0.49,0.71,0.038,3.06,103373,644,Rejected,High,7,High,177902,216786,B,High,UK
HTA126,Technology 126,AstraZeneca,Oncology,Indication 126,Active comparator,AIFA,2022,Clinical response,0.83,0.68,0.98,0.023,2.57,114240,291,Conditional approval,High,6,Low,76699,160867,C,High,Australia
HTA127,Technology 127,Lilly,Endocrinology,Indication 127,Best supportive care,HAS,2018,Progression-free survival,0.72,0.59,0.85,0.04,2.72,142227,390,Conditional approval,Moderate,7,High,450868,220813,A,Moderate,Canada
