cea_id,author,year,journal,pmid,intervention,comparator,disease_indication,country,currency,perspective,time_horizon_years,discount_rate_costs,discount_rate_effects,cost_intervention,cost_comparator,incremental_cost,qaly_intervention,qaly_comparator,incremental_qaly,icer_per_qaly,wtp_threshold,cost_effective,probability_cost_effective,sensitivity_analysis_robust,budget_impact_year1_millions,budget_impact_year5_millions,therapeutic_area,model_type,data_source
CEA011,Evans_G,2019,Neurology,31123456,Siponimod,Placebo,Secondary progressive MS,Switzerland,CHF,Societal,20,0.03,0.03,895000,285000,610000,12.85,10.72,2.13,286385,100000,No,0.22,No,95,445,Neurology,Markov,RCT
CEA012,Foster_H,2022,JNNP,34234567,Eculizumab,Standard care,NMOSD,USA,USD,Healthcare system,15,0.03,0.03,1850000,125000,1725000,10.42,6.85,3.57,483193,150000,No,0.18,No,28,135,Neurology,Decision tree,Trial + registry
CEA013,Harris_J,2020,Cephalalgia,32345678,Erenumab,Topiramate,Chronic migraine,France,EUR,Healthcare system,10,0.035,0.035,68000,12000,56000,8.92,8.05,0.87,64368,50000,No,0.35,Uncertain,125,585,Neurology,Markov,RCT
CEA014,Kim_M,2021,Diabetes Care,33456789,Semaglutide 2.4mg,Liraglutide 3mg,Obesity + T2DM,South Korea,KRW,Payer,10,0.045,0.045,12500000,9800000,2700000,8.45,7.92,0.53,5094340,18000000,Yes,0.72,Yes,185,825,Endocrinology,Markov,Clinical trial
CEA015,Lee_N,2019,Lancet Diabetes,31567890,Dulaglutide 4.5mg,Insulin glargine,Type 2 diabetes,Japan,JPY,Healthcare system,20,0.02,0.02,8500000,5200000,3300000,14.85,13.42,1.43,2307692,5000000,Yes,0.84,Yes,245,1120,Endocrinology,Markov,RCT + observational
CEA016,Patel_O,2022,JAMA Cardiol,34678901,Inclisiran,Evolocumab,High cardiovascular risk,USA,USD,Payer,15,0.03,0.03,32500,48000,-15500,12.85,12.42,0.43,Dominant,150000,Yes,0.96,Yes,685,3250,Cardiology,Markov,Trial + meta-analysis
CEA017,Quinn_P,2020,Circulation,32789012,Empagliflozin,Standard care,Heart failure with reduced EF,Germany,EUR,Healthcare system,20,0.03,0.03,28500,18500,10000,13.85,11.92,1.93,5181,50000,Yes,0.92,Yes,425,1950,Cardiology,Markov,RCT
CEA018,Roberts_Q,2021,NEJM,33890123,Dapagliflozin,Placebo,Heart failure with preserved EF,UK,GBP,NHS,15,0.035,0.035,24500,8500,16000,11.42,9.85,1.57,10191,30000,Yes,0.88,Yes,385,1785,Cardiology,Markov,Clinical trial
CEA019,Singh_R,2019,Eur Heart J,31901234,Sacubitril/Valsartan,Enalapril,Heart failure with reduced EF,India,INR,Healthcare system,15,0.05,0.05,485000,125000,360000,10.85,8.42,2.43,148148,360000,Yes,0.78,Yes,295,1385,Cardiology,Markov,RCT + registry
CEA020,Taylor_S,2022,J Am Coll Cardiol,34012345,Apixaban,Warfarin,Atrial fibrillation,Canada,CAD,Payer,10,0.015,0.015,18500,8500,10000,8.85,7.92,0.93,10753,50000,Yes,0.84,Yes,425,1950,Cardiology,Markov,Observational
CEA021,Upton_T,2020,Chest,32123457,Rivaroxaban,LMWH,VTE treatment,Brazil,BRL,Healthcare system,6,0.05,0.05,12500,9800,2700,5.42,5.18,0.24,11250,30000,Yes,0.76,Yes,185,425,Hematology,Decision tree,RCT
CEA022,Vincent_U,2021,Blood,33234568,Eltrombopag,Standard care,Immune thrombocytopenia,USA,USD,Healthcare system,10,0.03,0.03,145000,28500,116500,8.85,7.42,1.43,81469,150000,Yes,0.72,Yes,125,585,Hematology,Markov,Clinical trial
CEA023,Wang_V,2019,Hepatology,31345679,Sofosbuvir/Velpatasvir,Sofosbuvir/Ledipasvir,Hepatitis C,China,CNY,Societal,30,0.05,0.05,425000,385000,40000,21.85,21.42,0.43,93023,108000,Yes,0.82,Yes,685,2950,Infectious disease,Markov,Trial + registry
CEA024,Xavier_W,2022,HIV Med,34456790,Bictegravir/TAF/FTC,Dolutegravir/ABC/3TC,HIV-1,South Africa,ZAR,Healthcare system,25,0.05,0.05,285000,245000,40000,18.85,18.42,0.43,93023,150000,Yes,0.88,Yes,425,1950,Infectious disease,Markov,Clinical trial
CEA025,Young_X,2020,BMJ Open,32567891,Sacubitril/Valsartan,Enalapril,Heart failure - cost minimization,Netherlands,EUR,Healthcare system,10,0.04,0.04,32500,14500,18000,9.12,9.12,0.00,NA,50000,Uncertain,0.50,NA,285,1350,Cardiology,Cost-minimization,Observational
CEA026,Zhang_Y,2021,JAMA Intern Med,33678902,Dupilumab,Cyclosporine,Severe atopic dermatitis,Sweden,SEK,Healthcare system,15,0.03,0.03,425000,185000,240000,12.85,11.42,1.43,167832,500000,Yes,0.78,Yes,145,685,Dermatology,Markov,RCT
CEA027,Adams_C,2019,Ann Rheum Dis,31789013,Tofacitinib,Adalimumab,Rheumatoid arthritis,Spain,EUR,Healthcare system,20,0.03,0.03,165000,195000,-30000,14.85,14.42,0.43,Dominant,30000,Yes,0.94,Yes,128,595,Rheumatology,Markov,Meta-analysis
CEA028,Baker_D,2022,Osteoporos Int,34890124,Romosozumab,Alendronate,Osteoporosis - high fracture risk,USA,USD,Payer,10,0.03,0.03,12500,2850,9650,8.42,7.85,0.57,16930,150000,Yes,0.86,Yes,285,1285,Endocrinology,Markov,RCT + registry
CEA029,Chen_E,2020,Endocrinology,32901235,Abaloparatide,Teriparatide,Postmenopausal osteoporosis,Canada,CAD,Healthcare system,10,0.015,0.015,9850,11500,-1650,8.12,7.85,0.27,Dominant,50000,Yes,0.92,Yes,185,850,Endocrinology,Markov,Clinical trial
CEA030,Davis_F,2021,Respir Med,33012346,Triple therapy ICS/LABA/LAMA,ICS/LABA,COPD,UK,GBP,NHS,10,0.035,0.035,8500,6500,2000,7.85,7.42,0.43,4651,30000,Yes,0.90,Yes,425,1950,Pulmonology,Markov,RCT
CEA031,Evans_H,2019,Thorax,31123457,Mepolizumab,Standard care,Severe eosinophilic asthma,France,EUR,Healthcare system,15,0.035,0.035,125000,42000,83000,12.85,10.42,2.43,34156,50000,Yes,0.84,Yes,145,685,Pulmonology,Markov,Clinical trial
CEA032,Foster_I,2022,J Allergy Clin Immunol,34234568,Dupilumab,Standard care,Severe asthma with type 2 inflammation,Australia,AUD,Healthcare system,20,0.05,0.05,285000,85000,200000,16.85,13.42,3.43,58309,75000,Yes,0.80,Yes,185,850,Pulmonology,Markov,RCT
CEA033,Garcia_J,2020,Gastroenterology,32345679,Vedolizumab,Infliximab,Ulcerative colitis,Germany,EUR,Healthcare system,15,0.03,0.03,142000,118000,24000,12.42,11.85,0.57,42105,50000,Yes,0.76,Yes,285,1350,Gastroenterology,Markov,RCT + observational
CEA034,Harris_K,2021,Inflamm Bowel Dis,33456780,Ustekinumab,Adalimumab,Crohn disease,Italy,EUR,Healthcare system,20,0.03,0.03,165000,142000,23000,14.85,13.92,0.93,24731,50000,Yes,0.82,Yes,245,1150,Gastroenterology,Markov,Clinical trial
CEA035,Ibrahim_L,2019,Lancet Gastro,31567891,Ozanimod,Placebo,Ulcerative colitis,USA,USD,Payer,10,0.03,0.03,95000,28500,66500,9.42,8.12,1.30,51154,150000,Yes,0.74,Yes,185,850,Gastroenterology,Markov,RCT
CEA036,Johnson_M,2022,Kidney Int,34678902,Dapagliflozin,Standard care,Chronic kidney disease,Japan,JPY,Healthcare system,15,0.02,0.02,2850000,1250000,1600000,11.85,9.42,2.43,658436,5000000,Yes,0.86,Yes,485,2250,Nephrology,Markov,Clinical trial
CEA037,Kim_N,2020,JASN,32789013,Finerenone,Placebo,CKD with type 2 diabetes,South Korea,KRW,Healthcare system,20,0.045,0.045,8500000,2850000,5650000,13.85,11.42,2.43,2325103,18000000,Yes,0.78,Yes,385,1785,Nephrology,Markov,RCT
CEA038,Lee_O,2021,Ophthalmology,33890124,Faricimab,Aflibercept,Neovascular AMD,USA,USD,Payer,10,0.03,0.03,58500,52000,6500,7.42,6.85,0.57,11404,150000,Yes,0.88,Yes,685,3150,Ophthalmology,Markov,Clinical trial
CEA039,Martinez_P,2019,JAMA Ophthalmol,31901235,Brolucizumab,Ranibizumab,Neovascular AMD,Switzerland,CHF,Healthcare system,15,0.03,0.03,48500,62000,-13500,10.42,9.85,0.57,Dominant,100000,Yes,0.94,Yes,425,1950,Ophthalmology,Markov,RCT
CEA040,Nelson_Q,2022,Retina,34012346,Dexamethasone implant,Laser,Diabetic macular edema,UK,GBP,NHS,5,0.035,0.035,8500,2850,5650,4.42,3.85,0.57,9912,30000,Yes,0.84,Yes,185,425,Ophthalmology,Decision tree,Clinical trial
CEA041,Olson_R,2020,Urology,32123458,Apalutamide,Standard care,Non-metastatic CRPC,Canada,CAD,Payer,15,0.015,0.015,185000,42000,143000,10.85,7.42,3.43,41691,50000,Yes,0.80,Yes,285,1350,Urology,Partitioned survival,RCT
CEA042,Patel_S,2021,BJU Int,33234569,Darolutamide,Placebo,Non-metastatic CRPC,Germany,EUR,Healthcare system,12,0.03,0.03,142000,28500,113500,9.42,6.85,2.57,44163,50000,Yes,0.76,Yes,245,1150,Urology,Partitioned survival,Clinical trial
CEA043,Quinn_T,2019,Prostate Cancer,31345680,Enzalutamide,Abiraterone,Metastatic CRPC,USA,USD,Healthcare system,10,0.03,0.03,165000,148000,17000,6.85,6.12,0.73,23288,150000,Yes,0.82,Yes,385,1785,Urology,Partitioned survival,Observational
CEA044,Roberts_U,2022,JCO,34456791,Olaparib,Standard care,mCRPC with HRR mutations,Australia,AUD,Healthcare system,8,0.05,0.05,285000,95000,190000,6.42,4.85,1.57,121019,75000,No,0.38,Uncertain,125,585,Urology,Partitioned survival,RCT
CEA045,Singh_V,2020,Lancet Oncol,32567892,Rucaparib,Placebo,Ovarian cancer maintenance,India,INR,Healthcare system,10,0.05,0.05,1850000,285000,1565000,7.85,5.42,2.43,644033,360000,No,0.28,No,95,445,Gynecology,Partitioned survival,Clinical trial
CEA046,Taylor_W,2021,Gynecol Oncol,33678903,Niraparib,Placebo,Ovarian cancer maintenance,France,EUR,Healthcare system,12,0.035,0.035,125000,28500,96500,8.42,5.85,2.57,37549,50000,Yes,0.78,Yes,145,685,Gynecology,Partitioned survival,RCT
CEA047,Upton_X,2019,Ann Oncol,31789014,Bevacizumab maintenance,Observation,Ovarian cancer,Spain,EUR,Healthcare system,10,0.03,0.03,95000,8500,86500,6.85,5.42,1.43,60490,30000,No,0.32,No,185,850,Gynecology,Partitioned survival,RCT + registry
CEA048,Vincent_Y,2022,Blood,34890125,Venetoclax + azacitidine,Azacitidine,AML - unfit for chemo,USA,USD,Payer,5,0.03,0.03,285000,95000,190000,3.85,1.85,2.00,95000,150000,Yes,0.72,Yes,95,425,Hematology,Partitioned survival,Clinical trial
CEA049,Wang_Z,2020,Leukemia,32901236,Midostaurin,Standard chemo,AML with FLT3 mutation,Netherlands,EUR,Healthcare system,15,0.04,0.04,185000,95000,90000,8.42,5.85,2.57,35019,50000,Yes,0.84,Yes,85,395,Hematology,Markov,RCT
CEA050,Xavier_A,2021,Haematologica,33012347,Ivosidenib,Best supportive care,AML with IDH1 mutation,Belgium,EUR,Healthcare system,8,0.03,0.03,245000,42000,203000,4.42,2.12,2.30,88261,50000,No,0.36,Uncertain,48,225,Hematology,Partitioned survival,Clinical trial
CEA051,Author 51,2023,,,Intervention 51,Best supportive care,Advanced cancer,Australia,AUD,Societal,5,0.045,0.039,207650,25930,181720,3.7,6.24,-2.54,999999,150000,No,0.24,Yes,351,1690,Rheumatology,Partitioned survival,Clinical trial
CEA052,Author 52,2023,,,Intervention 52,Best supportive care,Advanced cancer,USA,AUD,Societal,5,0.049,0.036,196157,24712,171445,4.11,4.4,-0.29,999999,30000,No,0.31,Yes,100,666,Dermatology,Discrete event simulation,Clinical trial + registry
CEA053,Author 53,2022,,,Intervention 53,Best supportive care,COPD,UK,CAD,Societal,15,0.033,0.044,85582,28216,57366,5.56,2.09,3.47,16531,100000,Yes,0.71,Yes,282,1674,Endocrinology,Markov,Clinical trial + registry
CEA054,Author 54,2022,,,Intervention 54,Alternative treatment,Depression,France,AUD,Societal,15,0.041,0.037,47115,94952,-47837,7.76,4.7,3.06,-15633,30000,Yes,0.57,No,221,963,Oncology,Markov,Real-world data
CEA055,Author 55,2021,,,Intervention 55,Standard care,Asthma,Germany,GBP,Healthcare system,5,0.032,0.039,175944,94843,81101,3.29,3.07,0.22,368640,30000,No,0.3,Yes,303,1413,Oncology,Partitioned survival,Clinical trial + registry
CEA056,Author 56,2019,,,Intervention 56,Alternative treatment,Depression,Canada,USD,Societal,10,0.044,0.036,224935,117067,107868,7.96,6.3,1.66,64980,50000,No,0.23,Yes,379,635,Neurology,Partitioned survival,Clinical trial
CEA057,Author 57,2021,,,Intervention 57,Alternative treatment,Depression,USA,USD,NHS,5,0.039,0.04,155175,108807,46368,2.88,5.93,-3.05,999999,30000,No,0.19,No,254,1330,Endocrinology,Partitioned survival,Clinical trial + registry
CEA058,Author 58,2022,,,Intervention 58,Standard care,Depression,Netherlands,AUD,NHS,15,0.043,0.032,102398,80532,21866,4.46,2.62,1.84,11883,100000,Yes,0.59,No,174,131,Infectious disease,Partitioned survival,Clinical trial
CEA059,Author 59,2021,,,Intervention 59,Standard care,Heart failure,Netherlands,USD,Healthcare system,5,0.032,0.042,137598,64675,72923,6.04,3.32,2.72,26809,150000,Yes,0.93,Yes,391,1967,Neurology,Discrete event simulation,Registry
CEA060,Author 60,2020,,,Intervention 60,Standard care,Rheumatoid arthritis,Canada,GBP,Healthcare payer,15,0.041,0.042,48213,50099,-1886,2.66,5.26,-2.6,999999,100000,No,0.44,No,325,622,Gastroenterology,Discrete event simulation,Clinical trial + registry
CEA061,Author 61,2024,,,Intervention 61,Alternative treatment,Type 2 diabetes,Netherlands,AUD,Societal,Lifetime,0.049,0.034,163000,43061,119939,3.48,2.73,0.75,159918,150000,No,0.41,No,365,1506,Gastroenterology,Markov,Real-world data
CEA062,Author 62,2018,,,Intervention 62,Standard care,Type 2 diabetes,UK,GBP,Societal,Lifetime,0.047,0.04,62503,88355,-25852,5.1,4.11,0.99,-26113,50000,Yes,0.64,Yes,46,192,Dermatology,Partitioned survival,Clinical trial + registry
CEA063,Author 63,2023,,,Intervention 63,Best supportive care,Type 2 diabetes,Canada,AUD,Healthcare system,Lifetime,0.048,0.03,190383,100984,89399,3.14,2.53,0.61,146555,150000,Yes,0.55,Yes,441,973,Oncology,Discrete event simulation,Registry
CEA064,Author 64,2022,,,Intervention 64,Standard care,COPD,UK,AUD,Healthcare payer,5,0.042,0.047,150083,29195,120888,6.62,5.66,0.96,125925,150000,Yes,0.88,Yes,158,869,Oncology,Discrete event simulation,Registry
CEA065,Author 65,2023,,,Intervention 65,Standard care,Asthma,Australia,USD,Healthcare system,10,0.04,0.045,49589,71030,-21441,6.42,4.11,2.31,-9281,30000,Yes,0.92,Yes,244,700,Infectious disease,Markov,Clinical trial + registry
CEA066,Author 66,2022,,,Intervention 66,Best supportive care,COPD,Canada,EUR,Healthcare payer,15,0.031,0.035,166545,39620,126925,3.94,4.24,-0.3,999999,30000,No,0.17,Yes,470,373,Endocrinology,Discrete event simulation,Clinical trial + registry
CEA067,Author 67,2023,,,Intervention 67,Standard care,Depression,UK,GBP,Healthcare payer,20,0.042,0.047,74120,56618,17502,4.35,5.63,-1.28,999999,100000,No,0.33,Yes,104,1134,Pulmonology,Markov,Clinical trial + registry
CEA068,Author 68,2023,,,Intervention 68,Standard care,Depression,France,USD,Healthcare payer,15,0.048,0.034,92525,31249,61276,6.73,2.74,3.99,15357,50000,Yes,0.55,Yes,454,1436,Rheumatology,Partitioned survival,Clinical trial
CEA069,Author 69,2022,,,Intervention 69,Standard care,Heart failure,Germany,USD,Healthcare payer,5,0.032,0.039,63856,87125,-23269,7.86,2.69,5.17,-4500,30000,Yes,0.87,Yes,219,1571,Infectious disease,Markov,Clinical trial
CEA070,Author 70,2018,,,Intervention 70,Best supportive care,Depression,Australia,CAD,Healthcare payer,Lifetime,0.032,0.05,53316,96417,-43101,8.45,5.22,3.23,-13343,150000,Yes,0.61,Yes,184,344,Dermatology,Markov,Registry
CEA071,Author 71,2019,,,Intervention 71,Alternative treatment,Advanced cancer,Germany,AUD,Healthcare payer,20,0.043,0.033,85993,48084,37909,8.05,5.18,2.87,13208,30000,Yes,0.69,Yes,81,884,Oncology,Discrete event simulation,Real-world data
CEA072,Author 72,2022,,,Intervention 72,Standard care,Advanced cancer,Netherlands,AUD,Societal,5,0.047,0.041,233568,46909,186659,4.29,2.54,1.75,106662,50000,No,0.34,No,314,1919,Gastroenterology,Decision tree,Clinical trial
CEA073,Author 73,2018,,,Intervention 73,Alternative treatment,Heart failure,Netherlands,AUD,NHS,20,0.037,0.035,87947,29942,58005,4.1,4.95,-0.85,999999,30000,No,0.27,Yes,210,1888,Infectious disease,Markov,Clinical trial + registry
CEA074,Author 74,2024,,,Intervention 74,Best supportive care,Heart failure,Germany,EUR,Healthcare system,15,0.049,0.042,214227,38452,175775,6.95,4.95,2.0,87887,150000,Yes,0.89,Yes,410,318,Cardiology,Decision tree,Clinical trial + registry
CEA075,Author 75,2020,,,Intervention 75,Best supportive care,Advanced cancer,USA,EUR,NHS,15,0.048,0.038,129779,100483,29296,6.5,4.64,1.86,15750,30000,Yes,0.78,Yes,178,52,Oncology,Partitioned survival,Real-world data
CEA076,Author 76,2024,,,Intervention 76,Alternative treatment,Advanced cancer,Netherlands,GBP,Healthcare system,10,0.038,0.047,109893,17642,92251,2.69,2.26,0.43,214537,150000,No,0.44,No,329,1695,Infectious disease,Decision tree,Real-world data
CEA077,Author 77,2022,,,Intervention 77,Best supportive care,Heart failure,UK,AUD,Healthcare system,Lifetime,0.037,0.04,108872,82004,26868,7.93,3.17,4.76,5644,150000,Yes,0.89,Yes,393,259,Oncology,Decision tree,Registry
CEA078,Author 78,2021,,,Intervention 78,Standard care,COPD,Germany,EUR,Healthcare payer,10,0.038,0.042,159240,22654,136586,4.26,4.28,-0.02,999999,30000,No,0.23,No,178,858,Hematology,Decision tree,Real-world data
CEA079,Author 79,2022,,,Intervention 79,Best supportive care,Depression,UK,CAD,NHS,15,0.031,0.048,125084,98625,26459,3.71,5.0,-1.29,999999,100000,No,0.29,No,124,868,Gastroenterology,Markov,Clinical trial
CEA080,Author 80,2024,,,Intervention 80,Alternative treatment,Rheumatoid arthritis,France,USD,NHS,20,0.042,0.049,106027,58404,47623,4.21,2.82,1.39,34261,50000,Yes,0.79,No,434,406,Oncology,Decision tree,Clinical trial + registry
CEA081,Author 81,2019,,,Intervention 81,Best supportive care,Type 2 diabetes,USA,CAD,Healthcare system,10,0.034,0.039,63176,28761,34415,8.28,5.34,2.94,11705,150000,Yes,0.76,Yes,470,416,Rheumatology,Partitioned survival,Real-world data
CEA082,Author 82,2018,,,Intervention 82,Standard care,Advanced cancer,Australia,EUR,NHS,5,0.049,0.035,158056,59157,98899,6.02,2.27,3.75,26373,30000,Yes,0.87,Yes,197,993,Gastroenterology,Markov,Real-world data
CEA083,Author 83,2024,,,Intervention 83,Standard care,Type 2 diabetes,UK,EUR,Healthcare payer,15,0.048,0.047,50214,60791,-10577,8.06,2.69,5.37,-1969,100000,Yes,0.87,No,496,212,Neurology,Decision tree,Clinical trial + registry
CEA084,Author 84,2023,,,Intervention 84,Best supportive care,Depression,UK,USD,Healthcare payer,15,0.048,0.045,110195,20906,89289,6.06,3.14,2.92,30578,50000,Yes,0.81,No,57,439,Dermatology,Discrete event simulation,Clinical trial + registry
CEA085,Author 85,2024,,,Intervention 85,Alternative treatment,Rheumatoid arthritis,Australia,EUR,Societal,10,0.044,0.044,193285,69940,123345,7.33,5.21,2.12,58181,100000,Yes,0.94,No,99,714,Dermatology,Partitioned survival,Registry
CEA086,Author 86,2023,,,Intervention 86,Standard care,Heart failure,UK,AUD,Societal,15,0.041,0.041,40558,75244,-34686,7.63,4.83,2.8,-12387,50000,Yes,0.59,Yes,53,1134,Hematology,Decision tree,Real-world data
CEA087,Author 87,2020,,,Intervention 87,Standard care,Rheumatoid arthritis,Australia,CAD,Healthcare payer,15,0.047,0.038,176747,46885,129862,7.35,4.47,2.88,45090,30000,No,0.16,Yes,213,730,Cardiology,Partitioned survival,Clinical trial
CEA088,Author 88,2021,,,Intervention 88,Alternative treatment,Asthma,UK,EUR,Societal,5,0.034,0.032,131968,22250,109718,4.07,3.23,0.84,130616,100000,No,0.36,Yes,353,1265,Pulmonology,Markov,Clinical trial + registry
CEA089,Author 89,2024,,,Intervention 89,Best supportive care,Heart failure,Canada,AUD,Healthcare payer,Lifetime,0.037,0.049,210755,60811,149944,4.7,2.03,2.67,56158,150000,Yes,0.62,Yes,140,680,Infectious disease,Discrete event simulation,Real-world data
CEA090,Author 90,2018,,,Intervention 90,Standard care,Depression,Germany,EUR,Healthcare payer,10,0.045,0.036,227151,49706,177445,2.7,4.3,-1.6,999999,50000,No,0.24,No,486,513,Gastroenterology,Decision tree,Clinical trial + registry
CEA091,Author 91,2018,,,Intervention 91,Best supportive care,Type 2 diabetes,USA,EUR,NHS,10,0.034,0.05,131671,16356,115315,2.57,5.87,-3.3,999999,150000,No,0.37,Yes,373,1211,Pulmonology,Decision tree,Registry
CEA092,Author 92,2024,,,Intervention 92,Alternative treatment,Type 2 diabetes,Germany,EUR,Healthcare payer,Lifetime,0.042,0.043,143299,30910,112389,3.33,3.8,-0.47,999999,30000,No,0.22,Yes,418,830,Infectious disease,Markov,Registry
CEA093,Author 93,2022,,,Intervention 93,Alternative treatment,Type 2 diabetes,Australia,USD,Societal,5,0.047,0.044,40782,45994,-5212,7.27,1.95,5.32,-979,50000,Yes,0.68,Yes,262,1587,Pulmonology,Decision tree,Clinical trial
CEA094,Author 94,2023,,,Intervention 94,Best supportive care,Type 2 diabetes,France,CAD,Healthcare system,5,0.031,0.037,124034,44771,79263,4.1,3.2,0.9,88070,100000,Yes,0.72,Yes,353,633,Oncology,Markov,Clinical trial + registry
CEA095,Author 95,2018,,,Intervention 95,Best supportive care,Advanced cancer,France,EUR,Healthcare payer,10,0.045,0.036,43382,95685,-52303,6.25,4.26,1.99,-26282,150000,Yes,0.92,Yes,483,1904,Infectious disease,Discrete event simulation,Clinical trial
CEA096,Author 96,2019,,,Intervention 96,Best supportive care,Asthma,France,USD,NHS,10,0.041,0.042,119818,30753,89065,4.28,1.95,2.33,38225,150000,Yes,0.58,No,370,665,Neurology,Discrete event simulation,Registry
CEA097,Author 97,2020,,,Intervention 97,Best supportive care,COPD,Canada,GBP,Healthcare payer,20,0.035,0.04,193340,41351,151989,7.59,6.36,1.23,123568,100000,No,0.16,Yes,438,141,Neurology,Discrete event simulation,Real-world data
CEA098,Author 98,2021,,,Intervention 98,Best supportive care,Advanced cancer,Netherlands,EUR,Healthcare payer,Lifetime,0.042,0.041,216744,89411,127333,4.86,4.48,0.38,335086,30000,No,0.35,No,76,1475,Pulmonology,Discrete event simulation,Real-world data
CEA099,Author 99,2018,,,Intervention 99,Alternative treatment,COPD,UK,GBP,Societal,5,0.03,0.035,105499,70607,34892,4.72,5.04,-0.32,999999,30000,No,0.32,Yes,282,1806,Gastroenterology,Markov,Clinical trial + registry
CEA100,Author 100,2018,,,Intervention 100,Alternative treatment,Type 2 diabetes,UK,USD,Societal,10,0.05,0.044,155095,100414,54681,8.19,5.19,3.0,18227,30000,Yes,0.83,Yes,464,1782,Dermatology,Markov,Clinical trial + registry
CEA101,Author 101,2018,,,Intervention 101,Standard care,Rheumatoid arthritis,Canada,EUR,Healthcare payer,5,0.045,0.03,76296,72086,4210,6.7,4.73,1.97,2137,30000,Yes,0.77,Yes,117,1751,Dermatology,Decision tree,Clinical trial + registry
CEA102,Author 102,2022,,,Intervention 102,Best supportive care,Depression,France,GBP,Healthcare payer,Lifetime,0.039,0.046,122346,95843,26503,4.85,4.72,0.13,203869,30000,No,0.32,No,405,673,Gastroenterology,Markov,Clinical trial
CEA103,Author 103,2024,,,Intervention 103,Alternative treatment,COPD,USA,USD,Societal,Lifetime,0.04,0.033,173408,27895,145513,2.93,4.22,-1.29,999999,100000,No,0.28,No,110,1971,Pulmonology,Discrete event simulation,Clinical trial
CEA104,Author 104,2018,,,Intervention 104,Alternative treatment,Asthma,UK,AUD,Healthcare system,15,0.039,0.047,60010,32600,27410,2.54,2.12,0.42,65261,100000,Yes,0.87,No,251,1006,Hematology,Discrete event simulation,Registry
CEA105,Author 105,2022,,,Intervention 105,Standard care,Rheumatoid arthritis,UK,GBP,Societal,20,0.035,0.041,208383,23269,185114,4.09,3.57,0.52,355988,50000,No,0.17,Yes,40,974,Gastroenterology,Decision tree,Real-world data
